Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,7864448.0,47.43,36.28,11808.0,15725056.0,22.02,28043680.0,62.93,12096.93,1024468659.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41
1,727680.0,11.82,8.71,5536.0,1455104.0,7.22,2708256.0,16.77,4721.96,852955737.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2,1638528.0,20.95,15.6,6112.0,3276800.0,10.79,6002336.0,29.57,5904.91,966117049.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01
3,12845184.0,54.26,41.84,16352.0,25695744.0,24.96,45485920.0,72.4,17167.98,1049901020.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.82
4,524416.0,9.15,6.49,5088.0,1048576.0,6.05,2021568.0,13.09,4555.2,895283746.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74
5,3932288.0,36.02,27.24,8192.0,7864320.0,17.1,14206240.0,47.7,8093.57,987985116.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03
6,48862848.0,65.33,65.33,37984.0,68702080.0,26.81,121337184.0,79.27,42177.39,1110398822.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8
7,16512.0,2.83,0.24,4480.0,32768.0,2.83,188896.0,1.01,3860.19,861648478.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
8,5657728.0,42.37,32.16,9728.0,11318272.0,19.73,20390880.0,55.84,9861.63,1013736598.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
9,33106304.0,59.34,57.26,29728.0,53430016.0,26.99,94168384.0,80.2,32591.59,1096326446.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85
10,32896.0,2.93,0.48,4448.0,65536.0,2.93,246816.0,1.3,3911.22,879321542.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
11,12845184.0,54.4,41.93,16096.0,25695744.0,24.98,45547904.0,72.3,17158.54,1066012489.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83
12,17744256.0,57.64,44.92,20960.0,35491456.0,26.49,62355040.0,77.35,22194.81,1058912920.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57
13,262272.0,5.21,3.53,4800.0,524288.0,4.51,1060192.0,7.14,4196.85,874344135.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
