Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoSelected,algoMin,counts
4,64,64,64,64,3,3,1,1,1,1,0.147271,0.119858,0.278663,NOT SUPPORT!,3.37375,0.559481,0.070386,0.264071,6,6,18522
1,64,64,64,64,3,3,1,1,1,1,0.05563,0.079413,0.118944,NOT SUPPORT!,3.024206,0.521483,0.025689,0.248896,0,6,12377
4,256,64,64,1024,1,1,1,1,0,0,0.802539,0.651762,0.954311,NOT SUPPORT!,38.969288,1.409593,NOT SUPPORT!,NOT SUPPORT!,1,1,9890
4,1024,64,64,256,1,1,1,1,0,0,0.741984,0.709682,0.995175,NOT SUPPORT!,38.863407,1.485081,NOT SUPPORT!,NOT SUPPORT!,1,1,9275
4,256,64,64,256,3,3,1,1,2,2,1.796658,1.544245,2.141767,NOT SUPPORT!,47.704704,5.618962,0.989223,2.172857,6,6,8955
2,36,32,32,36,3,3,1,1,1,1,0.033429,0.046453,0.065077,NOT SUPPORT!,0.333511,0.169707,0.019972,0.048228,0,6,6976
2,18,64,64,18,3,3,1,1,1,1,0.021796,0.031691,0.053447,NOT SUPPORT!,0.30794,0.386204,0.017205,0.091467,0,6,6976
2,72,16,16,72,3,3,1,1,1,1,0.040576,0.080228,0.070997,NOT SUPPORT!,0.20891,0.131602,0.027481,0.035584,0,6,6104
2,256,64,128,1024,1,1,1,1,0,0,0.769703,0.622361,0.907236,NOT SUPPORT!,NOT SUPPORT!,1.389877,NOT SUPPORT!,NOT SUPPORT!,1,1,5880
2,1024,64,128,256,1,1,1,1,0,0,0.751364,0.718162,0.962116,NOT SUPPORT!,NOT SUPPORT!,1.538666,NOT SUPPORT!,NOT SUPPORT!,1,1,5535
2,256,64,128,256,3,3,1,1,2,2,1.754428,1.609326,2.051765,NOT SUPPORT!,NOT SUPPORT!,8.338293,0.987203,4.051239,6,6,5295
9,64,40,40,64,3,3,1,1,1,1,0.133476,0.118514,0.226741,NOT SUPPORT!,0.704185,0.298503,0.070233,0.114635,6,6,5060
2,256,16,12,1024,1,1,1,1,0,0,0.039189,0.046482,0.178748,NOT SUPPORT!,2.14272,0.269924,NOT SUPPORT!,NOT SUPPORT!,0,0,4995
2,64,32,24,64,3,3,1,1,1,1,0.0537,0.080046,0.112949,NOT SUPPORT!,0.664775,0.151179,0.02554,0.066254,6,6,4826
2,32,64,48,32,3,3,1,1,1,1,0.031605,0.04544,0.099822,NOT SUPPORT!,1.214748,0.31499,0.019324,0.101479,0,6,4826
2,1024,16,12,256,1,1,1,1,0,0,0.094222,0.132188,0.233596,NOT SUPPORT!,2.163488,0.289959,NOT SUPPORT!,NOT SUPPORT!,0,0,4623
2,128,16,12,128,3,3,1,1,1,1,0.081415,0.143819,0.134364,NOT SUPPORT!,0.47622,0.293166,0.03808,0.05408,6,6,4549
2,256,97,97,1024,1,1,1,1,0,0,0.925543,0.723424,1.07499,NOT SUPPORT!,NOT SUPPORT!,2.576491,NOT SUPPORT!,NOT SUPPORT!,1,1,4380
2,1024,97,97,256,1,1,1,1,0,0,0.869255,0.738933,1.130002,NOT SUPPORT!,NOT SUPPORT!,2.51744,NOT SUPPORT!,NOT SUPPORT!,1,1,4115
2,256,16,16,256,3,3,1,1,1,1,0.181888,0.276999,0.236836,NOT SUPPORT!,1.722709,1.022709,0.072768,0.154827,6,6,4101
