N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
2,256,16,16,1024,1,1,1,1,0,0,0,1,3474,4.50240035630384e-05,168.58536585365854,0.0,5973.696755407984
2,48,64,48,48,3,3,1,1,1,1,6,2,3136,2.6720002273945265e-05,107.31793779292714,0.0,6032.938408736088
2,128,32,32,128,3,3,1,1,1,1,6,2,3048,4.684799512857161e-05,103.49191469416452,0.0,6032.78751255747
2,48,96,72,48,3,3,1,1,1,1,6,2,2816,5.417600064808418e-05,135.2920536635707,0.0,7433.790814793963
2,32,128,128,32,3,3,1,1,1,1,6,2,2508,4.262400129341852e-05,66.82255781028788,0.0,6803.459253009567
2,192,24,18,192,3,3,1,1,1,1,6,2,2464,6.441600751423832e-05,108.31672784478238,0.0,7388.136246953915
2,64,64,64,256,1,1,1,1,0,0,1,1,1959,4.342399773351446e-05,123.8158172231986,0.0,6230.025380440827
2,128,32,24,512,1,1,1,1,0,0,0,1,1574,3.35039987024177e-05,188.76365809922297,0.0,6032.504531628197
1,96,80,80,96,3,3,1,1,1,1,6,2,1280,6.601599999426578e-05,145.24903727520842,0.0,7532.672807246638
2,64,64,48,64,3,3,1,1,1,1,6,2,1243,3.132799805377209e-05,105.42246935422722,0.0,6816.817583857272
4,36,64,64,36,3,3,1,1,1,1,6,2,1200,5.379200161854968e-05,137.71389378796786,0.0,6688.913540557353
2,128,32,32,512,1,1,1,1,0,0,1,1,1148,4.352000162266303e-05,202.18419283587824,0.0,6192.188004415566
2,256,64,64,64,1,1,1,1,0,0,0,1,1069,4.480000226602828e-05,31.729882367153404,0.0,6003.565410619442
2,1024,32,64,256,1,1,1,1,0,0,1,2,1015,0.0002806079964409,120.11111349633987,0.0,7656.703484045263
4,72,32,32,72,3,3,1,1,1,1,6,2,1000,3.257599738523974e-05,129.55271344624956,0.0,7363.379765885094
2,128,32,24,128,3,3,1,1,1,1,6,2,987,4.710400259608627e-05,114.5050044080278,0.0,5999.999669316475
2,256,32,32,256,3,3,1,1,1,1,6,2,874,0.0001496960051847,129.32595644496763,0.0,7515.170325433522
2,64,96,72,256,1,1,1,1,0,0,1,1,868,6.217600000021262e-05,125.86342943854325,0.0,7342.443643824609
