N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
2,256,64,128,256,3,3,1,1,2,2,6,2,5295,0.0008073599931482,280.9180369395813,0.0,14065.409235500112
4,512,64,64,512,3,3,1,1,4,4,6,2,1350,0.0035157120054818,85.84735073709832,0.0,14319.968812434237
2,2048,97,97,512,1,1,1,1,0,0,1,2,910,0.0028941439990282,56.763439674630234,0.0,13684.137551309903
2,512,64,128,512,3,3,1,1,4,4,6,2,770,0.0031364800061755,83.74649370066726,0.0,14446.742204887052
4,1024,64,64,2048,1,1,1,1,0,0,1,2,675,0.0049652480035814,56.60039555667347,0.0,13846.84735151374
4,512,64,64,512,3,3,1,1,2,2,6,2,665,0.0035138240006396,88.68424691108609,0.0,14327.663042553078
2,512,97,97,512,3,3,1,1,4,4,6,2,630,0.0035198399983228,77.5832185905542,0.0,14462.050827382991
4,512,64,64,512,3,3,1,1,1,1,6,2,405,0.0024903999931721,85.67854998811586,0.0,14377.288982559705
2,1024,64,128,256,3,3,1,1,1,1,6,2,400,0.002599104000312,78.16414679694768,0.0,13759.0339546656
2,1024,64,128,2048,1,1,1,1,0,0,1,2,385,0.0049673920035694,56.6244119161382,0.0,13840.870847035305
4,2048,64,64,512,3,3,1,1,1,1,6,2,385,0.009805952002268,77.1875292775412,0.0,14578.54987980115
2,512,64,128,512,3,3,1,1,2,2,6,2,375,0.00313529600357,86.40016479518853,0.0,14452.197823875531
4,2560,64,64,512,3,3,1,1,1,1,6,2,360,0.0122539200060744,77.26149843970187,0.0,14580.940653719752
4,512,60,60,512,3,3,1,1,4,4,6,2,320,0.0035154879961193,96.72818239186431,0.0,14320.881290897605
2,1024,97,97,256,3,3,1,1,1,1,6,2,305,0.0036203199961202,87.03679241086543,0.0,14043.367814581436
2,512,97,97,512,3,3,1,1,2,2,6,2,305,0.0035233599976871,79.01105531631674,0.0,14447.60257067568
2,2048,64,128,512,3,3,1,1,1,1,6,2,235,0.0099679040051886,64.2790918414136,0.0,14341.687109906628
2,512,64,128,512,3,3,1,1,1,1,6,2,220,0.0024869120022355,81.43624535435033,0.0,14397.453690285178
2,2048,97,97,512,3,3,1,1,1,1,6,2,205,0.0138922240009673,78.90731571563673,0.0,14629.817510705887
2,512,97,97,512,3,3,1,1,1,1,6,2,200,0.0035243199964676,79.72938127020232,0.0,14443.667150264677
4,4096,64,64,512,3,3,1,1,1,1,6,2,190,0.0195826560021829,75.11436576358201,0.0,14595.826038722164
2,2560,64,128,512,3,3,1,1,1,1,6,2,175,0.0124702399954684,63.88806061174425,0.0,14328.006553917872
4,512,60,60,512,3,3,1,1,2,2,6,2,160,0.0024892479974494,77.28000839855567,0.0,14383.942628732728
4,1024,60,60,256,3,3,1,1,1,1,6,2,160,0.0024231679983815,58.670696166054675,0.0,13836.035295280239
3,256,128,128,256,3,3,1,1,1,1,6,2,145,0.0019204799928434,118.73047890804426,0.0,14013.35004805462
2,2560,97,97,512,3,3,1,1,1,1,6,2,140,0.0173476160010416,79.28209788231283,0.0,14642.909296628883
2,4096,64,128,512,3,3,1,1,1,1,6,2,125,0.0198811839999318,62.41895601727028,0.0,14376.660886242009
4,320,50,90,320,3,3,1,1,1,1,6,2,120,0.0013222400010501,143.09134133485844,0.0,13902.466591088621
4,2560,60,60,512,3,3,1,1,1,1,6,2,120,0.0125159039974656,50.433793494277964,0.0,14275.731135376273
2,256,200,304,256,3,3,1,1,1,1,6,2,114,0.0046671040013302,107.32051723038633,0.0,14264.616916405808
9,192,160,160,64,3,3,1,1,1,1,6,2,110,0.0017105279971129,32.945234446440736,0.0,13849.24370953539
4,2048,64,64,512,3,3,1,1,36,36,6,2,105,0.0464613120017899,77.59177864005828,0.0,14706.452725348714
4,2048,64,64,512,3,3,1,1,24,24,6,2,105,0.0301045760063128,85.26408276514798,0.0,14538.62131060144
4,2048,64,64,512,3,3,1,1,12,12,6,2,105,0.0204433280015542,86.79611336391267,0.0,14419.53517908577
8,256,50,84,256,3,3,1,1,1,1,6,2,102,0.0016620479970828,124.2913326726078,0.0,14168.537116456599
2,256,152,100,256,3,3,1,1,1,1,6,2,93,0.0013324160051835,117.54266392285034,0.0,13992.313889559146
8,256,80,80,256,3,3,1,1,1,1,6,2,90,0.0019870399980645,111.84546364023089,0.0,14108.195262957172
2,4096,97,97,512,3,3,1,1,1,1,6,2,80,0.0277120639995775,73.81450958720241,0.0,14663.511336225096
4,160,100,180,160,3,3,1,1,1,1,6,2,80,0.0012293119957988,102.26345956667171,0.0,13936.601463705269
4,256,112,112,256,3,3,1,1,1,1,6,2,75,0.0019799359976919,110.1243395975682,0.0,13875.67748453811
2,256,136,100,256,3,3,1,1,1,1,6,2,71,0.001199904004507,124.46372504264215,0.0,13902.362696800787
4,720,128,128,720,1,1,1,1,0,0,1,2,70,0.0052526079977466,54.94824766292829,0.0,13807.380842262273
4,512,128,128,512,3,3,1,1,1,1,6,2,70,0.009845087995477,82.29355672698944,0.0,14542.804345250861
4,256,112,112,256,3,3,1,1,2,2,6,2,60,0.0023807679950904,117.11476426743718,0.0,14129.683277568873
4,2048,128,128,512,3,3,1,1,1,1,6,2,60,0.038897439994067,56.827549588191914,0.0,14696.18024731685
2,256,200,272,256,3,3,1,1,1,1,6,2,60,0.0041560319970646,106.7739443171689,0.0,14332.66489047055
8,256,50,76,256,3,3,1,1,1,1,6,2,57,0.0013980799981202,120.12662873404173,0.0,14036.839204041578
2,256,100,140,256,3,3,1,1,1,1,6,2,55,0.0011989760010053,158.39966573168786,0.0,13679.342360687917
4,256,76,50,256,3,3,1,1,1,1,6,2,49,0.0008058880018911,124.58841143926392,0.0,13917.194376490525
8,256,50,78,256,3,3,1,1,1,1,6,2,45,0.0014003839961373,112.8933245856445,0.0,14013.744931483716
4,2048,60,60,512,3,3,1,1,24,24,6,2,40,0.0306480319972053,75.93142736543727,0.0,14280.820064136928
4,2048,60,60,512,3,3,1,1,1,1,6,2,40,0.0099790400029075,64.40118548893,0.0,14325.68266510086
4,2048,60,60,512,3,3,1,1,36,36,6,2,40,0.0446625920065397,72.20091124491069,0.0,14448.879426646547
