N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
2,36,32,32,36,3,3,1,1,1,1,6,2,6976,2.32640019470376e-05,82.27690870884894,0.0,1938.8829188842012
2,18,64,64,18,3,3,1,1,1,1,6,2,6976,1.945599577101218e-05,79.41476014760147,0.0,2831.7637734115187
2,72,16,16,72,3,3,1,1,1,1,6,2,6104,3.1264004216210955e-05,37.02359006405249,0.0,970.2680370120673
2,64,32,24,64,3,3,1,1,1,1,6,2,4826,2.876800064919152e-05,84.4509090909091,0.0,2479.9821464827805
2,32,64,48,32,3,3,1,1,1,1,6,2,4826,2.1344000006218703e-05,58.410221184228604,0.0,2549.7331326904036
2,1024,16,12,256,1,1,1,1,0,0,0,1,4623,9.724800256795843e-05,76.19018107872567,0.0,2071.2496985142816
2,128,16,12,128,3,3,1,1,1,1,6,2,4549,4.473600104301608e-05,38.01513601963592,0.0,1595.3304349080095
2,256,16,16,256,3,3,1,1,1,1,6,2,4101,8.211200070056554e-05,39.899331272021286,0.0,3459.890851229049
2,256,16,12,256,3,3,1,1,1,1,6,2,4028,8.217599317516436e-05,40.642361429016134,0.0,3457.196548807416
2,1024,16,16,256,1,1,1,1,0,0,0,1,3104,0.0001041919964665,84.76451339231609,0.0,2577.6118810272537
2,64,32,32,64,3,3,1,1,1,1,6,2,2786,2.9696006145130027e-05,73.03144654088051,0.0,2402.4822614639725
2,32,64,64,32,3,3,1,1,1,1,6,2,2786,2.262399577560701e-05,60.69136860141358,0.0,3206.427755711233
2,128,16,16,128,3,3,1,1,1,1,6,2,2770,4.5887993170829855e-05,36.715922560252864,0.0,1555.280566188886
2,192,16,12,192,3,3,1,1,1,1,6,2,2744,6.464000486576645e-05,39.760134812883535,0.0,2476.229516572487
2,144,8,8,144,3,3,1,1,1,1,6,2,2616,4.963200231581964e-05,21.72679989050096,0.0,1023.4428922850349
2,192,16,16,192,3,3,1,1,1,1,6,2,2296,6.35520035313075e-05,38.82683888595647,0.0,2518.622216546615
2,256,8,6,256,3,3,1,1,1,1,6,2,1845,7.871999873224907e-05,21.50302103250478,0.0,1828.6309237582389
1,192,24,18,192,3,3,1,1,1,1,6,2,1736,6.380799740406272e-05,58.85071381299045,0.0,3746.022218600155
2,104,16,12,104,3,3,1,1,1,1,6,2,1550,3.836800229825788e-05,40.272485364555614,0.0,1514.702161145325
2,128,1,1,512,1,1,1,1,0,0,0,1,1430,3.4815997750531234e-05,28.709592641261498,0.0,240.9706038044533
2,256,1,1,128,1,1,1,1,0,0,0,1,1390,2.803199582406334e-05,13.497528830313016,0.0,74.82192895446761
1,256,16,16,256,3,3,1,1,1,1,6,2,1374,8.313599769005161e-05,20.985799324488234,0.0,1731.4981235526284
2,512,32,24,128,1,1,1,1,0,0,0,1,1287,5.894399742292137e-05,58.730928488827544,0.0,3418.892657620033
2,384,8,8,384,3,3,1,1,1,1,6,2,1193,0.0001182400052273,21.5785985172025,0.0,2734.8697031801053
2,384,8,6,384,3,3,1,1,1,1,6,2,1176,0.0001183039993677,21.649607513797005,0.0,2733.390331081982
1,128,32,32,128,3,3,1,1,1,1,6,2,1142,4.646400356925235e-05,64.27480561680399,0.0,3051.5479749538395
2,256,8,8,256,3,3,1,1,1,1,6,2,1092,7.86240009557011e-05,21.39746565698847,0.0,1830.863632608893
2,18,64,64,18,3,3,2,2,1,1,0,1,1090,4.652800225029325e-05,19.277839116719242,0.0,252.17639770738379
1,64,32,24,64,3,3,1,1,1,1,6,2,1024,2.838399967172692e-05,55.19463087248322,0.0,1260.9515365676593
1,32,64,48,32,3,3,1,1,1,1,6,2,1024,2.089599741362633e-05,50.646358876725365,0.0,1303.6203757489193
2,26,64,48,26,3,3,1,1,1,1,6,2,1000,2.166400001070014e-05,70.48541114058355,0.0,2512.0708997932275
2,52,32,24,52,3,3,1,1,1,1,6,2,950,2.732800065318854e-05,90.81671309192201,0.0,2290.622896069649
