Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,48,64,64,48,1,1,1,1,0,0,0.385138,0.377856,0.525426,NOT SUPPORT!,1.080206,0.754347,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0002667840004042,17.82370771744447,0.0,12325.830375951704,36.13,46.1,45.53,39.36,81.64,35.9,21840.0
128,48,96,96,48,1,1,1,1,0,0,0.834446,0.827392,1.109333,NOT SUPPORT!,6.127615,1.725667,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0005809280016553,16.96051322769021,0.0,12736.091623949866,36.7,47.5,46.92,40.78,84.69000000000001,36.86,50237.0
128,48,128,128,48,1,1,1,1,0,0,1.514041,1.379100,1.937863,NOT SUPPORT!,6.078350,2.767645,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0010148479958009,16.671365756261995,0.0,12960.89404366377,36.9,48.54,47.85,41.99,87.13,37.4,91987.0
128,48,256,256,48,1,1,1,1,0,0,5.892665,4.758528,6.867626,NOT SUPPORT!,21.686501,10.762240,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0044362879953349,10.876637207383707,0.0,11859.768669510862,52.1,59.11,53.74,61.84,87.75999999999999,36.86,333174.0
128,64,64,64,64,1,1,1,1,0,0,0.488107,0.466034,0.671403,NOT SUPPORT!,1.451235,0.978489,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0003368639963132,17.389195841948315,0.0,12949.072052046638,36.15,46.96,46.38,41.54,85.09,33.93,30390.0
128,64,96,96,64,1,1,1,1,0,0,1.072242,0.973710,1.423701,NOT SUPPORT!,8.179940,2.032185,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.000736192005309,16.730302972118604,0.0,13331.673380343915,36.74,48.21,47.59,42.760000000000005,87.79,34.67,67561.0
128,64,128,128,64,1,1,1,1,0,0,1.919203,1.721685,2.488889,NOT SUPPORT!,7.673060,3.416633,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0012888959934362,16.506155470042902,0.0,13537.40311775101,36.94,49.2,48.52,43.89,90.15,35.14,124015.0
128,96,32,32,96,1,1,1,1,0,0,0.252814,0.239730,0.333938,NOT SUPPORT!,0.572188,0.497550,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0002464320015966,22.94114760014435,0.0,13207.618665241185,34.77,42.18,41.62,32.32,85.94999999999999,32.04,9817.0
128,96,48,48,96,1,1,1,1,0,0,0.650809,0.614286,0.735915,NOT SUPPORT!,3.085767,1.592775,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0004414079989106,12.459865504511978,0.0,12443.003075511562,35.64,51.48,50.89,52.45,80.58999999999999,32.2,30089.0
128,96,64,64,96,1,1,1,1,0,0,1.122190,1.063026,1.241998,NOT SUPPORT!,3.127296,2.136292,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0007570559997705,12.301534065345733,0.0,12897.77733081838,36.31,53.12,52.53,54.15,83.34,33.19,56744.0
