Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,64,256,256,64,1,1,1,1,0,0,6.373262,6.057756,8.779435,NOT SUPPORT!,29.772573,14.041430,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0051039999953358,16.146948913663202,0.0,13674.219949800021,52.22,53.39,51.46,49.88,98.77,35.71,495052.0
128,128,48,48,128,1,1,1,1,0,0,0.901689,0.842866,1.165084,NOT SUPPORT!,4.227186,2.097948,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0006929920000839,22.11363656840198,0.0,14053.804209602542,36.06,43.21,42.64,34.24,90.15,31.61,41100.0
128,128,64,64,128,1,1,1,1,0,0,1.548060,1.454080,1.988153,NOT SUPPORT!,4.074496,2.547029,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0012126720072153,21.84653291685913,0.0,14277.633860584388,36.55,43.88,43.3,34.910000000000004,91.71,32.04,64027.0
128,128,96,96,128,1,1,1,1,0,0,3.439957,3.208989,4.021589,NOT SUPPORT!,21.088142,5.494102,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0026973760000263,21.642919528515183,0.0,14442.441673545016,36.96,44.57,43.93,35.559999999999995,93.49,32.37,155056.0
128,128,97,97,128,1,1,1,1,0,0,3.819406,3.622457,4.449166,NOT SUPPORT!,20.169844,8.805148,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0027625919979307,21.63528128709261,0.0,14396.813021174075,37.09,44.73,44.13,40.85,93.25,32.31,207050.0
128,128,128,128,128,1,1,1,1,0,0,6.083015,5.270869,5.927367,NOT SUPPORT!,20.428457,9.646648,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0047804160021947,21.566344009007825,0.0,14487.514813816255,37.1,45.09,44.39,36.34,95.01,32.5,277087.0
128,128,256,256,128,1,1,1,1,0,0,19.737713,18.430635,26.999809,NOT SUPPORT!,81.496521,38.993122,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0190393920005354,21.355109709654158,0.0,14550.117492418345,52.23,49.04,47.09,41.87,103.31,32.91,1083709.0
128,256,32,32,256,1,1,1,1,0,0,1.272491,1.255538,1.459541,NOT SUPPORT!,2.724978,2.090894,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0011841280036282,26.029192672449515,0.0,14565.129779174882,35.629999999999995,40.86,40.29,29.98,92.37,30.15,44803.0
128,256,48,48,256,1,1,1,1,0,0,2.568761,2.520860,2.908387,NOT SUPPORT!,12.105273,5.698901,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0026399359977296,25.84897616428641,0.0,14699.485381984152,36.39,41.24,40.66,30.31,93.33,30.39,98931.0
128,256,64,64,256,1,1,1,1,0,0,5.444494,5.328555,5.905522,NOT SUPPORT!,12.344776,7.692060,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0046501759977273,25.77868135523162,0.0,14835.54863852825,36.78,41.650000000000006,41.07,30.7,94.43,30.64,172382.0
128,256,96,96,256,1,1,1,1,0,0,12.159090,10.656313,11.099591,NOT SUPPORT!,62.619766,17.441677,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.010432479996077,25.723931485162005,0.0,14878.801827597037,37.08,42.08,41.43,31.19,95.65,30.76,405475.0
128,256,97,97,256,1,1,1,1,0,0,11.914695,10.545153,11.834483,NOT SUPPORT!,62.694744,26.325106,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0106653440033393,25.717991994163402,0.0,14858.7287497133,37.22,42.260000000000005,41.650000000000006,34.81,95.53,30.76,580272.0
