Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,4,32,32,4,3,3,1,1,0,0,0.026965,0.045739,0.027307,NOT SUPPORT!,0.050517,0.067698,0.055865,0.041074,0,7,1,4.310400163840293e-05,165.49325849551582,1069.0422756235619,8055.233546823538,31.8,50.57,50.57,15.7,66.2,42.55,2294.0
128,4,48,48,4,3,3,1,1,0,0,0.045625,0.063829,0.045625,NOT SUPPORT!,0.090567,0.172260,0.099442,0.066105,0,7,1,9.171200389547436e-05,171.30335750738652,1181.2979260978302,8901.079873147153,34.49,54.62,54.62,17.22,72.47,46.61,4825.0
128,4,64,64,4,3,3,1,1,0,0,0.074183,0.091932,0.073500,NOT SUPPORT!,0.094549,0.374670,0.156786,0.114574,2,7,1,0.0001607039987055,160.97671316623132,1224.6913678898034,9228.04945704967,35.48,55.94,55.94,17.12,74.87,48.17,10569.0
128,4,96,96,4,3,3,1,1,0,0,0.201842,0.210944,0.201728,NOT SUPPORT!,0.319943,0.641252,0.327680,0.249628,2,7,1,0.0003589120028998,142.52833258407725,1260.485011214018,9497.754559497625,36.18,57.0,57.0,18.27,76.75,49.39,25950.0
128,4,97,97,4,3,3,1,1,0,0,0.208896,0.218340,0.208782,NOT SUPPORT!,0.321195,0.641365,0.328363,0.250425,2,7,1,0.0003664000041862,140.28473293072238,1261.1353567702927,9502.654913264154,36.18,57.02,57.02,18.44,76.74,49.39,26224.0
128,4,128,128,4,3,3,1,1,0,0,0.339513,0.348956,0.339285,NOT SUPPORT!,0.334734,1.005796,0.566841,0.425187,4,7,1,0.0006384000012857,115.51505670707861,1273.26315533046,9594.037875415015,36.44,57.13,57.13,18.55,77.32,49.77,50063.0
128,4,256,256,4,3,3,1,1,0,0,1.519047,1.528149,1.518478,NOT SUPPORT!,1.163378,3.913273,2.702109,1.844907,4,7,1,0.0025722560006354,98.31464330387705,1284.1720261062808,9676.236216710824,36.68,57.24,57.24,19.16,77.92,50.16,205999.0
128,4,384,384,4,3,3,1,1,0,0,2.871637,2.881309,2.871637,NOT SUPPORT!,NOT SUPPORT!,6.774898,4.980053,3.707904,2,7,1,0.0058088320009505,95.76902462843947,1286.1981201689891,9691.502835473331,36.75,57.3,57.3,19.31,78.03,50.23,466182.0
128,4,512,512,4,3,3,1,1,0,0,6.190421,6.199296,5.904270,NOT SUPPORT!,NOT SUPPORT!,11.635485,8.844971,6.558265,2,7,1,0.010348543998429,94.99792479455466,1286.8592917053509,9696.48476299982,36.75,57.32,57.32,19.39,78.08,50.26,839962.0
128,4,640,640,4,3,3,1,1,0,0,9.037823,8.097451,8.071281,NOT SUPPORT!,NOT SUPPORT!,19.473183,13.804771,10.293020,2,7,1,0.016187840000943,94.62949489489392,1287.4264138258072,9700.758028177457,36.76,57.28,57.28,19.4,78.09,50.27,1310694.0
128,4,768,768,4,3,3,1,1,0,0,12.484721,11.718884,11.686570,NOT SUPPORT!,NOT SUPPORT!,27.211205,19.864691,14.824223,2,7,1,0.0233327040012188,94.39732275133461,1287.5450354331304,9701.651841988636,36.77,57.24,57.24,19.43,78.1,50.27,1896372.0
128,4,896,896,4,3,3,1,1,0,0,16.913183,16.208214,16.185913,NOT SUPPORT!,NOT SUPPORT!,36.177353,27.045887,20.312292,2,7,1,0.0317781119974848,94.34681448428299,1287.7065573700172,9702.868909783083,36.77,57.27,57.27,19.45,78.11,50.28,2571983.0
128,4,1024,1024,4,3,3,1,1,0,0,23.582039,22.538582,22.514231,NOT SUPPORT!,NOT SUPPORT!,49.044365,35.303989,26.640385,2,7,1,0.0415290559994999,94.28993015552467,1287.714818286358,9702.931155787706,36.77,57.27,57.27,19.48,78.12,50.28,3367479.0
128,8,24,24,8,3,3,1,1,0,0,0.040164,0.055979,0.059733,NOT SUPPORT!,0.051200,0.068039,0.048242,0.044260,0,7,1,4.2592003270174985e-05,140.90873618035985,977.454470406481,7813.817581880381,28.14,49.48,49.48,17.11,62.47,40.71,0.0
128,8,32,32,8,3,3,1,1,0,0,0.060416,0.076117,0.095118,NOT SUPPORT!,0.050859,0.067812,0.057230,0.060188,4,6,1,6.927999967158053e-05,146.99461858867167,1117.4134002162289,8932.655931490448,32.03,56.78,56.78,19.17,71.67,46.8,5160.0
128,8,48,48,8,3,3,1,1,0,0,0.125611,0.121287,0.185913,NOT SUPPORT!,0.179883,0.183751,0.134258,0.121856,1,7,1,0.0001519359996752,147.24099428763876,1197.9376605221287,9576.370702864398,34.66,59.25,59.25,19.94,75.91,49.59,11072.0
128,16,24,24,16,3,3,1,1,0,0,0.082489,0.098076,0.138126,NOT SUPPORT!,0.089657,0.113323,0.074638,0.084651,6,6,1,7.731199802357983e-05,139.15294372060333,1000.053005698015,8522.887635099429,28.1,56.37,56.37,18.52,66.59,44.13,0.0
128,16,32,32,16,3,3,1,1,0,0,0.129820,0.133916,0.201842,NOT SUPPORT!,0.093867,0.116622,0.087836,0.132437,6,6,1,0.0001259199974001,143.3315864340795,1141.7535178561386,9730.521166600874,32.13,63.47,63.47,20.46,75.0,49.79,12091.0
