Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,1,4,4,1,3,3,1,1,0,0,0.013198,0.009671,0.008988,NOT SUPPORT!,0.025941,0.040164,0.023780,0.020821,2,7,1,4.959997822459713e-06,1.1875,0.0,1.9612911836271305,30.22,0.58,0.14,0.58,0.14,0.01,0.0
128,1,7,7,1,3,3,1,1,0,0,0.010354,0.011492,0.009557,NOT SUPPORT!,0.025145,0.039026,0.023324,0.021276,2,7,1,5.600004246103984e-06,2.4111675126903553,0.0,10.857134624906681,43.1,0.69,0.5,0.69,0.72,0.04,0.0
128,1,8,8,1,3,3,1,1,0,0,0.010012,0.010012,0.009557,NOT SUPPORT!,0.025828,0.040277,0.023552,0.021276,2,7,1,5.791998931343203e-06,2.6511627906976742,0.0,15.116024888439702,44.76,0.75,0.68,0.75,1.01,0.05,0.0
128,1,15,15,1,3,3,1,1,0,0,0.010468,0.010468,0.009671,NOT SUPPORT!,0.027534,0.040050,0.031061,0.024235,2,7,1,6.2400025761405046e-06,3.559866962305987,0.0,65.86663947408368,45.27,3.09,3.09,2.11,4.49,0.2,0.0
128,1,16,16,1,3,3,1,1,0,0,0.010468,0.010809,0.009671,NOT SUPPORT!,0.027989,0.039481,0.030492,0.024348,2,7,1,6.207999999978993e-06,3.633170731707317,0.0,76.783505154899,44.38,3.58,3.58,2.59,5.24,0.23,0.0
128,1,24,24,1,3,3,1,1,0,0,0.010240,0.010012,0.009216,NOT SUPPORT!,0.036409,0.040619,0.048128,0.027876,2,7,1,6.111998913972905e-06,3.989587852494577,0.0,192.58642165478926,45.0,8.73,8.73,6.09,12.89,0.58,0.0
128,1,32,32,1,3,3,1,1,0,0,0.011378,0.011719,0.011036,NOT SUPPORT!,0.037319,0.040846,0.056092,0.032085,2,7,1,9.087998609816987e-06,4.613131559677813,0.0,266.1972238185364,14.29,11.26,11.26,6.9,12.56,10.45,32256.0
128,1,48,48,1,3,3,1,1,0,0,0.013426,0.014336,0.011378,NOT SUPPORT!,0.052338,0.079417,0.097963,0.045739,2,7,1,1.4368004371732308e-05,4.821091461429966,0.0,395.866249260769,14.6,14.19,14.19,9.77,15.68,13.11,49536.0
128,1,64,64,1,3,3,1,1,0,0,0.016839,0.017408,0.014677,NOT SUPPORT!,0.053248,0.167140,0.156331,0.067584,2,7,1,2.140799838358013e-05,4.9267012511443395,0.0,482.6547449632249,14.73,15.57,15.57,10.5,17.44,14.34,66816.0
128,1,96,96,1,3,3,1,1,0,0,0.027079,0.027534,0.021959,NOT SUPPORT!,0.138126,0.262940,0.323129,0.126748,2,7,1,4.201599706181968e-05,5.033392106333921,0.0,565.2886914727749,14.89,17.24,17.24,12.24,19.85,15.82,101376.0
128,1,97,97,1,3,3,1,1,0,0,0.027534,0.027989,0.021845,NOT SUPPORT!,0.138923,0.263282,0.323356,0.126748,2,7,1,4.262399933958437e-05,5.035603262746765,0.0,569.1441529624552,14.82,17.68,17.68,13.22,20.21,16.16,105984.0
128,1,128,128,1,3,3,1,1,0,0,0.039822,0.040164,0.031972,NOT SUPPORT!,0.143246,0.417109,0.557739,0.237227,2,7,1,7.033599738758048e-05,5.087141614660421,0.0,606.7261371847021,14.93,17.94,17.94,13.01,21.14,16.41,134784.0
128,1,256,256,1,3,3,1,1,0,0,0.246670,0.247922,0.133575,NOT SUPPORT!,0.588459,1.596757,2.642148,1.122531,2,7,1,0.0002651840029223,3.32264725646094,0.0,653.957275284107,14.96,18.4,18.4,14.62,22.51,16.73,267264.0
128,1,384,384,1,3,3,1,1,0,0,0.547044,0.547271,0.291499,NOT SUPPORT!,NOT SUPPORT!,3.366002,5.914966,2.539406,2,7,1,0.0005881280039065,2.8893144345789503,0.0,666.9359550890532,14.93,18.58,18.58,14.74,23.02,16.85,399744.0
128,1,512,512,1,3,3,1,1,0,0,0.847303,0.848441,0.423822,NOT SUPPORT!,NOT SUPPORT!,4.844999,8.603763,3.876523,2,7,1,0.0010473280019271,2.7645620208163355,0.0,667.5547667144918,14.94,18.33,18.33,14.95,22.84,16.59,548352.0
128,1,640,640,1,3,3,1,1,0,0,1.376825,1.376939,0.659684,NOT SUPPORT!,NOT SUPPORT!,8.038286,13.445804,6.069134,2,7,1,0.0017041599987139,2.7090925917004935,0.0,642.0372927575604,14.95,17.63,17.63,14.34,22.05,15.92,668160.0
128,1,768,768,1,3,3,1,1,0,0,1.999986,1.999644,0.948338,NOT SUPPORT!,NOT SUPPORT!,11.271623,19.367367,8.724139,2,7,1,0.0024643200006451,2.6808430925169957,0.0,640.0143356330049,14.99,17.58,17.58,13.99,22.04,15.82,771840.0
128,1,896,896,1,3,3,1,1,0,0,3.273728,3.273159,1.567403,NOT SUPPORT!,NOT SUPPORT!,16.062920,26.360493,11.862585,2,7,1,0.0034872320041775,2.6644245056577893,0.0,616.0606364665175,15.01,16.98,16.98,13.42,21.3,15.22,858240.0
128,1,1024,1024,1,3,3,1,1,0,0,4.395804,4.396829,1.962894,NOT SUPPORT!,NOT SUPPORT!,19.988365,34.405716,15.492209,2,7,1,0.0046827519961669,2.6535778452223435,0.0,599.5561999222164,15.04,16.61,16.61,13.38,20.84,14.85,941184.0
128,1,2048,2048,1,3,3,1,1,0,0,7.773867,6.711183,6.702990,NOT SUPPORT!,NOT SUPPORT!,77.304497,137.673737,62.311077,2,7,1,0.0072082559964441,2.379479234163629,0.0,1412.3574574796178,86.13,43.41,43.41,43.01,76.44,3.73,0.0
128,1,3072,3072,1,3,3,1,1,0,0,15.082382,15.082496,15.065770,NOT SUPPORT!,NOT SUPPORT!,171.048965,309.735229,NOT SUPPORT!,2,6,1,0.0162200319993421,2.3764765829738135,0.0,1413.1511455051202,86.21,43.39,43.39,43.1,76.47,3.73,0.0
128,2,4,4,2,3,3,1,1,0,0,0.011036,0.011719,0.010809,NOT SUPPORT!,0.031972,0.063829,0.022983,0.021049,2,7,1,7.743998935836261e-06,3.3846153846153846,2.115702770074144,7.272728272129869,45.91,0.43,0.35,0.43,0.27,0.0,0.0
128,2,7,7,2,3,3,1,1,0,0,0.010923,0.010809,0.010581,NOT SUPPORT!,0.031972,0.063943,0.023324,0.022756,2,7,1,6.880004076197801e-06,6.979695431472082,14.883712112070555,51.16276038524253,44.13,1.53,1.53,0.8,1.84,0.03,0.0
128,2,8,8,2,3,3,1,1,0,0,0.010581,0.010923,0.010695,NOT SUPPORT!,0.031858,0.065308,0.023780,0.022983,0,7,1,7.1040014123692e-06,7.7042801556420235,20.75675263003968,71.3513371657614,46.49,2.07,2.07,1.12,2.65,0.04,0.0
128,2,15,15,2,3,3,1,1,0,0,0.011036,0.010923,0.011036,NOT SUPPORT!,0.032882,0.067698,0.033564,0.024348,1,7,1,7.104001366256588e-06,10.31059345535219,97.44142270129707,334.95489053570867,46.35,9.49,9.49,3.64,12.05,0.17,0.0
128,2,16,16,2,3,3,1,1,0,0,0.010923,0.011150,0.010695,NOT SUPPORT!,0.033451,0.065536,0.034247,0.024690,2,7,1,6.976001991219181e-06,10.517073170731708,115.08253595834965,395.5962173568268,46.86,10.59,10.59,4.57,13.81,0.19,0.0
128,2,24,24,2,3,3,1,1,0,0,0.013540,0.013995,0.013198,NOT SUPPORT!,0.050176,0.065877,0.048242,0.026510,2,7,1,1.0432001730449008e-05,11.54880694143167,190.03677829285326,653.2514253816831,46.84,18.26,18.26,7.63,23.76,0.32,0.0
128,2,32,32,2,3,3,1,1,0,0,0.016043,0.016270,0.015360,NOT SUPPORT!,0.049835,0.065536,0.055751,0.030720,2,7,1,1.324800033947186e-05,12.082011227727605,278.2608624349538,956.5217146201535,46.18,26.14,26.14,10.19,33.43,0.46,0.0
128,2,48,48,2,3,3,1,1,0,0,0.020708,0.020821,0.020252,NOT SUPPORT!,0.103879,0.166457,0.098076,0.043236,2,7,1,2.0384000337159594e-05,12.626668113268959,425.1930855887986,1461.6012317114955,45.81,35.74,35.74,15.43,50.04,0.7,0.0
128,2,64,64,2,3,3,1,1,0,0,0.030037,0.030265,0.030492,NOT SUPPORT!,0.105586,0.367844,0.157468,0.062350,0,7,1,3.257599834945102e-05,12.902871441213268,483.3320480649318,1661.4539152232032,46.23,37.15,37.15,16.44,55.43,0.78,0.0
128,2,96,96,2,3,3,1,1,0,0,0.057913,0.058027,0.057913,NOT SUPPORT!,0.385593,0.628850,0.325063,0.128455,0,7,1,6.790400227125586e-05,13.182336027776271,532.9914996088586,1832.1582799054513,46.61,38.4,38.4,16.8,59.89,0.84,0.0
128,2,97,97,2,3,3,1,1,0,0,0.058709,0.059164,0.058368,NOT SUPPORT!,0.386162,0.631808,0.324722,0.130503,2,7,1,6.950399609376582e-05,13.17973023206415,531.8600667237853,1828.2689793630118,46.39,38.6,38.6,16.98,59.96,0.85,0.0
