Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,48,64,64,48,1,1,1,1,0,0,0.166457,0.157810,0.246670,NOT SUPPORT!,0.546247,0.340992,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001413439971298,19.647698193092666,0.0,11632.38058486571,35.49,44.17,43.58,37.67,78.38,34.43,10250.0,266496.0,144.0
64,48,384,384,48,1,1,1,1,0,0,6.125795,5.489209,7.856242,NOT SUPPORT!,NOT SUPPORT!,15.038578,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0050841920053116,10.760013217618749,0.0,11641.971425580015,78.22,63.84,56.35,66.97,96.82,36.57,369195.0,9584896.0,144.0
64,64,64,64,64,1,1,1,1,0,0,0.254293,0.254862,0.371371,NOT SUPPORT!,0.828871,0.499484,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002590719993503,13.493014004366627,1359.936762303726,9883.826111743152,47.21,76.36,76.36,72.07,80.01,49.39,84176.0,1048576.0,64.0
64,96,24,24,96,1,1,1,1,0,0,0.113778,0.107179,0.196039,NOT SUPPORT!,0.388437,0.250425,NOT SUPPORT!,NOT SUPPORT!,1,1,2,6.63679988836498e-05,48.23829052449817,0.0,10344.671340831062,32.44,45.46,44.92,30.790000000000003,71.49000000000001,28.6,0.0,56064.0,144.0
64,96,48,48,96,1,1,1,1,0,0,0.349525,0.389120,0.432242,NOT SUPPORT!,1.737956,0.809984,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0003092160042006,14.675495847426674,1327.607557252056,10329.015693275695,47.06,77.53,77.53,60.29,82.22,52.07,91761.0,884736.0,64.0
64,96,64,64,96,1,1,1,1,0,0,0.581404,0.612011,0.733639,NOT SUPPORT!,1.771406,1.079524,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0005380480006435,14.416137350771915,1356.4010927039149,10553.03436349382,48.12,78.97,78.97,61.75,83.71,53.01,156102.0,1572864.0,64.0
64,128,24,24,128,1,1,1,1,0,0,0.154283,0.143701,0.261234,NOT SUPPORT!,0.522240,0.310044,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001114239938108,47.09468044545018,0.0,10925.804168060626,30.77,34.53,33.970000000000006,22.82,71.85000000000001,25.23,1331.0,74496.0,144.0
64,128,48,48,128,1,1,1,1,0,0,0.477980,0.502670,0.589028,NOT SUPPORT!,2.454983,1.061774,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0005286400028942,15.234928823129499,1321.0343753341824,10661.997036058658,47.72,78.76,78.76,54.47,84.07,53.9,119128.0,1179648.0,64.0
64,128,64,64,128,1,1,1,1,0,0,0.748317,0.751275,0.930361,NOT SUPPORT!,2.365781,1.335979,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0008551040016117,35.711518121149005,353.1615890357307,10482.032163463286,36.39,57.96,57.96,36.49,74.06,44.64,603787.0,1048576.0,68.0
64,256,15,15,256,1,1,1,1,0,0,0.170553,0.167936,0.344178,NOT SUPPORT!,0.476843,0.501419,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001719360027802,105.72377701934016,0.0,11069.415045277381,30.19,32.33,31.73,15.55,71.57000000000001,23.31,0.0,58112.0,144.0
64,256,24,24,256,1,1,1,1,0,0,0.384910,0.433835,0.539762,NOT SUPPORT!,1.433259,0.791211,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0004915519974318,49.68983772994169,326.37875308859674,10216.13494042762,34.42,54.27,54.27,24.14,70.99,43.24,136353.0,294912.0,68.0
64,384,96,96,384,1,1,1,1,0,0,17.309013,13.676089,11.460835,NOT SUPPORT!,81.612343,17.960163,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0156628160025064,32.23179585351278,14.46051693155025,11136.405601910135,131.24,126.45,84.38999999999999,88.12,138.39,52.02,4736912.0,8258560.0,94.0
64,384,97,97,384,1,1,1,1,0,0,17.246096,14.342031,12.089572,NOT SUPPORT!,81.663666,26.254793,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0164869760038815,32.189396649226616,14.0253484899572,10801.27150582829,131.72,123.45,82.42999999999999,91.67,134.67,50.41,4706089.0,8431360.0,94.0
64,384,128,128,384,1,1,1,1,0,0,27.370724,23.950565,20.321053,NOT SUPPORT!,82.000435,31.718742,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0277212160025391,32.16843667815904,14.525090961490266,11186.135676717691,133.11,128.26,85.05,89.84,139.86,52.220000000000006,9814278.0,14681088.0,94.0
64,384,256,256,384,1,1,1,1,0,0,99.869133,95.375015,81.140846,NOT SUPPORT!,NOT SUPPORT!,127.237007,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.1105240960019267,32.105677316817726,14.572503139694744,11222.648980457414,134.7,128.76999999999998,85.28,90.18,140.2,52.39,38565469.0,58721280.0,94.0
64,512,8,8,512,1,1,1,1,0,0,0.193536,0.263623,0.312775,NOT SUPPORT!,1.577187,0.960626,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.000241248000972,238.64072555596968,1138.7738380965307,10191.373881209314,28.77,70.79,70.79,24.78,76.61,50.19,0.0,131072.0,80.0
64,512,15,15,512,1,1,1,1,0,0,0.625892,0.635563,0.737963,NOT SUPPORT!,1.607225,1.644089,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.000793728003854,23.102463109127466,1216.8359882860555,10889.985433334841,34.98,76.05,76.05,43.36,81.16,53.29,110006.0,460800.0,80.0
64,512,16,16,512,1,1,1,1,0,0,0.603250,0.662187,0.798834,NOT SUPPORT!,1.627022,1.802809,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0008820799977516,25.841306528133824,1245.8140427184478,11149.32243001557,35.29,76.84,76.84,33.63,83.08,54.52,96806.0,524288.0,80.0
64,512,24,24,512,1,1,1,1,0,0,1.299456,1.317205,1.570475,NOT SUPPORT!,5.245270,2.635549,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0017882559971136,54.007417469018876,348.3025612693823,11210.329026916444,35.9,58.63,58.63,20.75,77.38,47.58,442886.0,589824.0,68.0
64,640,7,7,640,1,1,1,1,0,0,0.303787,0.318236,0.350663,NOT SUPPORT!,2.463858,1.283868,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0003007680032404,264.7121891608351,1087.7071911752366,9771.847963664035,28.46,70.71,70.71,30.9,73.36,48.17,0.0,125440.0,80.0
64,640,8,8,640,1,1,1,1,0,0,0.284217,0.308793,0.405732,NOT SUPPORT!,2.466247,1.389227,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0003543680009625,280.41776921710346,1205.7937478537099,10832.725273087586,30.68,74.41,74.41,25.88,80.61,52.93,0.0,163840.0,80.0
64,640,32,32,640,1,1,1,1,0,0,4.030692,3.957419,3.440185,NOT SUPPORT!,8.185856,5.264726,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0046857600012868,40.653794525701706,8.951171205627608,11476.520382015298,110.58,112.73,80.5,72.53999999999999,127.96,52.43,1226757.0,1508864.0,94.0
64,640,97,97,640,1,1,1,1,0,0,37.413433,34.709846,31.014004,NOT SUPPORT!,NOT SUPPORT!,65.473541,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0423480639993374,40.104514383054095,9.100596428824469,11668.10219630657,133.24,126.11,84.56,87.84,138.20000000000002,52.540000000000006,9758137.0,13851392.0,94.0
64,768,8,8,768,1,1,1,1,0,0,0.400498,0.437703,0.527815,NOT SUPPORT!,3.391033,2.008178,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0005215040016116,304.1093435161831,1176.245931199688,10594.507422619754,31.93,72.81,72.81,24.61,78.91,51.9,1922.0,196608.0,80.0
64,896,7,7,896,1,1,1,1,0,0,0.424846,0.494706,0.555008,NOT SUPPORT!,4.631210,2.326073,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0005373439999987,343.30639262782586,1187.0185802791939,10711.27393999733,30.83,76.84,76.84,32.31,79.81,52.55,0.0,175616.0,80.0
64,896,8,8,896,1,1,1,1,0,0,0.574464,0.582201,0.671403,NOT SUPPORT!,4.634737,2.600732,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0006897280035391,287.2718592866506,1207.8582103746244,10899.32406024723,32.4,74.92,74.92,24.12,81.14,53.51,77063.0,229376.0,80.0
