Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,64,384,384,64,1,1,1,1,0,0,8.236146,7.672604,10.675200,NOT SUPPORT!,NOT SUPPORT!,19.733505,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0057423679994781,16.119227480972597,0.0,13673.343625336469,78.27,58.760000000000005,55.07,55.93,109.39,36.15,568479.0,9584896.0,144.0
64,64,512,512,64,1,1,1,1,0,0,15.041650,13.545245,17.942528,NOT SUPPORT!,NOT SUPPORT!,28.104931,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0101884160016155,16.09355343204051,0.0,13700.504288190317,94.21,64.75999999999999,59.15,63.78,120.24,36.690000000000005,994578.0,17039616.0,144.0
64,64,640,640,64,1,1,1,1,0,0,22.933846,20.774229,29.454224,NOT SUPPORT!,NOT SUPPORT!,51.268040,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0159173759954406,16.08207254130914,0.0,13702.24640433662,93.37,69.81,62.66,69.99000000000001,129.27,37.120000000000005,1597287.0,26624256.0,144.0
64,128,96,96,128,1,1,1,1,0,0,1.749219,1.635214,2.055623,NOT SUPPORT!,12.138950,2.780843,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0013655679978057,21.799400000974117,0.0,14263.916412290939,36.78,44.07,43.47,35.1,92.5,32.02,76894.0,1189120.0,144.0
64,128,97,97,128,1,1,1,1,0,0,1.944007,1.847068,2.272825,NOT SUPPORT!,13.218929,4.422201,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0013983040009651,21.780511241896857,0.0,14223.21165231107,36.92,44.31,43.69,40.51,92.32,31.98,99812.0,1213952.0,144.0
64,128,128,128,128,1,1,1,1,0,0,3.066311,2.852523,3.555783,NOT SUPPORT!,12.227015,4.809728,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0024000000014314,21.652958754284548,0.0,14428.40575139466,36.99,44.93,44.27,35.97,94.76,32.4,137429.0,2113792.0,144.0
64,128,256,256,128,1,1,1,1,0,0,10.650055,9.325454,13.206528,NOT SUPPORT!,48.501194,19.469765,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0095364479968063,21.377730436355982,0.0,14524.558341049737,52.23,49.09,47.04,42.3,103.22,32.86,539976.0,8454400.0,144.0
64,128,384,384,128,1,1,1,1,0,0,22.318535,20.877655,30.686890,NOT SUPPORT!,NOT SUPPORT!,55.686825,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0214261440017578,21.35214693922537,0.0,14545.48071694244,78.3,54.42,50.72,47.96,113.95,33.36,1281131.0,19022080.0,144.0
64,256,32,32,256,1,1,1,1,0,0,0.779833,0.767317,0.950044,NOT SUPPORT!,1.744099,1.222997,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0006041919974074,26.37006547209226,0.0,14272.762732713385,34.78,40.22,39.68,29.46,90.94,29.680000000000003,20148.0,263424.0,144.0
64,256,48,48,256,1,1,1,1,0,0,1.621333,1.586517,1.814756,NOT SUPPORT!,8.319317,3.273046,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0013319359925609,25.983681088544518,0.0,14567.40444913898,36.01,40.86000000000001,40.3,30.0,92.51,30.13,53583.0,592384.0,144.0
64,256,64,64,256,1,1,1,1,0,0,2.267819,2.236416,2.603918,NOT SUPPORT!,7.330360,3.837042,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0023389440075343,25.8623673923306,0.0,14747.66218639125,36.58,41.47,40.88,30.53,94.0,30.5,82647.0,1052928.0,144.0
64,256,96,96,256,1,1,1,1,0,0,6.141497,6.108956,6.319559,NOT SUPPORT!,39.028397,8.729374,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0052275200023721,25.762534281974798,0.0,14846.696173478464,36.99,41.98,41.35,31.05,95.46,30.71,200350.0,2368768.0,144.0
64,256,97,97,256,1,1,1,1,0,0,6.580679,6.463488,7.163563,NOT SUPPORT!,39.070602,13.129045,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0053570239983029,25.753012103321744,0.0,14792.755863162978,37.12,42.1,41.49,34.690000000000005,95.16,30.64,281371.0,2418432.0,144.0
64,256,128,128,256,1,1,1,1,0,0,10.773846,8.500678,9.833132,NOT SUPPORT!,39.314091,15.365121,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0092765119982731,25.709181447718272,0.0,14873.67497715578,37.13,42.48,41.78,31.78,96.95,30.8,359667.0,4210944.0,144.0
64,256,256,256,256,1,1,1,1,0,0,35.028992,34.336197,39.201679,NOT SUPPORT!,NOT SUPPORT!,61.654583,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0370011200022637,25.59000633473275,0.0,14915.853830971466,52.4,46.38,44.45,37.1,105.19,31.18,1431104.0,16843008.0,144.0
64,384,24,24,384,1,1,1,1,0,0,0.880185,0.865735,0.970297,NOT SUPPORT!,3.047993,1.601081,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0007530879993131,28.3783840526752,0.0,14473.670447466915,33.97,39.38,38.82,27.87,91.71,29.16,18693.0,221952.0,144.0
64,384,32,32,384,1,1,1,1,0,0,1.999872,1.600512,1.718158,NOT SUPPORT!,3.706425,2.477966,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0013366719964003,27.742911947116482,0.0,14496.963003777082,35.22,39.41,38.85,28.11,91.79,29.16,30954.0,394496.0,144.0
64,384,48,48,384,1,1,1,1,0,0,3.630649,2.751260,2.923179,NOT SUPPORT!,15.364665,5.927595,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0029348799947858,27.600586135959297,0.0,14855.731804183053,36.27,40.39,39.81,28.81,94.13,29.84,88566.0,887296.0,144.0
64,384,64,64,384,1,1,1,1,0,0,7.678407,5.765120,6.142179,NOT SUPPORT!,15.938333,7.935317,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0051853119996365,27.549456187797894,0.0,14948.13386840245,36.71,40.72,40.14,29.09,94.98,30.0,158693.0,1577216.0,144.0
64,512,32,32,512,1,1,1,1,0,0,2.222080,2.199097,2.300700,NOT SUPPORT!,6.332416,3.484900,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0023208639969338,28.581672877469245,0.0,14833.634059334321,35.55,39.65,39.09,27.82,93.68,29.39,67699.0,525568.0,144.0
64,512,48,48,512,1,1,1,1,0,0,4.933519,4.751474,5.062997,NOT SUPPORT!,26.490881,10.075819,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0051907839982948,28.505909626062365,0.0,14922.67956005223,36.39,39.92,39.33,28.04,94.36,29.54,144854.0,1182208.0,144.0
64,512,64,64,512,1,1,1,1,0,0,10.382677,8.596025,8.822670,NOT SUPPORT!,26.736526,13.505308,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0091504000009187,28.491696750959893,0.0,15049.329965266455,36.79,40.3,39.72,28.35,95.48,29.77,244603.0,2101504.0,144.0
64,512,96,96,512,1,1,1,1,0,0,21.374292,18.296261,19.665689,NOT SUPPORT!,NOT SUPPORT!,30.335320,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0205560639982032,28.46264737841829,0.0,15073.00352417093,37.1,40.66,40.04,28.7,96.56,29.86,584585.0,4728064.0,144.0
64,512,97,97,512,1,1,1,1,0,0,22.493866,19.170647,20.595144,NOT SUPPORT!,NOT SUPPORT!,43.617397,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0209836160032864,28.37856707553957,0.0,15076.710269119105,37.23,40.89,40.31,31.880000000000003,96.64,29.89,737641.0,4827392.0,144.0
64,512,128,128,512,1,1,1,1,0,0,36.070969,32.173965,34.875736,NOT SUPPORT!,NOT SUPPORT!,53.765232,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0365201280033196,28.42455907068851,0.0,15082.903205101877,37.2,41.13,40.42,29.3,97.95,29.94,1043214.0,8405248.0,144.0
64,640,15,15,640,1,1,1,1,0,0,1.029803,0.896114,0.980992,NOT SUPPORT!,2.498674,2.503680,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0008519999999146,31.634512695194545,0.0,13928.899907499446,34.13,37.620000000000005,37.010000000000005,29.36,88.05,27.38,12567.0,144896.0,144.0
64,640,16,16,640,1,1,1,1,0,0,1.080889,1.073721,1.134137,NOT SUPPORT!,2.524501,2.700629,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0009293119950347,35.75313584609545,0.0,14465.265047502216,31.61,38.35,37.83,24.82,91.54,28.46,16099.0,164352.0,144.0
64,640,24,24,640,1,1,1,1,0,0,2.257465,1.947762,2.292850,NOT SUPPORT!,8.262656,3.969138,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0020503359962775,29.244817205536037,0.0,14751.813739266941,34.76,38.97,38.41,27.16,92.98,28.92,46057.0,369408.0,144.0
64,640,48,48,640,1,1,1,1,0,0,10.747107,7.297024,7.535616,NOT SUPPORT!,41.308502,15.348736,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0080280000048926,29.096722881756957,0.0,15070.341156734783,36.48,39.85,39.29,27.75,95.23,29.52,208112.0,1477120.0,144.0
64,640,64,64,640,1,1,1,1,0,0,17.569908,12.837434,13.250104,NOT SUPPORT!,41.626396,20.479774,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0142265599993651,29.08677533171585,0.0,15118.476225426155,36.84,40.02,39.47,27.9,95.8,29.61,347955.0,2625792.0,144.0
64,768,15,15,768,1,1,1,1,0,0,1.241088,1.212075,1.286372,NOT SUPPORT!,3.431196,3.552484,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0011975039981768,30.646453026983128,0.0,14266.879611267581,34.61,38.22,37.620000000000005,29.9,90.02,27.85,29403.0,173824.0,144.0
64,768,16,16,768,1,1,1,1,0,0,1.551701,1.502777,1.534521,NOT SUPPORT!,3.516757,3.825892,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0013741440032,32.69138708959692,0.0,14083.326500667581,32.07,37.0,36.47,24.65,88.83,27.47,24518.0,197120.0,144.0
64,768,24,24,768,1,1,1,1,0,0,2.722475,2.713372,3.236295,NOT SUPPORT!,11.636850,5.580346,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.002915039993133,29.564618161007548,0.0,14937.416666177905,34.97,39.2,38.650000000000006,27.16,94.12,29.12,66386.0,443136.0,144.0
64,768,32,32,768,1,1,1,1,0,0,4.835328,4.676039,4.762738,NOT SUPPORT!,11.519885,7.393735,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0051616640013167,29.500832367031155,0.0,14997.116163363848,35.79,39.35,38.79,27.26,94.5,29.21,116893.0,787712.0,144.0
64,768,48,48,768,1,1,1,1,0,0,12.055893,10.383816,10.557781,NOT SUPPORT!,57.954758,21.678989,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0115428159966648,29.49391415603612,0.0,15089.270066708654,36.52,39.65,39.09,27.46,95.32,29.39,267824.0,1772032.0,144.0
