Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,1,1,1,1,1,1,1,1,0,0,0.012174,0.008306,0.008078,NOT SUPPORT!,0.024917,0.027193,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.1679995724340551e-05,24.625,0.7013701197619674,2.1589048998923057,25.77,1.97,0.18,1.97,0.29,0.06,0.0,768.0,94.0
64,1,2,2,1,1,1,1,1,0,0,0.007964,0.008420,0.007964,NOT SUPPORT!,0.024348,0.027648,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.888000402612381e-06,38.0,5.565217010763371,9.086955900387068,3.12,1.17,0.1,1.17,0.35,0.08,0.0,512.0,64.0
64,1,4,4,1,1,1,1,1,0,0,0.008306,0.008647,0.008192,NOT SUPPORT!,0.024348,0.027307,NOT SUPPORT!,NOT SUPPORT!,2,2,1,4.0000022720145415e-06,4.9411764705882355,4.095997673458432,5.37599694641419,48.86,0.58,0.12,0.58,0.16,0.01,0.0,1024.0,16.0
64,1,7,7,1,1,1,1,1,0,0,0.008761,0.009330,0.008875,NOT SUPPORT!,0.025486,0.029924,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.527994490422587e-06,51.205,61.49024797568648,100.40204552280058,3.12,1.49,1.08,1.49,4.02,0.95,0.0,6272.0,80.0
64,1,8,8,1,1,1,1,1,0,0,0.008875,0.009216,0.009330,NOT SUPPORT!,0.025031,0.031744,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.208003743914645e-06,51.44615384615385,84.45355731525288,137.89682405381137,3.67,1.5,1.31,1.5,4.87,1.16,0.0,8192.0,80.0
64,1,15,15,1,1,1,1,1,0,0,0.009330,0.009216,0.008988,NOT SUPPORT!,0.027762,0.032654,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.5456003793300783e-05,49.0320796460177,119.25462911693336,367.0806552505604,47.36,9.93,8.98,3.38,36.58,8.39,0.0,72448.0,94.0
64,1,16,16,1,1,1,1,1,0,0,0.008647,0.010012,0.008533,NOT SUPPORT!,0.027762,0.032540,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.504000802776513e-05,49.05836575875487,139.4382234456577,429.2082815436652,50.510000000000005,10.91,10.0,3.53,40.59,9.35,0.0,82432.0,94.0
64,1,24,24,1,1,1,1,1,0,0,0.008988,0.009557,0.008988,NOT SUPPORT!,0.034702,0.032654,NOT SUPPORT!,NOT SUPPORT!,0,0,1,8.160002881050699e-06,52.114285714285714,578.2586193636765,944.1879019297531,25.25,8.64,8.64,5.61,32.16,7.63,0.0,73728.0,64.0
64,1,32,32,1,1,1,1,1,0,0,0.009102,0.009444,0.008875,NOT SUPPORT!,0.034816,0.034247,NOT SUPPORT!,NOT SUPPORT!,2,2,2,2.7935999341966004e-05,49.15399610136452,300.27950306393626,924.2978453686785,61.71,19.590000000000003,17.810000000000002,8.02,78.71,16.21,0.0,328192.0,94.0
64,1,48,48,1,1,1,1,1,0,0,0.009899,0.010126,0.009785,NOT SUPPORT!,0.044715,0.042325,NOT SUPPORT!,NOT SUPPORT!,2,2,2,4.953599933326672e-05,49.23397331597787,381.02326094236287,1172.8372250882107,90.33,24.39,21.48,12.44,103.74,18.77,0.0,737792.0,94.0
