Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,8,96,96,8,3,3,1,1,0,0,0.247694,0.201387,0.348046,NOT SUPPORT!,0.333028,0.430080,0.268743,0.230628,1,7,1,0.0003056960012901,128.25519727207387,1243.1261331395995,9937.609504800488,35.91,60.22,60.22,20.6,78.4,51.24,30285.0,1131008.0,80.0
64,8,97,97,8,3,3,1,1,0,0,0.253042,0.205710,0.354076,NOT SUPPORT!,0.332914,0.430308,0.276139,0.233927,1,7,1,0.0003121280041861,126.63325114403327,1243.5513468652916,9941.008683571945,35.91,60.15,60.15,20.54,78.28,51.16,29747.0,1155200.0,80.0
64,8,128,128,8,3,3,1,1,0,0,0.432924,0.346567,0.600860,NOT SUPPORT!,0.348615,0.674930,0.465579,0.383545,1,7,1,0.0005429120032202,103.19044634538832,1257.6531812708233,10053.739419325688,36.37,60.47,60.47,21.24,79.2,51.77,55862.0,2032128.0,80.0
64,8,256,256,8,3,3,1,1,0,0,2.088391,1.641927,2.654663,NOT SUPPORT!,1.304917,2.587989,1.965284,1.442475,4,7,1,0.0021735040035417,87.65552471669643,1276.6041026281302,10205.233987080825,36.86,60.84,60.84,22.09,80.16,52.41,243375.0,8258048.0,80.0
64,8,384,384,8,3,3,1,1,0,0,3.852857,3.038436,5.325369,NOT SUPPORT!,NOT SUPPORT!,4.568861,4.642588,3.305699,1,7,1,0.004904768003232,85.38545680947686,1279.5507122588658,10228.78932478367,36.96,60.95,60.95,22.5,80.34,52.52,556565.0,18678272.0,80.0
64,8,512,512,8,3,3,1,1,0,0,8.160370,5.405127,9.358335,NOT SUPPORT!,NOT SUPPORT!,7.762604,8.318863,5.882766,1,7,1,0.0087331840042116,84.5731807704972,1280.9051995933373,10239.617161034834,37.0,60.99,60.99,22.68,80.41,52.57,1001151.0,33292800.0,80.0
64,8,640,640,8,3,3,1,1,0,0,12.542635,8.453690,14.741163,NOT SUPPORT!,NOT SUPPORT!,12.996949,13.412465,9.237959,1,7,1,0.013657567996195,84.31226843087069,1281.7910448534624,10246.698650227383,37.03,60.94,60.94,22.67,80.42,52.58,1574229.0,52101632.0,80.0
64,8,768,768,8,3,3,1,1,0,0,17.217535,12.144070,21.453255,NOT SUPPORT!,NOT SUPPORT!,18.056307,18.874708,13.286174,1,7,1,0.0196829440000034,84.12859757113738,1282.0847352914097,10249.04642557359,37.04,60.91,60.91,22.77,80.45,52.6,2284750.0,75104768.0,80.0
64,8,896,896,8,3,3,1,1,0,0,21.211931,16.550571,29.437155,NOT SUPPORT!,NOT SUPPORT!,24.194960,25.816973,18.234030,1,7,1,0.026808096004214,84.06238294446098,1282.2075048745264,10250.027851467197,37.04,60.94,60.94,22.79,80.46,52.6,3110168.0,102302208.0,80.0
64,8,1024,1024,8,3,3,1,1,0,0,28.252617,21.669092,38.247765,NOT SUPPORT!,NOT SUPPORT!,32.488564,33.395035,23.634491,1,7,1,0.0350336640013047,84.01690050530516,1282.228654996722,10250.196926551176,37.04,60.93,60.93,22.79,80.45,52.6,4069698.0,133693952.0,80.0
64,16,48,48,16,3,3,1,1,0,0,0.121287,0.103879,0.194332,NOT SUPPORT!,0.188188,0.155989,0.094549,0.126862,6,6,1,0.000146079997732,145.69108469924132,1156.962997152191,9860.142978934862,32.87,63.21,63.21,20.64,75.76,50.28,11739.0,270848.0,80.0
64,16,64,64,16,3,3,1,1,0,0,0.207417,0.175900,0.320512,NOT SUPPORT!,0.197746,0.344178,0.153259,0.214812,6,6,1,0.0002562880038708,137.1024862008142,1197.9802541003014,10209.709921963786,34.73,64.69,64.69,20.86,78.13,51.87,25459.0,492032.0,80.0
64,16,96,96,16,3,3,1,1,0,0,0.456135,0.377287,0.676978,NOT SUPPORT!,0.679822,0.588117,0.241664,0.452722,6,6,1,0.0005723840019296,99.32853775828357,1232.999157245494,10508.156279217208,36.15,65.94,65.94,21.95,80.18,53.26,69180.0,1131008.0,80.0
64,16,97,97,16,3,3,1,1,0,0,0.567296,0.465465,0.786204,NOT SUPPORT!,0.759012,0.704967,0.292864,0.512569,6,6,1,0.0005856640006452,99.00826599719035,1230.8163028731103,10489.553042755131,36.15,65.89,65.89,21.88,80.12,53.21,66557.0,1155200.0,80.0
64,16,128,128,16,3,3,1,1,0,0,0.982699,0.796558,1.350542,NOT SUPPORT!,0.785181,1.112292,0.496185,0.879275,6,6,1,0.0010198400003204,90.90588502573898,1243.3792277235855,10596.619764477608,36.63,66.09,66.09,22.38,80.87,53.72,126300.0,2032128.0,80.0
64,16,256,256,16,3,3,1,1,0,0,3.932273,3.159040,5.300679,NOT SUPPORT!,2.818389,3.197269,1.633963,3.029220,6,6,1,0.0041031040035485,84.55920222128786,1255.8838254023044,10703.189396617714,37.1,66.3,66.3,23.29,81.56,54.19,545676.0,8258048.0,80.0
64,16,384,384,16,3,3,1,1,0,0,8.866930,7.132387,11.960434,NOT SUPPORT!,NOT SUPPORT!,6.721650,3.783111,7.444481,6,6,1,0.0092557119977496,83.59928602369514,1259.2485300789192,10731.86487653797,37.19,66.44,66.44,23.54,81.72,54.29,1256366.0,18678272.0,80.0
64,16,512,512,16,3,3,1,1,0,0,12.942449,10.468123,19.047878,NOT SUPPORT!,NOT SUPPORT!,11.409408,6.480100,13.012424,6,6,1,0.0164863680038635,83.23531063048225,1260.114246820861,10739.242891976506,37.23,66.43,66.43,23.65,81.76,54.32,2237252.0,33292800.0,80.0
64,16,640,640,16,3,3,1,1,0,0,20.882772,16.395947,30.453987,NOT SUPPORT!,NOT SUPPORT!,19.127296,10.517960,21.122959,6,6,1,0.0257938879978547,83.12984732735309,1260.4310901367023,10741.943168825293,37.24,66.42,66.42,23.74,81.79,54.34,3520094.0,52101632.0,80.0
64,16,768,768,16,3,3,1,1,0,0,29.689968,23.602972,43.605331,NOT SUPPORT!,NOT SUPPORT!,26.364359,14.677105,29.299826,6,6,1,0.0371912959999181,83.0703723179158,1260.1167550628836,10739.264268308356,37.25,66.36,66.36,23.72,81.79,54.34,5077791.0,75104768.0,80.0
64,16,896,896,16,3,3,1,1,0,0,39.676132,32.177494,59.527969,NOT SUPPORT!,NOT SUPPORT!,35.334148,20.083029,41.517628,6,6,1,0.050645120000805,83.0479747494778,1260.468487210324,10742.261882987985,37.25,66.43,66.43,23.69,81.82,54.36,6940064.0,102302208.0,80.0
64,16,1024,1024,16,3,3,1,1,0,0,51.857983,41.903332,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,46.749580,25.409081,NOT SUPPORT!,6,6,1,0.066157248000605,83.03479076833904,1261.0111298347397,10746.886519969785,37.26,66.42,66.42,23.7,81.83,54.37,9098003.0,133693952.0,80.0
64,32,48,48,32,3,3,1,1,0,0,0.229604,0.205710,0.410510,NOT SUPPORT!,0.374329,0.234496,0.145522,0.283648,6,6,1,0.0002850880038587,125.21536259115108,1140.0605974325408,10053.43436835929,33.19,72.54,72.54,21.01,75.5,49.09,21855.0,270848.0,80.0
64,32,64,64,32,3,3,1,1,0,0,0.483328,0.425643,0.726244,NOT SUPPORT!,0.449536,0.619406,0.284103,0.561380,6,6,1,0.0005047999958161,101.57088101557876,1169.6481871903545,10314.34759737361,35.01,73.92,73.92,21.34,77.49,50.4,47401.0,492032.0,80.0
64,32,96,96,32,3,3,1,1,0,0,1.076793,0.995669,1.554659,NOT SUPPORT!,1.832505,1.101824,0.485717,1.233123,6,6,1,0.0011318079996736,89.09782292791277,1199.1517999443395,10574.520289175834,36.29,75.27,75.27,22.31,79.4,51.66,132567.0,1131008.0,80.0
64,32,97,97,32,3,3,1,1,0,0,0.903737,0.790187,1.392412,NOT SUPPORT!,1.665820,0.969728,0.443164,1.075996,6,6,1,0.0011555840003224,88.91650451087918,1199.6012402501667,10578.483603606053,36.35,75.38,75.38,22.24,79.61,51.79,123986.0,1155200.0,80.0
64,32,128,128,32,3,3,1,1,0,0,1.571840,1.367381,2.411975,NOT SUPPORT!,1.708260,1.537479,0.740579,1.895993,6,6,1,0.0020137920012801,85.84002571115722,1210.926251792585,10678.351330390946,36.77,75.63,75.63,22.73,80.2,52.18,236784.0,2032128.0,80.0
