Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,1,4,4,1,3,3,1,1,0,0,0.014564,0.010354,0.009102,NOT SUPPORT!,0.027534,0.037888,0.024804,0.021390,2,7,1,3.87200390974102e-06,1.1176470588235294,0.0,1.2561970786660002,23.38,0.62,0.1,0.62,0.09,0.01,0.0,1024.0,32.0
64,1,7,7,1,3,3,1,1,0,0,0.010354,0.010923,0.010468,NOT SUPPORT!,0.027193,0.038002,0.024121,0.021732,0,7,1,4.895997007901066e-06,2.375,0.0,6.209154121405928,40.27,0.62,0.27,0.62,0.39,0.02,0.0,2048.0,32.0
64,1,8,8,1,3,3,1,1,0,0,0.011264,0.011264,0.010012,NOT SUPPORT!,0.027989,0.037774,0.024690,0.021618,2,7,1,5.248004433260282e-06,2.6307692307692307,0.0,8.341456368169355,40.76,0.6,0.37,0.6,0.54,0.03,0.0,3072.0,32.0
64,1,15,15,1,3,3,1,1,0,0,0.013084,0.013198,0.010468,NOT SUPPORT!,0.029127,0.038912,0.029013,0.023893,2,7,1,5.312004180731831e-06,3.5519911504424777,0.0,38.68671654013794,44.76,1.59,1.59,1.08,2.3,0.1,0.0,11264.0,32.0
64,1,16,16,1,3,3,1,1,0,0,0.012629,0.013084,0.010126,NOT SUPPORT!,0.029013,0.038457,0.029127,0.023666,2,7,1,5.6000026374945655e-06,3.6296296296296298,0.0,42.55997995505074,43.9,1.78,1.78,1.15,2.6,0.12,0.0,13312.0,32.0
64,1,24,24,1,3,3,1,1,0,0,0.015019,0.015132,0.009899,NOT SUPPORT!,0.036750,0.038912,0.034816,0.025259,2,7,1,5.344001930750907e-06,3.9878577623590634,0.0,110.13169673711201,45.01,4.44,4.44,2.66,6.56,0.3,0.0,31744.0,32.0
64,1,32,32,1,3,3,1,1,0,0,0.017977,0.018091,0.010126,NOT SUPPORT!,0.036978,0.038571,0.038912,0.028217,2,7,1,8.479998951139439e-06,4.6142578125,0.0,142.64152707677735,12.07,6.07,6.07,3.82,6.77,5.63,16128.0,16384.0,30.0
64,1,48,48,1,3,3,1,1,0,0,0.012402,0.013540,0.011378,NOT SUPPORT!,0.045625,0.083172,0.060075,0.034588,2,7,1,1.2959996174321309e-05,4.820568453026687,0.0,219.43710181295097,12.16,8.14,8.14,5.07,8.99,7.52,24768.0,16384.0,30.0
64,1,64,64,1,3,3,1,1,0,0,0.015815,0.015474,0.012060,NOT SUPPORT!,0.046535,0.161451,0.089088,0.043691,2,7,1,1.839999591000853e-05,4.926400585865983,0.0,280.77919284698396,12.29,9.55,9.55,6.72,10.7,8.8,33408.0,16384.0,30.0
64,1,96,96,1,3,3,1,1,0,0,0.022528,0.022642,0.016156,NOT SUPPORT!,0.097963,0.271360,0.173625,0.073728,2,7,1,3.497599901073108e-05,5.033255574241849,0.0,339.535233757195,12.37,10.46,10.46,7.6,12.04,9.6,50688.0,16384.0,30.0
64,1,97,97,1,3,3,1,1,0,0,0.022869,0.022983,0.015929,NOT SUPPORT!,0.098304,0.269653,0.173170,0.074183,2,7,1,3.625600359505037e-05,5.0354694723417825,0.0,334.5542474972591,12.36,10.29,10.29,7.66,11.76,9.4,52992.0,16384.0,30.0
64,1,128,128,1,3,3,1,1,0,0,0.033564,0.033678,0.021163,NOT SUPPORT!,0.099783,0.412331,0.290702,0.114802,2,7,1,5.888000032848537e-05,5.087063993408404,0.0,362.3869545000201,12.43,10.78,10.78,7.83,12.7,9.86,67392.0,16384.0,30.0
64,1,256,256,1,3,3,1,1,0,0,0.184548,0.184320,0.060530,NOT SUPPORT!,0.251449,1.332224,1.332793,0.568889,2,7,1,0.0002262080006488,4.508275600455208,0.0,383.3175827172494,12.49,10.76,10.76,8.34,13.18,9.8,133632.0,16384.0,30.0
64,1,384,384,1,3,3,1,1,0,0,0.479346,0.479346,0.151552,NOT SUPPORT!,NOT SUPPORT!,3.263260,2.971420,1.270101,2,7,1,0.0005194560038501,3.2255933509328147,0.0,377.55239047462254,12.5,10.35,10.35,8.2,12.84,9.4,199872.0,16384.0,30.0
64,1,512,512,1,3,3,1,1,0,0,0.744448,0.743424,0.218908,NOT SUPPORT!,NOT SUPPORT!,4.670578,4.350863,1.943893,2,7,1,0.0009439039967669,2.9131044634428616,0.0,370.3495283390865,12.5,10.23,10.23,8.38,12.76,9.27,274176.0,16384.0,30.0
64,1,640,640,1,3,3,1,1,0,0,1.204565,1.204110,0.335076,NOT SUPPORT!,NOT SUPPORT!,7.758165,6.727453,3.046741,2,7,1,0.0015294720041696,2.8025116602963713,0.0,357.68365456092175,12.5,9.79,9.79,7.98,12.25,8.84,334080.0,16384.0,30.0
