Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,1,1,1,1,1,1,1,0,0,0.012516,0.009216,0.008647,NOT SUPPORT!,0.027079,0.027876,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.1487999079739171e-05,0.0,0.0,0.0,16384.0,128.0,0.0,576.0,0.0,0.0,32.0,1280.0,552480.0,3648.0,1.91,0.21,1.91,0.52,828.0,0.11,27.09,0.0,34048.0,16384.0,50432.0,39.4,0.09128294236895453,13.824561403508772,4.389972496511117,1.4261839582574192
128,1,2,2,1,1,1,1,1,0,0,0.009102,0.009444,0.008875,NOT SUPPORT!,0.027420,0.029810,NOT SUPPORT!,NOT SUPPORT!,2,2,1,4.064004738801782e-06,0.0,0.0,0.0,512.0,512.0,0.0,512.0,0.0,0.0,16.0,2176.0,123744.0,4608.0,0.62,0.11,0.62,0.1,48.0,0.01,33.27,0.0,2560.0,8192.0,10752.0,4.9411764705882355,0.08688906128782002,2.3333333333333335,2.6456662063760494,2.015745681048419
128,1,4,4,1,1,1,1,1,0,0,0.009330,0.009785,0.009557,NOT SUPPORT!,0.026965,0.030834,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.408000699733071e-06,0.0,0.0,0.0,65536.0,2048.0,0.0,16384.0,0.0,0.0,512.0,8448.0,371232.0,43008.0,1.34,0.7,1.34,2.62,3840.0,0.62,3.12,0.0,165888.0,262144.0,428032.0,50.666666666666664,1.1530040513748814,9.952380952380953,79.14791875325143,48.47336650916834
128,1,7,7,1,1,1,1,1,0,0,0.009444,0.009899,0.009444,NOT SUPPORT!,0.027989,0.031858,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.9199982574738e-06,0.0,0.0,0.0,200704.0,6272.0,0.0,50176.0,0.0,0.0,1568.0,25344.0,518208.0,131712.0,1.96,1.96,1.7,7.28,11760.0,1.73,5.43,0.0,508032.0,802816.0,1310848.0,51.72222222222222,2.5295788563665553,9.952380952380953,221.42709220312662,135.61085072727374
128,1,8,8,1,1,1,1,1,0,0,0.009330,0.010354,0.009557,NOT SUPPORT!,0.028103,0.032654,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.239996038629442e-06,0.0,0.0,0.0,262144.0,8192.0,0.0,65536.0,0.0,0.0,2048.0,33152.0,582272.0,172032.0,2.51,2.51,1.87,9.34,15360.0,2.22,7.01,0.0,663552.0,1048576.0,1712128.0,51.64478764478765,2.9404264673554628,9.952380952380953,274.3796613653064,168.04113231942216
128,1,15,15,1,1,1,1,1,0,0,0.010240,0.009785,0.009557,NOT SUPPORT!,0.029810,0.033337,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.846400651262856e-05,0.0,0.0,0.0,3686400.0,28800.0,0.0,129600.0,0.0,0.0,7200.0,230784.0,1845024.0,820800.0,14.51,13.33,4.8100000000000005,55.6,185836.0,12.35,54.120000000000005,0.0,7660800.0,3686400.0,11347200.0,49.16805324459234,6.150163900306988,13.824561403508772,614.5578421584187,199.65330912760814
128,1,16,16,1,1,1,1,1,0,0,0.009444,0.009557,0.009330,NOT SUPPORT!,0.030492,0.032996,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.8687997600276745e-05,0.0,0.0,0.0,4194304.0,32768.0,0.0,147456.0,0.0,0.0,8192.0,262528.0,2035520.0,933888.0,16.1,14.9,5.390000000000001,62.28,211181.0,13.79,55.400000000000006,0.0,8716288.0,4194304.0,12910592.0,49.17796196977084,6.342650526646754,13.824561403508772,690.8494037803606,224.43838498448264
128,1,24,24,1,1,1,1,1,0,0,0.009671,0.009785,0.009444,NOT SUPPORT!,0.037547,0.034020,NOT SUPPORT!,NOT SUPPORT!,2,2,2,2.995200302691062e-05,0.0,0.0,0.0,9437184.0,73728.0,0.0,331776.0,0.0,0.0,18432.0,590208.0,3881856.0,2101248.0,20.6,18.67,8.67,83.13000000000001,473236.0,16.91,65.28999999999999,0.0,19611648.0,9437184.0,29048832.0,49.21795705920625,7.483232762884558,13.824561403508772,969.8460558347582,315.07689123565746
128,1,32,32,1,1,1,1,1,0,0,0.010240,0.011150,0.010126,NOT SUPPORT!,0.037547,0.034361,NOT SUPPORT!,NOT SUPPORT!,2,2,2,4.518400168041333e-05,0.0,0.0,0.0,16777216.0,131072.0,0.0,589824.0,0.0,0.0,32768.0,1056384.0,6572192.0,3735552.0,24.08,21.14,12.89,99.54,840937.0,18.7,85.35,0.0,34865152.0,16777216.0,51642368.0,48.885980855446505,7.857708356663956,13.824561403508772,1142.934801686374,371.3087680605479
128,1,48,48,1,1,1,1,1,0,0,0.011150,0.011605,0.010923,NOT SUPPORT!,0.053703,0.047559,NOT SUPPORT!,NOT SUPPORT!,2,2,2,8.806399924457435e-05,0.0,0.0,0.0,37748736.0,294912.0,0.0,1327104.0,0.0,0.0,73728.0,2359808.0,13653696.0,8404992.0,28.0,23.99,17.09,123.6,1890613.0,20.22,111.9,0.0,78446592.0,37748736.0,116195328.0,49.23931438489911,8.510173948504493,13.824561403508772,1319.4418717834783,428.651166467729
