Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,4,4,1,3,3,1,1,0,0,0.013198,0.009671,0.008988,NOT SUPPORT!,0.025941,0.040164,0.023780,0.020821,2,7,1,4.959997822459713e-06,0.0,0.0,0.0,4608.0,512.0,0.0,0.0,0.0,0.0,0.0,8192.0,142176.0,55808.0,0.58,0.14,0.58,0.14,48.0,0.01,30.22,0.0,9728.0,0.0,9728.0,1.1875,0.06842223722709881,0.1743119266055046,1.9612911836271305,0.0
128,1,7,7,1,3,3,1,1,0,0,0.010354,0.011492,0.009557,NOT SUPPORT!,0.025145,0.039026,0.023324,0.021276,2,7,1,5.600004246103984e-06,0.0,0.0,0.0,28800.0,3200.0,0.0,0.0,0.0,0.0,0.0,25216.0,196320.0,245888.0,0.69,0.5,0.69,0.72,228.0,0.04,43.1,0.0,60800.0,0.0,60800.0,2.4111675126903553,0.30969845150774244,0.24726704841228528,10.857134624906681,0.0
128,1,8,8,1,3,3,1,1,0,0,0.010012,0.010012,0.009557,NOT SUPPORT!,0.025828,0.040277,0.023552,0.021276,2,7,1,5.791998931343203e-06,0.0,0.0,0.0,41472.0,4608.0,0.0,0.0,0.0,0.0,0.0,33024.0,218016.0,305888.0,0.75,0.68,0.75,1.01,304.0,0.05,44.76,0.0,87552.0,0.0,87552.0,2.6511627906976742,0.40158520475561427,0.28622240820169476,15.116024888439702,0.0
128,1,15,15,1,3,3,1,1,0,0,0.010468,0.010468,0.009671,NOT SUPPORT!,0.027534,0.040050,0.031061,0.024235,2,7,1,6.2400025761405046e-06,0.0,0.0,0.0,194688.0,21632.0,0.0,0.0,0.0,0.0,0.0,115456.0,470016.0,1352032.0,3.09,3.09,2.11,4.49,1380.0,0.2,45.27,0.0,411008.0,0.0,411008.0,3.559866962305987,0.8744553376906318,0.3039928049040259,65.86663947408368,0.0
128,1,16,16,1,3,3,1,1,0,0,0.010468,0.010809,0.009671,NOT SUPPORT!,0.027989,0.039481,0.030492,0.024348,2,7,1,6.207999999978993e-06,0.0,0.0,0.0,225792.0,25088.0,0.0,0.0,0.0,0.0,0.0,131200.0,529344.0,1517888.0,3.58,3.58,2.59,5.24,1584.0,0.23,44.38,0.0,476672.0,0.0,476672.0,3.633170731707317,0.9004957078950551,0.3140363452375933,76.783505154899,0.0
128,1,24,24,1,3,3,1,1,0,0,0.010240,0.010012,0.009216,NOT SUPPORT!,0.036409,0.040619,0.048128,0.027876,2,7,1,6.111998913972905e-06,0.0,0.0,0.0,557568.0,61952.0,0.0,0.0,0.0,0.0,0.0,295040.0,1071360.0,3653792.0,8.73,8.73,6.09,12.89,3888.0,0.58,45.0,0.0,1177088.0,0.0,1177088.0,3.989587852494577,1.0986857825567502,0.32215517467879945,192.58642165478926,0.0
128,1,32,32,1,3,3,1,1,0,0,0.011378,0.011719,0.011036,NOT SUPPORT!,0.037319,0.040846,0.056092,0.032085,2,7,1,9.087998609816987e-06,0.0,0.0,0.0,1152000.0,115200.0,0.0,0.0,0.0,0.0,0.0,524416.0,1883104.0,1052512.0,11.26,11.26,6.9,12.56,109312.0,10.45,14.29,32256.0,2419200.0,0.0,2419200.0,4.613131559677813,1.2846874097235204,2.298501109726065,266.1972238185364,0.0
128,1,48,48,1,3,3,1,1,0,0,0.013426,0.014336,0.011378,NOT SUPPORT!,0.052338,0.079417,0.097963,0.045739,2,7,1,1.4368004371732308e-05,0.0,0.0,0.0,2708480.0,270848.0,0.0,0.0,0.0,0.0,0.0,1179776.0,4062688.0,2405568.0,14.19,14.19,9.77,15.68,224128.0,13.11,14.6,49536.0,5687808.0,0.0,5687808.0,4.821091461429966,1.4000110271820037,2.364434511932317,395.866249260769,0.0
128,1,64,64,1,3,3,1,1,0,0,0.016839,0.017408,0.014677,NOT SUPPORT!,0.053248,0.167140,0.156331,0.067584,2,7,1,2.140799838358013e-05,0.0,0.0,0.0,4920320.0,492032.0,0.0,0.0,0.0,0.0,0.0,2097280.0,6977024.0,4312288.0,15.57,15.57,10.5,17.44,379904.0,14.34,14.73,66816.0,10332672.0,0.0,10332672.0,4.9267012511443395,1.4809569237543112,2.3960997039158793,482.6547449632249,0.0
128,1,96,96,1,3,3,1,1,0,0,0.027079,0.027534,0.021959,NOT SUPPORT!,0.138126,0.262940,0.323129,0.126748,2,7,1,4.201599706181968e-05,0.0,0.0,0.0,11310080.0,1131008.0,0.0,0.0,0.0,0.0,0.0,4718720.0,15453824.0,9811776.0,17.24,17.24,12.24,19.85,814336.0,15.82,14.89,101376.0,23751168.0,0.0,23751168.0,5.033392106333921,1.5369120290227196,2.420679803534039,565.2886914727749,0.0
