Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
64,1,1,1,1,1,1,1,1,0,0,0.012174,0.008306,0.008078,NOT SUPPORT!,0.024917,0.027193,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.1679995724340551e-05,0.0,0.0,0.0,8192.0,64.0,0.0,288.0,0.0,0.0,16.0,1024.0,547520.0,1824.0,1.97,0.18,1.97,0.29,422.0,0.06,25.77,0.0,94.0,768.0,17024.0,8192.0,25216.0,24.625,0.04605493863237872,13.824561403508772,2.1589048998923057,0.7013701197619674
64,1,2,2,1,1,1,1,1,0,0,0.007964,0.008420,0.007964,NOT SUPPORT!,0.024348,0.027648,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.888000402612381e-06,0.0,0.0,0.0,8192.0,256.0,0.0,2048.0,0.0,0.0,64.0,1408.0,306560.0,5376.0,1.17,0.1,1.17,0.35,480.0,0.08,3.12,0.0,64.0,512.0,20736.0,32768.0,53504.0,38.0,0.17453027139874738,9.952380952380953,9.086955900387068,5.565217010763371
64,1,4,4,1,1,1,1,1,0,0,0.008306,0.008647,0.008192,NOT SUPPORT!,0.024348,0.027307,NOT SUPPORT!,NOT SUPPORT!,2,2,1,4.0000022720145415e-06,0.0,0.0,0.0,1024.0,1024.0,0.0,1024.0,0.0,0.0,32.0,4352.0,129632.0,9216.0,0.58,0.12,0.58,0.16,64.0,0.01,48.86,0.0,16.0,1024.0,5120.0,16384.0,21504.0,4.9411764705882355,0.16588496667489508,2.3333333333333335,5.37599694641419,4.095997673458432
64,1,7,7,1,1,1,1,1,0,0,0.008761,0.009330,0.008875,NOT SUPPORT!,0.025486,0.029924,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.527994490422587e-06,0.0,0.0,0.0,100352.0,3136.0,0.0,25088.0,0.0,0.0,784.0,12800.0,411552.0,65856.0,1.49,1.08,1.49,4.02,5880.0,0.95,3.12,0.0,80.0,6272.0,254016.0,401408.0,655424.0,51.205,1.5925666744421119,9.952380952380953,100.40204552280058,61.49024797568648
64,1,8,8,1,1,1,1,1,0,0,0.008875,0.009216,0.009330,NOT SUPPORT!,0.025031,0.031744,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.208003743914645e-06,0.0,0.0,0.0,131072.0,4096.0,0.0,32768.0,0.0,0.0,1024.0,16640.0,447680.0,86016.0,1.5,1.31,1.5,4.87,7680.0,1.16,3.67,0.0,80.0,8192.0,331776.0,524288.0,856064.0,51.44615384615385,1.9122230164403144,9.952380952380953,137.89682405381137,84.45355731525288
64,1,15,15,1,1,1,1,1,0,0,0.009330,0.009216,0.008988,NOT SUPPORT!,0.027762,0.032654,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.5456003793300783e-05,0.0,0.0,0.0,1843200.0,14400.0,0.0,64800.0,0.0,0.0,3600.0,115712.0,1239552.0,410400.0,9.93,8.98,3.38,36.58,92424.0,8.39,47.36,0.0,94.0,72448.0,3830400.0,1843200.0,5673600.0,49.0320796460177,4.577137546468402,13.824561403508772,367.0806552505604,119.25462911693336
64,1,16,16,1,1,1,1,1,0,0,0.008647,0.010012,0.008533,NOT SUPPORT!,0.027762,0.032540,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.504000802776513e-05,0.0,0.0,0.0,2097152.0,16384.0,0.0,73728.0,0.0,0.0,4096.0,131584.0,1321664.0,466944.0,10.91,10.0,3.53,40.59,105491.0,9.35,50.510000000000005,0.0,94.0,82432.0,4358144.0,2097152.0,6455296.0,49.05836575875487,4.884218681904024,13.824561403508772,429.2082815436652,139.4382234456577
64,1,24,24,1,1,1,1,1,0,0,0.008988,0.009557,0.008988,NOT SUPPORT!,0.034702,0.032654,NOT SUPPORT!,NOT SUPPORT!,0,0,1,8.160002881050699e-06,0.0,0.0,0.0,1179648.0,36864.0,0.0,294912.0,0.0,0.0,9216.0,147840.0,1537440.0,774144.0,8.64,8.64,5.61,32.16,69120.0,7.63,25.25,0.0,64.0,73728.0,2985984.0,4718592.0,7704576.0,52.114285714285714,5.011301904464564,9.952380952380953,944.1879019297531,578.2586193636765
64,1,32,32,1,1,1,1,1,0,0,0.009102,0.009444,0.008875,NOT SUPPORT!,0.034816,0.034247,NOT SUPPORT!,NOT SUPPORT!,2,2,2,2.7935999341966004e-05,0.0,0.0,0.0,8388608.0,65536.0,0.0,294912.0,0.0,0.0,16384.0,525312.0,3536768.0,1867776.0,19.590000000000003,17.810000000000002,8.02,78.71,420948.0,16.21,61.71,0.0,94.0,328192.0,17432576.0,8388608.0,25821184.0,49.15399610136452,7.300785349788281,13.824561403508772,924.2978453686785,300.27950306393626
64,1,48,48,1,1,1,1,1,0,0,0.009899,0.010126,0.009785,NOT SUPPORT!,0.044715,0.042325,NOT SUPPORT!,NOT SUPPORT!,2,2,2,4.953599933326672e-05,0.0,0.0,0.0,18874368.0,147456.0,0.0,663552.0,0.0,0.0,36864.0,1180032.0,7172256.0,4202496.0,24.39,21.48,12.44,103.74,945747.0,18.77,90.33,0.0,94.0,737792.0,39223296.0,18874368.0,58097664.0,49.23397331597787,8.100333284255331,13.824561403508772,1172.8372250882107,381.02326094236287
64,1,64,64,1,1,1,1,1,0,0,0.010468,0.010923,0.010126,NOT SUPPORT!,0.044260,0.043349,NOT SUPPORT!,NOT SUPPORT!,2,2,2,7.936000456536839e-05,0.0,0.0,0.0,33554432.0,262144.0,0.0,1179648.0,0.0,0.0,65536.0,2105088.0,12244672.0,7471104.0,27.36,23.65,15.89,120.45,1680037.0,20.08,111.25,0.0,94.0,1311232.0,69730304.0,33554432.0,103284736.0,49.0643317524018,8.435075761931394,13.824561403508772,1301.4708928717985,422.81287890251326
64,1,96,96,1,1,1,1,1,0,0,0.011833,0.012402,0.011833,NOT SUPPORT!,0.097052,0.066788,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001593600022653,0.0,0.0,0.0,75497472.0,589824.0,0.0,7077888.0,0.0,0.0,221184.0,2359552.0,18653952.0,12091392.0,17.52,17.52,3.51,76.87,3329583.0,16.9,35.09,0.0,68.0,2359296.0,165740544.0,113246208.0,278986752.0,118.23717044591515,14.955905965663469,23.073170731707318,1750.6698546323266,710.6313151995914
64,1,97,97,1,1,1,1,1,0,0,0.011833,0.012288,0.012060,NOT SUPPORT!,0.096028,0.077255,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001626559974114,0.0,0.0,0.0,77078528.0,602176.0,0.0,7226112.0,0.0,0.0,225816.0,2409088.0,19043136.0,12344608.0,17.52,17.52,3.56,76.9,3399468.0,16.91,35.09,0.0,68.0,2408704.0,169211456.0,115617792.0,284829248.0,118.2311513734658,14.957055812656067,23.073170731707318,1751.1143304454465,710.8117366713018
64,1,128,128,1,1,1,1,1,0,0,0.015360,0.015701,0.015132,NOT SUPPORT!,0.099669,0.082148,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.2288000643645702e-05,0.0,0.0,0.0,1048576.0,1048576.0,0.0,1048576.0,0.0,0.0,32768.0,4194432.0,13377568.0,9437184.0,19.42,11.76,32.23,46.8,65536.0,4.29,83.07,0.0,16.0,1048576.0,5242880.0,16777216.0,22020096.0,5.249839787604138,1.64604627687185,2.3333333333333335,1791.9999061350068,1365.333261817148
64,1,256,256,1,1,1,1,1,0,0,0.040164,0.039936,0.039595,NOT SUPPORT!,0.252700,0.192171,NOT SUPPORT!,NOT SUPPORT!,2,2,1,3.7472003585864735e-05,0.0,0.0,0.0,4194304.0,4194304.0,0.0,4194304.0,0.0,0.0,131072.0,19399808.0,55624384.0,37748736.0,26.9,15.37,43.49,60.98,262144.0,5.7,82.38,0.0,16.0,4194304.0,20971520.0,67108864.0,88080384.0,4.540270914021417,1.583485113291322,2.3333333333333335,2350.565103842642,1790.90674578487
64,1,384,384,1,1,1,1,1,0,0,0.090681,0.090908,0.090340,NOT SUPPORT!,NOT SUPPORT!,0.555349,NOT SUPPORT!,NOT SUPPORT!,2,2,1,8.04160022569959e-05,0.0,0.0,0.0,9437184.0,9437184.0,0.0,9437184.0,0.0,0.0,294912.0,61085824.0,140376768.0,84934656.0,37.34,15.59,45.88,63.0,589824.0,5.91,82.83,0.0,16.0,9437184.0,47185920.0,150994944.0,198180864.0,3.2443020495229793,1.4117782224477486,2.3333333333333335,2464.445613282883,1877.6728482155302
64,1,512,512,1,1,1,1,1,0,0,0.153941,0.154283,0.154055,NOT SUPPORT!,NOT SUPPORT!,0.759580,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001409920009685,0.0,0.0,0.0,16777216.0,16777216.0,0.0,16777216.0,0.0,0.0,524288.0,120078336.0,257026688.0,150994944.0,41.94,15.69,47.08,63.86,1048576.0,6.0,83.05,0.0,16.0,16777216.0,83886080.0,268435456.0,352321536.0,2.9340974212034383,1.3707585727440101,2.3333333333333335,2498.8760609101123,1903.9055702172284
64,1,640,640,1,1,1,1,1,0,0,0.234041,0.234496,0.233813,NOT SUPPORT!,NOT SUPPORT!,1.401515,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0002190079977457,0.0,0.0,0.0,26214400.0,26214400.0,0.0,26214400.0,0.0,0.0,819200.0,195013632.0,406721152.0,235929600.0,43.78,15.68,47.15,64.05,1638400.0,6.02,82.98,0.0,16.0,26214400.0,131072000.0,419430400.0,550502400.0,2.8228918889116428,1.3535130821029933,2.3333333333333335,2513.6177932607416,1915.1373662938986
64,1,768,768,1,1,1,1,1,0,0,0.333028,0.332914,0.332345,NOT SUPPORT!,NOT SUPPORT!,1.718386,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0003138879980681,0.0,0.0,0.0,37748736.0,37748736.0,0.0,37748736.0,0.0,0.0,1179648.0,287535232.0,592521344.0,339738624.0,45.04,15.71,47.55,64.31,2359296.0,6.05,83.06,0.0,16.0,37748736.0,188743680.0,603979776.0,792723456.0,2.756961122593839,1.3378816881911346,2.3333333333333335,2525.4978236791762,1924.188818041277
