Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
64,1,4,4,1,3,3,1,1,0,0,0.014564,0.010354,0.009102,NOT SUPPORT!,0.027534,0.037888,0.024804,0.021390,2,7,1,3.87200390974102e-06,0.0,0.0,0.0,2304.0,256.0,0.0,0.0,0.0,0.0,0.0,4352.0,133504.0,27904.0,0.62,0.1,0.62,0.09,40.0,0.01,23.38,0.0,32.0,1024.0,4864.0,0.0,4864.0,1.1176470588235294,0.0364333652924257,0.1743119266055046,1.2561970786660002,0.0
64,1,7,7,1,3,3,1,1,0,0,0.010354,0.010923,0.010468,NOT SUPPORT!,0.027193,0.038002,0.024121,0.021732,0,7,1,4.895997007901066e-06,0.0,0.0,0.0,14400.0,1600.0,0.0,0.0,0.0,0.0,0.0,12800.0,164352.0,122880.0,0.62,0.27,0.62,0.39,114.0,0.02,40.27,0.0,32.0,2048.0,30400.0,0.0,30400.0,2.375,0.18496884735202493,0.24739583333333334,6.209154121405928,0.0
64,1,8,8,1,3,3,1,1,0,0,0.011264,0.011264,0.010012,NOT SUPPORT!,0.027989,0.037774,0.024690,0.021618,2,7,1,5.248004433260282e-06,0.0,0.0,0.0,20736.0,2304.0,0.0,0.0,0.0,0.0,0.0,16640.0,165088.0,152992.0,0.6,0.37,0.6,0.54,168.0,0.03,40.76,0.0,32.0,3072.0,43776.0,0.0,43776.0,2.6307692307692307,0.2651676681527428,0.28613260824095377,8.341456368169355,0.0
64,1,15,15,1,3,3,1,1,0,0,0.013084,0.013198,0.010468,NOT SUPPORT!,0.029127,0.038912,0.029013,0.023893,2,7,1,5.312004180731831e-06,0.0,0.0,0.0,97344.0,10816.0,0.0,0.0,0.0,0.0,0.0,57856.0,298688.0,676768.0,1.59,1.59,1.08,2.3,690.0,0.1,44.76,0.0,32.0,11264.0,205504.0,0.0,205504.0,3.5519911504424777,0.6880222841225627,0.3036550191498416,38.68671654013794,0.0
64,1,16,16,1,3,3,1,1,0,0,0.012629,0.013084,0.010126,NOT SUPPORT!,0.029013,0.038457,0.029127,0.023666,2,7,1,5.6000026374945655e-06,0.0,0.0,0.0,112896.0,12544.0,0.0,0.0,0.0,0.0,0.0,65664.0,320160.0,760512.0,1.78,1.78,1.15,2.6,808.0,0.12,43.9,0.0,32.0,13312.0,238336.0,0.0,238336.0,3.6296296296296298,0.7444277861069465,0.31338887486325,42.55997995505074,0.0
64,1,24,24,1,3,3,1,1,0,0,0.015019,0.015132,0.009899,NOT SUPPORT!,0.036750,0.038912,0.034816,0.025259,2,7,1,5.344001930750907e-06,0.0,0.0,0.0,278784.0,30976.0,0.0,0.0,0.0,0.0,0.0,147584.0,577120.0,1823520.0,4.44,4.44,2.66,6.56,1960.0,0.3,45.01,0.0,32.0,31744.0,588544.0,0.0,588544.0,3.9878577623590634,1.0197948433601332,0.3227516012985873,110.13169673711201,0.0
64,1,32,32,1,3,3,1,1,0,0,0.017977,0.018091,0.010126,NOT SUPPORT!,0.036978,0.038571,0.038912,0.028217,2,7,1,8.479998951139439e-06,0.0,0.0,0.0,576000.0,57600.0,0.0,0.0,0.0,0.0,0.0,262144.0,1031552.0,525440.0,6.07,6.07,3.82,6.77,54656.0,5.63,12.07,16128.0,30.0,16384.0,1209600.0,0.0,1209600.0,4.6142578125,1.1726020598089093,2.302070645554202,142.64152707677735,0.0
64,1,48,48,1,3,3,1,1,0,0,0.012402,0.013540,0.011378,NOT SUPPORT!,0.045625,0.083172,0.060075,0.034588,2,7,1,1.2959996174321309e-05,0.0,0.0,0.0,1354240.0,135424.0,0.0,0.0,0.0,0.0,0.0,589952.0,2041920.0,1206560.0,8.14,8.14,5.07,8.99,112064.0,7.52,12.16,24768.0,30.0,16384.0,2843904.0,0.0,2843904.0,4.820568453026687,1.3927597555242126,2.3570348760111393,219.43710181295097,0.0
64,1,64,64,1,3,3,1,1,0,0,0.015815,0.015474,0.012060,NOT SUPPORT!,0.046535,0.161451,0.089088,0.043691,2,7,1,1.839999591000853e-05,0.0,0.0,0.0,2460160.0,246016.0,0.0,0.0,0.0,0.0,0.0,1048704.0,3619936.0,2151808.0,9.55,9.55,6.72,10.7,189952.0,8.8,12.29,33408.0,30.0,16384.0,5166336.0,0.0,5166336.0,4.926400585865983,1.4271898729701298,2.4009279638332046,280.77919284698396,0.0
64,1,96,96,1,3,3,1,1,0,0,0.022528,0.022642,0.016156,NOT SUPPORT!,0.097963,0.271360,0.173625,0.073728,2,7,1,3.497599901073108e-05,0.0,0.0,0.0,5655040.0,565504.0,0.0,0.0,0.0,0.0,0.0,2359424.0,7862368.0,4911200.0,10.46,10.46,7.6,12.04,407168.0,9.6,12.37,50688.0,30.0,16384.0,11875584.0,0.0,11875584.0,5.033255574241849,1.5104334978978344,2.41806157354618,339.535233757195,0.0
64,1,97,97,1,3,3,1,1,0,0,0.022869,0.022983,0.015929,NOT SUPPORT!,0.098304,0.269653,0.173170,0.074183,2,7,1,3.625600359505037e-05,0.0,0.0,0.0,5776000.0,577600.0,0.0,0.0,0.0,0.0,0.0,2408832.0,8224960.0,5566592.0,10.29,10.29,7.66,11.76,417216.0,9.4,12.36,52992.0,30.0,16384.0,12129600.0,0.0,12129600.0,5.0354694723417825,1.474730576197331,2.1789992871760675,334.5542474972591,0.0
64,1,128,128,1,3,3,1,1,0,0,0.033564,0.033678,0.021163,NOT SUPPORT!,0.099783,0.412331,0.290702,0.114802,2,7,1,5.888000032848537e-05,0.0,0.0,0.0,10160640.0,1016064.0,0.0,0.0,0.0,0.0,0.0,4194432.0,13810080.0,8853920.0,10.78,10.78,7.83,12.7,707018.0,9.86,12.43,67392.0,30.0,16384.0,21337344.0,0.0,21337344.0,5.087063993408404,1.5450557853394042,2.4099318719843867,362.3869545000201,0.0
64,1,256,256,1,3,3,1,1,0,0,0.184548,0.184320,0.060530,NOT SUPPORT!,0.251449,1.332224,1.332793,0.568889,2,7,1,0.0002262080006488,0.0,0.0,0.0,41290240.0,4129024.0,0.0,0.0,0.0,0.0,0.0,19233408.0,59450912.0,37181440.0,10.76,10.76,8.34,13.18,2732204.0,9.8,12.49,133632.0,30.0,16384.0,86709504.0,0.0,86709504.0,4.508275600455208,1.458505867832608,2.332064169650234,383.3175827172494,0.0
64,1,384,384,1,3,3,1,1,0,0,0.479346,0.479346,0.151552,NOT SUPPORT!,NOT SUPPORT!,3.263260,2.971420,1.270101,2,7,1,0.0005194560038501,0.0,0.0,0.0,93391360.0,9339136.0,0.0,0.0,0.0,0.0,0.0,60801792.0,148287520.0,83205152.0,10.35,10.35,8.2,12.84,6088298.0,9.4,12.5,199872.0,30.0,16384.0,196121856.0,0.0,196121856.0,3.2255933509328147,1.3225782992392077,2.357087888019242,377.55239047462254,0.0
64,1,512,512,1,3,3,1,1,0,0,0.744448,0.743424,0.218908,NOT SUPPORT!,NOT SUPPORT!,4.670578,4.350863,1.943893,2,7,1,0.0009439039967669,0.0,0.0,0.0,166464000.0,16646400.0,0.0,0.0,0.0,0.0,0.0,120000640.0,280544096.0,154660032.0,10.23,10.23,8.38,12.76,10814274.0,9.27,12.5,274176.0,30.0,16384.0,349574400.0,0.0,349574400.0,2.9131044634428616,1.2460586588141922,2.260276268402686,370.3495283390865,0.0
64,1,640,640,1,3,3,1,1,0,0,1.204565,1.204110,0.335076,NOT SUPPORT!,NOT SUPPORT!,7.758165,6.727453,3.046741,2,7,1,0.0015294720041696,0.0,0.0,0.0,260508160.0,26050816.0,0.0,0.0,0.0,0.0,0.0,195206016.0,448795776.0,247331808.0,9.79,9.79,7.98,12.25,16858927.0,8.84,12.5,334080.0,30.0,16384.0,547067136.0,0.0,547067136.0,2.8025116602963713,1.21896676674604,2.211875376740868,357.68365456092175,0.0
