Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,1,1,1,1,1,1,1,1,0,0,0.012174,0.008306,0.008078,NOT SUPPORT!,0.024917,0.027193,NOT SUPPORT!,NOT SUPPORT!,2
64,1,2,2,1,1,1,1,1,0,0,0.007964,0.008420,0.007964,NOT SUPPORT!,0.024348,0.027648,NOT SUPPORT!,NOT SUPPORT!,0
64,1,4,4,1,1,1,1,1,0,0,0.008306,0.008647,0.008192,NOT SUPPORT!,0.024348,0.027307,NOT SUPPORT!,NOT SUPPORT!,2
64,1,7,7,1,1,1,1,1,0,0,0.008761,0.009330,0.008875,NOT SUPPORT!,0.025486,0.029924,NOT SUPPORT!,NOT SUPPORT!,0
64,1,8,8,1,1,1,1,1,0,0,0.008875,0.009216,0.009330,NOT SUPPORT!,0.025031,0.031744,NOT SUPPORT!,NOT SUPPORT!,0
64,1,15,15,1,1,1,1,1,0,0,0.009330,0.009216,0.008988,NOT SUPPORT!,0.027762,0.032654,NOT SUPPORT!,NOT SUPPORT!,2
64,1,16,16,1,1,1,1,1,0,0,0.008647,0.010012,0.008533,NOT SUPPORT!,0.027762,0.032540,NOT SUPPORT!,NOT SUPPORT!,2
64,1,24,24,1,1,1,1,1,0,0,0.008988,0.009557,0.008988,NOT SUPPORT!,0.034702,0.032654,NOT SUPPORT!,NOT SUPPORT!,0
64,1,32,32,1,1,1,1,1,0,0,0.009102,0.009444,0.008875,NOT SUPPORT!,0.034816,0.034247,NOT SUPPORT!,NOT SUPPORT!,2
64,1,48,48,1,1,1,1,1,0,0,0.009899,0.010126,0.009785,NOT SUPPORT!,0.044715,0.042325,NOT SUPPORT!,NOT SUPPORT!,2
64,1,64,64,1,1,1,1,1,0,0,0.010468,0.010923,0.010126,NOT SUPPORT!,0.044260,0.043349,NOT SUPPORT!,NOT SUPPORT!,2
64,1,96,96,1,1,1,1,1,0,0,0.011833,0.012402,0.011833,NOT SUPPORT!,0.097052,0.066788,NOT SUPPORT!,NOT SUPPORT!,0
64,1,97,97,1,1,1,1,1,0,0,0.011833,0.012288,0.012060,NOT SUPPORT!,0.096028,0.077255,NOT SUPPORT!,NOT SUPPORT!,0
