=========batchsize= 64 =======kernelsize= 1 ===========
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem


14894.764404063622 36.785 95.195 39.545 28.465 29.52
14776.007301887514 40.13982142857143 96.57535714285714 40.98339285714286 31.5425 30.05125


13673.343625336469 78.27 109.39 55.07 55.93 36.15
13700.504288190315 94.21 120.24 59.15 63.78 36.690000000000005
13702.24640433662 93.37 129.27 62.66 69.99000000000001 37.120000000000005
14263.91641229094 36.78 92.5 43.47 35.1 32.02
14223.21165231107 36.92 92.32 43.69 40.51 31.98
14428.40575139466 36.99 94.76 44.27 35.97 32.4
14524.558341049737 52.23 103.22 47.04 42.3 32.86
14545.48071694244 78.3 113.95 50.72 47.96 33.36
14272.762732713383 34.78 90.94 39.68 29.46 29.680000000000003
14567.40444913898 36.01 92.51 40.3 30.0 30.13
14747.66218639125 36.58 94.0 40.88 30.53 30.5
14846.696173478464 36.99 95.46 41.35 31.05 30.71
14792.755863162978 37.12 95.16 41.49 34.690000000000005 30.64
14873.67497715578 37.13 96.95 41.78 31.78 30.8
14915.853830971466 52.4 105.19 44.45 37.1 31.18
14473.670447466917 33.97 91.71 38.82 27.87 29.16
14496.963003777082 35.22 91.79 38.85 28.11 29.16
14855.731804183051 36.27 94.13 39.81 28.81 29.84
14948.13386840245 36.71 94.98 40.14 29.09 30.0
14833.63405933432 35.55 93.68 39.09 27.82 29.39
14922.67956005223 36.39 94.36 39.33 28.04 29.54
15049.329965266455 36.79 95.48 39.72 28.35 29.77
15073.00352417093 37.1 96.56 40.04 28.7 29.86
15076.710269119105 37.23 96.64 40.31 31.880000000000003 29.89
15082.903205101877 37.2 97.95 40.42 29.3 29.94
13928.899907499446 34.13 88.05 37.010000000000005 29.36 27.38
14465.265047502216 31.61 91.54 37.83 24.82 28.46
14751.81373926694 34.76 92.98 38.41 27.16 28.92
15070.341156734785 36.48 95.23 39.29 27.75 29.52
15118.476225426157 36.84 95.8 39.47 27.9 29.61
14266.87961126758 34.61 90.02 37.620000000000005 29.9 27.85
14083.32650066758 32.07 88.83 36.47 24.65 27.47
14937.416666177904 34.97 94.12 38.650000000000006 27.16 29.12
14997.116163363848 35.79 94.5 38.79 27.26 29.21
15089.270066708654 36.52 95.32 39.09 27.46 29.39
15148.671442363917 36.87 95.95 39.28 27.66 29.49
15166.846506744256 37.14 97.04 39.59 28.04 29.57
15160.41472963216 37.27 97.05 39.81 30.72 29.57
15174.625569640644 37.26 98.51 40.010000000000005 28.58 29.66
14507.03133290568 34.95 91.46 38.09 30.35 28.2
14564.328792882698 32.36 91.79 37.52 25.38 28.28
14813.545548691118 35.11 93.28 38.14 26.68 28.75
15000.202087666365 35.870000000000005 94.48 38.63 27.04 29.09
15120.327167183052 36.57 95.43 38.97 27.25 29.33
15174.163174439083 36.89 96.11 39.2 27.5 29.42
15195.752071044244 37.15 97.2 39.5 27.8 29.51
15188.32181349695 37.3 97.19 39.7 30.12 29.5
15193.847247558648 37.25 98.57 39.87 28.35 29.58
14684.263957937146 35.21 92.42 38.35 30.38 28.43
14869.405927072536 32.59 93.58 38.14 25.880000000000003 28.76
14986.94463454847 35.22 94.28 38.47 26.81 29.0
