Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,4194688.0,34.28,19.04,11744.0,17301504.0,18.9,20594592.0,43.19,12288.78,1046387753.56,0.0,0.0,655360.0,1048576.0,0.0,524288.0,0.0,0.0,0.0,0.0,21.22
1,1048832.0,15.25,7.76,7360.0,4325376.0,10.43,5610784.0,21.84,7551.94,1026079408.21,0.0,0.0,163840.0,262144.0,0.0,131072.0,0.0,0.0,0.0,0.0,14.21
2,4194560.0,33.75,18.96,11968.0,17301504.0,18.57,20428384.0,44.73,12377.24,1034194580.61,0.0,0.0,655360.0,1048576.0,0.0,524288.0,0.0,0.0,0.0,0.0,21.07
3,106752.0,3.13,1.0,6176.0,439296.0,3.13,808928.0,3.69,6055.09,980423023.41,0.0,0.0,16640.0,26624.0,0.0,13312.0,0.0,0.0,0.0,0.0,1.82
4,43520.0,2.28,0.41,6016.0,178464.0,2.28,418624.0,1.43,6013.94,999658318.56,0.0,0.0,6760.0,10816.0,0.0,5408.0,0.0,0.0,0.0,0.0,0.77
5,106752.0,3.17,1.02,6016.0,439296.0,3.17,788256.0,3.57,5958.33,990414450.35,0.0,0.0,16640.0,26624.0,0.0,13312.0,0.0,0.0,0.0,0.0,1.85
6,426240.0,8.31,3.78,6528.0,1757184.0,6.91,2572128.0,12.24,6350.06,972741353.49,0.0,0.0,66560.0,106496.0,0.0,53248.0,0.0,0.0,0.0,0.0,6.9
7,33024.0,2.18,0.31,5984.0,135168.0,2.18,353184.0,1.21,6014.07,1005025747.67,0.0,0.0,5120.0,8192.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.56
8,16640.0,1.98,0.16,6080.0,67584.0,1.98,228512.0,0.79,5920.81,973818226.12,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
9,16640.0,1.96,0.16,5984.0,67584.0,1.96,225312.0,0.77,5982.83,999805035.65,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.28
10,16640.0,1.98,0.16,6176.0,67584.0,1.98,227296.0,0.79,5913.74,957535741.7,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
11,1327360.0,17.97,9.26,7776.0,5474304.0,10.63,7019296.0,24.93,8026.09,1032162113.24,0.0,0.0,207360.0,331776.0,0.0,165888.0,0.0,0.0,0.0,0.0,16.87
12,442624.0,8.71,3.93,6400.0,1824768.0,7.08,2691488.0,12.36,6345.33,991458333.33,0.0,0.0,69120.0,110592.0,0.0,55296.0,0.0,0.0,0.0,0.0,7.17
13,148736.0,3.67,1.4,6080.0,608256.0,3.67,978592.0,4.06,6019.74,990088937.62,0.0,0.0,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,2.54
14,49408.0,2.41,0.47,6016.0,202752.0,2.41,455008.0,1.63,5942.41,987767188.73,0.0,0.0,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.86
15,16640.0,1.96,0.16,6016.0,67584.0,1.96,225312.0,0.77,5971.15,992544572.5,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.28
16,1327360.0,18.71,9.74,7840.0,5474304.0,11.63,6950560.0,25.64,7627.06,972838718.82,0.0,0.0,207360.0,331776.0,0.0,165888.0,0.0,0.0,0.0,0.0,17.74
17,442624.0,8.67,3.93,6528.0,1824768.0,7.14,2672032.0,12.24,6349.59,972670433.91,0.0,0.0,69120.0,110592.0,0.0,55296.0,0.0,0.0,0.0,0.0,7.17
