Metric Name,Achieved Occupancy,Registers Per Thread,Threads,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,53.45,24.0,131072.0,524672.0,14.08,0.0,12288.0,1.44,2621440.0,8.53,5404352.0,20.73,7879.56,988900044.62,4096.0,0.0,0.0,0.0,0.0,0.0,262144.0,0.0,131072.0,0.0,20.68
1,69.04,24.0,524288.0,1180160.0,19.27,0.0,45056.0,3.04,6617440.0,11.78,12927168.0,29.93,13708.46,1019974922.84,12288.0,0.0,0.0,0.0,0.0,0.0,589824.0,0.0,294912.0,0.0,35.87
2,81.37,24.0,524288.0,2098048.0,28.53,0.0,49152.0,2.96,12582912.0,17.21,21468896.0,40.54,15369.7,1076913095.83,16384.0,0.0,0.0,0.0,0.0,0.0,1048576.0,0.0,524288.0,0.0,41.29
3,75.64,24.0,2097152.0,7367296.0,38.66,0.0,182272.0,4.27,41767488.0,26.61,62956736.0,52.73,39511.09,1053516760.68,51200.0,0.0,0.0,0.0,0.0,0.0,2560000.0,0.0,1280000.0,0.0,50.96
4,88.72,24.0,2097152.0,22059776.0,37.06,0.0,196608.0,3.92,50331648.0,22.69,83971968.0,51.58,46445.15,1089647807.53,65536.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,2097152.0,0.0,54.08
5,76.61,24.0,6291456.0,74651904.0,35.31,0.0,540672.0,4.2,113246208.0,20.17,191137888.0,46.66,119309.93,1123361007.89,147456.0,0.0,0.0,0.0,0.0,0.0,9437184.0,0.0,4718592.0,0.0,48.71
6,91.16,24.0,8388608.0,148110336.0,46.39,0.0,786432.0,4.04,201326592.0,23.31,336144000.0,52.91,180282.94,1136771996.35,262144.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,8388608.0,0.0,55.59
7,72.08,24.0,196608.0,786560.0,18.89,0.0,18432.0,1.95,3932160.0,11.77,8049024.0,27.05,8735.15,989033984.17,6144.0,0.0,0.0,0.0,0.0,0.0,393216.0,0.0,196608.0,0.0,27.8
8,71.69,24.0,786432.0,1769856.0,23.86,0.0,67584.0,3.7,10185312.0,14.37,19779392.0,38.14,16925.41,1035066499.96,18432.0,0.0,0.0,0.0,0.0,0.0,884736.0,0.0,442368.0,0.0,43.34
9,84.67,24.0,786432.0,3146112.0,32.89,0.0,73728.0,3.46,18874368.0,20.09,31778400.0,45.46,19736.3,1065214610.12,24576.0,0.0,0.0,0.0,0.0,0.0,1572864.0,0.0,786432.0,0.0,48.01
10,76.69,24.0,3145728.0,20144896.0,38.35,0.0,273408.0,4.24,61833472.0,26.43,95905856.0,52.6,59650.7,1101704781.76,76800.0,0.0,0.0,0.0,0.0,0.0,3840000.0,0.0,1920000.0,0.0,50.56
11,89.78,24.0,3145728.0,43040128.0,37.84,0.0,294912.0,3.99,75497408.0,23.09,126018592.0,52.57,68373.44,1104793246.58,98304.0,0.0,0.0,0.0,0.0,0.0,6291456.0,0.0,3145728.0,0.0,55.04
12,77.26,24.0,9437184.0,121867136.0,38.67,0.0,811008.0,4.22,169869312.0,20.26,286662176.0,46.85,178054.26,1135550122.83,221184.0,0.0,0.0,0.0,0.0,0.0,14155776.0,0.0,7077888.0,0.0,48.93
13,91.36,24.0,12582912.0,232152192.0,48.69,0.0,1179648.0,4.05,301989888.0,23.4,504078432.0,53.28,269412.09,1137719985.61,393216.0,0.0,0.0,0.0,0.0,0.0,25165824.0,0.0,12582912.0,0.0,55.78
14,76.84,24.0,262144.0,1049344.0,20.15,0.0,24576.0,2.09,5242880.0,12.64,10681472.0,29.07,10865.48,932819495.32,8192.0,0.0,0.0,0.0,0.0,0.0,524288.0,0.0,262144.0,0.0,29.6
15,73.78,24.0,1048576.0,2359808.0,25.8,0.0,90112.0,4.0,13310144.0,15.55,25971680.0,40.23,20874.81,1060712134.9,24576.0,0.0,0.0,0.0,0.0,0.0,1179648.0,0.0,589824.0,0.0,46.72
16,85.96,24.0,1048576.0,4203264.0,35.63,0.0,98304.0,3.75,25165824.0,21.77,42302336.0,49.38,24274.17,1062419759.57,32768.0,0.0,0.0,0.0,0.0,0.0,2097152.0,0.0,1048576.0,0.0,51.92
17,77.11,24.0,4194304.0,33583232.0,38.2,0.0,364544.0,4.23,82677088.0,26.37,127834560.0,52.79,79748.43,1115549825.51,102400.0,0.0,0.0,0.0,0.0,0.0,5120000.0,0.0,2560000.0,0.0,50.39
18,90.48,24.0,4194304.0,63948544.0,39.75,0.0,393216.0,4.02,100663296.0,23.21,167570496.0,52.52,90587.2,1123799172.58,131072.0,0.0,0.0,0.0,0.0,0.0,8388608.0,0.0,4194304.0,0.0,55.36
19,77.51,24.0,12582912.0,168820736.0,40.21,0.0,1081344.0,4.22,226492224.0,20.27,382217344.0,46.72,237290.81,1139769130.49,294912.0,0.0,0.0,0.0,0.0,0.0,18874368.0,0.0,9437184.0,0.0,48.94
20,91.51,24.0,16777216.0,315617920.0,50.1,0.0,1572864.0,4.09,402653184.0,23.59,671170432.0,53.68,356127.56,1142606376.91,524288.0,0.0,0.0,0.0,0.0,0.0,33554432.0,0.0,16777216.0,0.0,56.25
