2 2 2
==PROF== Target process 91943 terminated before first instrumented API call.
==PROF== Target process 91944 terminated before first instrumented API call.
==PROF== Connected to process 91941 (/usr/bin/python3.6)
==PROF== Disconnected from process 91941
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","dram__bytes.sum","byte","512"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","1.38"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","0.00"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","7,488"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","l1tex__t_bytes.sum","byte","384"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","1.38"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","lts__t_bytes.sum","byte","233,856"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","0.63"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","7,556.52"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,009,150,443.18"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","6,144"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","65,536"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","8,192"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hfma_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hmul_pred_on.sum","inst","0"
"0","91941","python3.6","127.0.0.1","ampere_sgemm_32x32_sliced1x4_tn","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.25"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","dram__bytes.sum","byte","256"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","2.58"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","0.00"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4,224"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","l1tex__t_bytes.sum","byte","96"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","2.58"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","lts__t_bytes.sum","byte","142,208"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","0.72"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","4,038.70"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","956,132,505.61"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","12"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","4"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hfma_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_hmul_pred_on.sum","inst","0"
"1","91941","python3.6","127.0.0.1","void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)","2022-Dec-08 12:02:16","1","7","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.02"
