Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
3.6159949007746166e-06,0.0,0.0,0.0,0.0,64.0,0.0,32.0,0.0,0.0,1.0,0.74,0.12,0.74,128.0,122976.0,160.0,0.01,3.0,0.0,1.56,0.0,24.0,32.0,128.0,512.0,640.0,5.0,0.0052042674993494666,4.0,0.1648360863634574,0.13186886909076592
3.423998508507224e-06,0.0,0.0,0.0,0.0,256.0,0.0,128.0,0.0,0.0,4.0,0.75,0.12,0.75,256.0,123776.0,640.0,0.03,12.0,0.0,6.23,0.0,24.0,128.0,512.0,2048.0,2560.0,10.0,0.020682523267838676,4.0,0.6963162469527678,0.5570529975622143
3.6800037899125272e-06,0.0,0.0,0.0,0.0,1024.0,0.0,512.0,0.0,0.0,16.0,0.73,0.13,0.73,640.0,127328.0,2560.0,0.11,48.0,0.01,24.32,0.0,24.0,512.0,2048.0,8192.0,10240.0,16.0,0.08042221663734607,4.0,2.591503625676751,2.073202900541401
4.767999633225624e-06,0.0,0.0,0.0,0.0,2048.0,0.0,1024.0,0.0,0.0,32.0,0.63,0.14,0.63,2176.0,147520.0,12288.0,0.2,96.0,0.02,24.53,0.0,24.0,1024.0,4096.0,16384.0,20480.0,9.411764705882353,0.13882863340563992,1.6666666666666667,4.000312037612615,3.2002496300900924
4.83199512548284e-06,0.0,0.0,0.0,0.0,8192.0,0.0,4096.0,0.0,0.0,128.0,0.89,0.31,0.89,8192.0,207424.0,49152.0,0.83,384.0,0.07,24.52,0.0,24.0,4096.0,16384.0,65536.0,81920.0,10.0,0.3949398333847578,1.6666666666666667,15.789325802533025,12.63146064202642
3.5839972623443955e-06,0.0,0.0,0.0,0.0,128.0,0.0,64.0,0.0,0.0,2.0,0.75,0.12,0.75,0.0,122976.0,320.0,0.02,6.0,0.0,3.12,0.0,24.0,64.0,256.0,1024.0,1280.0,inf,0.010408534998698933,4.0,0.332615459289729,0.2660923674317832
3.4880014982175045e-06,0.0,0.0,0.0,0.0,512.0,0.0,256.0,0.0,0.0,8.0,0.75,0.15,0.75,384.0,124800.0,1280.0,0.06,24.0,0.01,12.41,0.0,24.0,256.0,1024.0,4096.0,5120.0,13.333333333333334,0.041025641025641026,4.0,1.3670784214020726,1.093662737121658
4.032001792209084e-06,0.0,0.0,0.0,0.0,1024.0,0.0,512.0,0.0,0.0,16.0,0.65,0.13,0.65,1152.0,130528.0,5120.0,0.12,48.0,0.01,24.48,0.0,24.0,512.0,2048.0,8192.0,10240.0,8.88888888888889,0.07845060063741113,2.0,2.365262630212631,1.8922101041701045
5.440004259509384e-06,0.0,0.0,0.0,0.0,2048.0,0.0,1024.0,0.0,0.0,32.0,0.57,0.15,0.57,4352.0,170464.0,24576.0,0.21,96.0,0.01,24.63,0.0,24.0,1024.0,4096.0,16384.0,20480.0,4.705882352941177,0.12014266941993618,0.8333333333333334,3.5061528297121543,2.8049222637697233
5.887997375596237e-06,0.0,0.0,0.0,0.0,8192.0,0.0,4096.0,0.0,0.0,128.0,1.04,0.41,1.04,16512.0,294432.0,98304.0,0.9,384.0,0.06,24.67,0.0,24.0,4096.0,16384.0,65536.0,81920.0,4.961240310077519,0.27823062710574936,0.8333333333333334,12.957537248354196,10.366029798683357
3.3920007471899524e-06,0.0,0.0,0.0,0.0,256.0,0.0,128.0,0.0,0.0,4.0,0.76,0.12,0.76,256.0,124896.0,640.0,0.03,12.0,0.0,6.24,0.0,24.0,128.0,512.0,2048.0,2560.0,10.0,0.020497053548552396,4.0,0.7028848071424408,0.5623078457139526
3.648003314549757e-06,0.0,0.0,0.0,0.0,1024.0,0.0,512.0,0.0,0.0,16.0,0.72,0.13,0.72,640.0,127968.0,2560.0,0.11,48.0,0.01,24.3,0.0,24.0,512.0,2048.0,8192.0,10240.0,16.0,0.08002000500125031,4.0,2.6142364306594774,2.091389144527582
5.34399580470953e-06,0.0,0.0,0.0,0.0,1024.0,0.0,512.0,0.0,0.0,16.0,0.58,0.13,0.58,2176.0,147392.0,10240.0,0.13,48.0,0.01,24.66,0.0,24.0,512.0,2048.0,8192.0,10240.0,4.705882352941177,0.0694745983499783,1.0,1.7845716038283574,1.427657283062686
5.856001457731105e-06,0.0,0.0,0.0,0.0,4096.0,0.0,2048.0,0.0,0.0,64.0,0.74,0.24,0.74,8192.0,214176.0,49152.0,0.44,192.0,0.03,24.27,0.0,24.0,2048.0,8192.0,32768.0,40960.0,5.0,0.1912445838936202,0.8333333333333334,6.514167206343211,5.211333765074569
5.888002919773362e-06,0.0,0.0,0.0,0.0,16384.0,0.0,8192.0,0.0,0.0,256.0,1.66,0.74,1.93,32896.0,481024.0,196608.0,1.76,768.0,0.12,24.55,0.0,24.0,8192.0,32768.0,131072.0,163840.0,4.980544747081712,0.34060670569451834,0.8333333333333334,25.91505009492647,20.73204007594118
3.424000371261833e-06,0.0,0.0,0.0,0.0,512.0,0.0,256.0,0.0,0.0,8.0,0.75,0.13,0.75,384.0,125088.0,1280.0,0.06,24.0,0.01,12.41,0.0,24.0,256.0,1024.0,4096.0,5120.0,13.333333333333334,0.04093118444614991,4.0,1.3926317362734342,1.1141053890187473
4.352002752330533e-06,0.0,0.0,0.0,0.0,1024.0,0.0,512.0,0.0,0.0,16.0,0.65,0.13,0.65,1280.0,129120.0,5120.0,0.12,48.0,0.01,24.54,0.0,24.0,512.0,2048.0,8192.0,10240.0,8.0,0.07930607187112763,2.0,2.1913458485189365,1.7530766788151493
5.631998972641931e-06,0.0,0.0,0.0,0.0,2048.0,0.0,1024.0,0.0,0.0,32.0,0.58,0.15,0.58,4224.0,171840.0,20480.0,0.22,96.0,0.01,24.61,0.0,24.0,1024.0,4096.0,16384.0,20480.0,4.848484848484849,0.1191806331471136,1.0,3.3866281618261307,2.7093025294609046
5.856000000013502e-06,0.0,0.0,0.0,0.0,8192.0,0.0,4096.0,0.0,0.0,128.0,1.05,0.41,1.05,16512.0,297632.0,98304.0,0.9,384.0,0.06,24.62,0.0,24.0,4096.0,16384.0,65536.0,81920.0,4.961240310077519,0.27523922158907643,0.8333333333333334,13.028337655793049,10.422670124634438
6.112003668729553e-06,0.0,0.0,0.0,0.0,32768.0,0.0,16384.0,0.0,0.0,512.0,2.83,1.36,3.76,65664.0,847392.0,393216.0,3.4,1536.0,0.23,24.49,0.0,24.0,16384.0,65536.0,262144.0,327680.0,4.990253411306043,0.38669234545523207,0.8333333333333334,49.93056251116978,39.944450008935824
