w,cnt
16,211
8,174
6,151
32,124
9,114
12,83
64,83
20,65
50,63
18,62
25,60
76,56
38,55
40,48
152,46
24,45
34,44
68,44
100,38
36,38
136,38
4,33
42,31
80,31
84,30
2,22
1,18
128,18
168,16
70,15
35,14
56,11
28,11
41,10
72,9
140,9
78,9
82,9
39,8
48,8
26,7
3,7
14,5
144,5
256,5
19,5
1103,5
725,5
112,5
160,5
21,4
13,4
44,4
88,4
7,4
22,4
52,4
31,4
704,4
829,4
164,4
1201,4
104,3
156,3
37,3
74,3
148,3
62,3
66,3
33,3
116,3
58,3
29,3
17,3
92,2
46,2
23,2
90,2
5,2
700,2
1024,2
640,2
657,2
974,2
10,2
224,2
124,2
60,2
30,2
512,2
768,2
96,2
320,2
61,1
122,1
45,1
83,1
719,1
132,1
102,1
120,1
