N,C,H,W,perf
1,64,20,20,21.09
1,64,40,40,20.13
1,128,64,64,25.51
1,256,32,32,20.81
1,256,40,40,20.03
1,256,48,48,24.03
1,256,80,80,27.3
1,256,100,100,29.92
1,384,32,32,23.09
2,32,20,20,21.14
2,32,20,20,20.78
2,32,20,20,20.82
2,32,20,20,20.76
2,32,20,20,21.07
2,32,20,20,21.02
2,32,20,20,21.12
2,32,20,20,20.88
2,32,20,20,20.93
2,32,20,20,21.25
2,32,20,20,20.46
2,32,20,20,20.72
2,32,40,40,20.09
2,32,40,40,20.28
2,32,40,40,20.1
2,48,16,16,23.7
2,48,16,16,23.02
2,48,16,16,23.39
2,48,16,16,22.62
2,48,16,16,23.11
2,48,16,16,23.0
2,48,16,16,22.24
2,48,16,16,23.41
2,48,16,16,22.81
2,48,16,16,23.35
2,48,16,16,22.99
2,48,16,16,23.34
2,48,16,16,23.02
2,48,16,16,22.9
2,48,32,32,23.0
2,48,32,32,22.11
2,48,32,32,22.36
2,48,32,32,22.53
2,48,32,32,22.37
2,48,32,32,22.57
2,48,32,32,21.85
2,48,64,64,22.61
2,48,64,64,23.28
2,48,64,64,22.93
2,48,64,64,22.62
2,48,64,64,23.03
2,48,64,64,23.27
2,48,64,64,23.01
2,96,64,64,29.18
2,256,25,25,26.7
2,256,25,25,25.23
2,256,32,32,25.87
2,256,32,32,25.79
2,256,32,32,25.6
2,256,32,32,25.78
2,256,32,32,25.93
2,256,32,32,25.69
2,256,32,32,25.37
2,256,32,32,25.66
2,256,48,48,28.6
2,256,48,48,28.34
2,256,48,48,28.35
2,256,48,48,28.61
3,256,32,32,29.79
3,384,16,16,20.15
4,128,32,32,25.91
4,128,32,32,25.73
4,128,32,32,25.72
4,128,64,64,28.44
4,128,64,64,28.07
4,128,64,64,28.46
4,128,64,64,28.14
4,128,64,64,27.34
4,128,64,64,27.72
4,128,64,64,27.71
4,128,64,64,28.06
4,128,64,64,28.6
4,128,64,64,28.43
4,256,16,16,21.09
4,256,28,28,27.37
8,96,40,40,25.49
8,192,20,20,23.07
8,256,10,10,21.63
8,256,20,20,22.75
8,256,20,20,22.37
8,256,40,40,27.89
8,256,40,40,27.85
8,256,40,40,27.89
16,24,80,80,28.52
16,32,40,40,24.44
16,160,10,10,24.2
16,256,20,20,23.9
25,256,8,8,24.54
32,512,4,4,20.9
