N,C,H,W,perf
1,3,102,102,3.56
1,16,128,128,1.86
1,16,320,320,3.15
1,16,320,320,3.1
1,20,8,8,3.19
1,20,8,8,3.2
1,20,16,16,3.27
1,20,16,16,3.22
1,20,32,32,3.4
1,20,32,32,3.48
1,32,8,8,4.1
1,32,8,8,4.04
1,32,8,8,4.19
1,32,8,8,3.97
1,32,8,8,4.05
1,32,8,8,4.03
1,32,16,16,4.26
1,32,16,16,4.37
1,32,16,16,4.23
1,32,16,16,13.01
1,32,16,16,13.14
1,32,16,16,13.02
1,32,16,16,4.29
1,32,16,16,4.18
1,32,16,16,4.25
1,32,16,16,4.15
1,32,16,16,4.23
1,32,16,16,13.11
1,32,16,16,13.13
1,32,16,16,13.21
1,32,16,16,13.19
1,32,20,20,14.85
1,32,20,20,15.4
1,32,20,20,14.91
1,32,20,20,14.7
1,32,32,32,4.73
1,32,32,32,4.85
1,32,32,32,4.84
1,32,32,32,12.58
1,32,32,32,12.61
1,32,32,32,12.49
1,32,32,32,4.75
1,32,32,32,4.73
1,32,32,32,4.72
1,32,32,32,12.49
1,32,32,32,12.27
1,32,40,40,14.21
1,32,40,40,14.68
1,32,64,64,13.1
1,32,64,64,13.32
1,32,64,64,13.52
1,32,64,64,13.32
1,32,64,64,12.97
1,32,80,80,14.36
1,32,80,80,14.67
1,40,8,8,2.53
1,40,8,8,4.89
1,40,8,8,2.53
1,40,8,8,4.82
1,40,16,16,2.54
1,40,16,16,4.98
1,40,16,16,2.48
1,40,16,16,4.94
1,40,32,32,6.02
1,40,32,32,5.48
1,48,8,8,6.03
1,48,8,8,6.07
1,48,8,8,5.87
1,48,8,8,5.75
1,48,8,8,5.73
1,48,8,8,5.75
1,48,16,16,5.56
1,48,16,16,5.71
1,48,16,16,5.86
1,48,16,16,5.86
1,48,16,16,5.8
1,48,16,16,5.68
1,48,16,16,17.37
1,48,16,16,17.49
1,48,16,16,17.62
1,48,16,16,17.85
1,48,20,20,17.42
1,48,20,20,17.6
1,48,20,20,17.03
1,48,20,20,17.28
1,48,20,20,17.43
1,48,20,20,17.65
1,48,20,20,17.7
1,48,20,20,17.54
1,48,32,32,6.5
1,48,32,32,6.17
1,48,32,32,6.45
1,48,32,32,6.24
1,48,32,32,6.53
1,48,32,32,6.23
1,48,32,32,16.74
1,48,32,32,16.95
1,48,40,40,16.51
1,48,40,40,16.98
1,48,40,40,17.29
1,48,40,40,16.61
1,48,64,64,17.76
1,48,64,64,17.34
1,48,80,80,16.88
1,48,80,80,16.65
1,48,80,80,16.49
1,48,80,80,16.8
1,64,8,8,2.94
1,64,8,8,2.84
1,64,8,8,2.98
1,64,8,8,2.9
1,64,8,8,3.05
1,64,8,8,2.94
1,64,8,8,2.93
1,64,8,8,2.98
1,64,16,16,2.89
1,64,16,16,2.84
1,64,16,16,2.86
1,64,16,16,6.52
1,64,16,16,6.87
1,64,16,16,7.04
1,64,16,16,2.88
1,64,16,16,2.81
1,64,16,16,2.88
1,64,16,16,6.99
1,64,16,16,7.04
1,64,16,16,6.9
1,64,16,16,6.86
1,64,20,20,11.13
1,64,20,20,11.49
1,64,20,20,19.92
1,64,32,32,7.33
1,64,32,32,7.57
1,64,32,32,7.48
1,64,32,32,7.55
1,64,32,32,7.87
1,64,40,40,11.19
1,64,40,40,11.04
1,64,80,80,19.47
1,80,8,8,2.12
1,80,8,8,3.36
1,80,8,8,2.14
1,80,8,8,3.35
1,80,16,16,3.5
1,80,16,16,3.37
1,96,8,8,3.43
1,96,8,8,3.43
1,96,8,8,3.44
1,96,8,8,3.5
1,96,8,8,3.58
1,96,8,8,3.56
1,96,16,16,3.81
1,96,16,16,3.81
1,96,16,16,3.78
1,96,16,16,3.87
1,96,16,16,3.92
1,96,16,16,3.83
1,96,16,16,10.8
1,96,16,16,10.6
1,96,20,20,12.25
1,96,20,20,12.05
1,96,20,20,12.01
1,96,20,20,12.16
1,96,32,32,11.13
1,96,32,32,11.09
1,96,40,40,12.53
1,96,40,40,12.56
1,96,40,40,12.3
1,96,40,40,12.21
1,128,4,4,2.24
1,128,4,4,2.33
1,128,8,8,2.36
1,128,8,8,2.32
1,128,8,8,2.34
1,128,8,8,2.4
1,128,8,8,2.45
1,128,8,8,2.34
1,128,8,8,4.33
1,128,8,8,4.27
1,128,16,16,4.49
1,128,16,16,4.43
1,128,16,16,4.52
1,128,16,16,4.6
1,128,16,16,4.65
1,128,20,20,7.83
1,128,20,20,7.63
1,160,8,8,2.48
1,160,8,8,2.53
1,192,8,8,2.66
1,192,8,8,2.48
1,192,8,8,2.63
1,192,8,8,2.59
1,192,8,8,2.62
1,192,8,8,2.66
1,192,16,16,6.48
1,192,16,16,6.43
1,192,20,20,9.8
1,192,20,20,10.32
1,192,20,20,10.3
1,192,20,20,10.14
1,256,1,1,1.76
1,256,2,2,1.98
1,256,2,2,1.92
1,256,2,2,1.83
1,256,4,4,3.04
1,256,4,4,2.97
1,256,4,4,2.04
1,256,8,8,2.99
1,256,16,16,7.63
1,256,16,16,7.89
1,256,20,20,11.52
1,256,24,24,14.51
1,256,25,25,17.61
1,256,32,32,17.73
1,256,32,32,18.03
1,384,2,2,1.82
1,384,3,3,2.63
1,384,4,4,2.23
1,384,6,6,4.36
1,384,8,8,3.76
1,384,12,12,9.63
1,512,2,2,1.87
1,512,4,4,2.33
1,512,8,8,4.61
1,512,16,16,13.59
1,512,16,16,13.38
1,640,8,8,5.46
2,1,64,64,2.33
2,1,256,256,2.22
2,20,8,8,4.55
2,20,8,8,4.7
2,20,8,8,4.7
2,20,16,16,4.95
2,20,16,16,5.0
2,20,16,16,4.82
2,20,32,32,5.53
2,20,32,32,5.64
2,20,32,32,5.61
2,32,8,8,7.37
2,32,8,8,7.28
2,32,8,8,7.2
2,32,8,8,7.36
2,32,8,8,7.57
2,32,8,8,7.4
2,32,8,8,7.58
2,32,8,8,7.46
2,32,8,8,7.6
2,32,8,8,7.71
2,32,8,8,7.53
2,32,8,8,7.14
2,32,8,8,7.34
2,32,8,8,7.57
2,32,8,8,7.6
2,32,8,8,7.46
2,32,8,8,7.6
2,32,8,8,7.66
2,32,8,8,7.28
2,32,8,8,7.74
2,32,16,16,6.8
2,32,16,16,6.94
2,32,16,16,6.63
2,32,16,16,7.04
2,32,16,16,7.04
2,32,16,16,7.02
2,32,16,16,18.61
2,32,16,16,18.1
2,32,16,16,17.76
2,32,16,16,17.9
2,32,16,16,17.52
2,32,16,16,17.81
2,32,16,16,17.58
2,32,16,16,18.21
2,32,16,16,17.8
2,32,16,16,17.86
2,32,16,16,17.38
2,32,16,16,18.09
2,32,16,16,17.72
2,32,16,16,17.99
2,32,16,16,18.11
2,32,16,16,17.54
2,32,16,16,17.76
2,32,16,16,18.1
2,32,16,16,6.95
2,32,16,16,7.07
2,32,16,16,6.82
2,32,16,16,6.82
2,32,16,16,7.05
2,32,16,16,6.85
2,32,16,16,7.13
2,32,16,16,6.95
2,32,32,32,7.57
2,32,32,32,7.58
2,32,32,32,7.72
2,32,32,32,7.66
2,32,32,32,7.69
2,32,32,32,7.72
2,32,32,32,17.85
2,32,32,32,18.08
2,32,32,32,17.88
2,32,32,32,18.3
2,32,32,32,18.03
2,32,32,32,18.27
2,32,32,32,18.37
2,32,32,32,18.79
2,32,32,32,17.95
2,32,32,32,7.69
2,32,32,32,7.83
2,32,32,32,7.35
2,32,32,32,7.64
2,32,40,40,19.97
2,32,40,40,19.92
2,32,40,40,19.78
2,32,64,64,18.24
2,32,64,64,18.0
2,32,64,64,18.64
2,32,64,64,18.32
2,32,64,64,18.36
2,32,64,64,18.45
2,32,64,64,18.45
2,32,64,64,18.33
2,32,64,64,18.52
2,32,80,80,19.71
2,32,80,80,19.88
2,32,80,80,19.5
2,32,80,80,19.54
2,32,80,80,19.87
2,32,80,80,19.32
2,40,8,8,3.28
2,40,8,8,9.13
2,40,8,8,3.14
2,40,8,8,8.98
2,40,8,8,3.19
2,40,8,8,9.43
2,40,16,16,3.42
2,40,16,16,8.79
2,40,16,16,3.22
2,40,16,16,8.94
2,40,16,16,3.31
2,40,16,16,8.85
2,40,32,32,9.32
2,40,32,32,9.22
2,40,32,32,9.46
2,48,8,8,10.34
2,48,8,8,10.76
2,48,8,8,10.51
2,48,8,8,10.83
2,48,8,8,10.89
2,48,8,8,10.57
2,48,8,8,10.65
2,48,8,8,10.71
2,48,8,8,10.52
2,48,8,8,10.65
2,48,8,8,10.76
2,48,8,8,10.91
2,48,8,8,10.37
2,48,8,8,10.66
2,48,8,8,10.95
2,48,8,8,10.66
2,48,8,8,10.67
2,48,8,8,10.81
2,48,8,8,10.34
2,48,8,8,10.57
2,48,16,16,10.72
2,48,16,16,10.6
2,48,16,16,10.61
2,48,16,16,10.76
2,48,16,16,10.24
2,48,16,16,10.62
2,48,16,16,10.78
2,48,16,16,10.14
2,48,16,16,10.75
2,48,16,16,10.69
2,48,32,32,10.58
2,48,32,32,11.21
2,48,32,32,11.48
2,48,32,32,10.96
2,48,32,32,11.15
2,48,32,32,11.16
2,48,32,32,10.89
2,48,32,32,11.41
2,48,32,32,10.97
2,48,32,32,10.87
2,64,8,8,4.16
2,64,8,8,4.34
2,64,8,8,4.24
2,64,8,8,4.19
2,64,8,8,4.26
2,64,8,8,4.09
2,64,8,8,4.22
2,64,8,8,4.32
2,64,8,8,4.2
2,64,8,8,4.26
2,64,8,8,4.14
2,64,8,8,4.17
2,64,8,8,4.18
2,64,8,8,4.19
2,64,16,16,4.73
2,64,16,16,4.74
2,64,16,16,4.79
2,64,16,16,4.77
2,64,16,16,4.63
2,64,16,16,4.75
2,64,16,16,12.58
2,64,16,16,12.27
2,64,16,16,12.7
2,64,16,16,12.67
2,64,16,16,12.18
2,64,16,16,12.38
2,64,16,16,12.51
2,64,16,16,12.55
2,64,16,16,12.8
2,64,16,16,4.59
2,64,16,16,4.82
2,64,16,16,4.76
2,64,16,16,4.68
2,64,16,16,12.63
2,64,16,16,12.65
2,64,16,16,12.56
2,64,16,16,12.73
2,64,20,20,13.99
2,64,20,20,14.18
2,64,20,20,13.8
2,64,20,20,14.43
2,64,20,20,13.89
2,64,20,20,13.84
2,64,32,32,13.44
2,64,32,32,13.23
2,64,32,32,13.29
2,64,32,32,13.23
2,64,32,32,13.31
2,64,32,32,13.41
2,64,32,32,13.24
2,64,32,32,13.24
2,64,32,32,13.14
2,64,40,40,14.56
2,64,40,40,14.52
2,64,40,40,14.54
2,64,40,40,14.94
2,64,40,40,14.31
2,64,40,40,14.18
2,80,8,8,2.5
2,80,8,8,5.07
2,80,8,8,2.51
2,80,8,8,5.01
2,80,8,8,2.53
2,80,8,8,4.94
2,80,16,16,5.5
2,80,16,16,5.49
2,80,16,16,5.61
2,96,8,8,5.99
