,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
0,640.0,2.62,0.01,4160.0,2560.0,2.62,127520.0,0.66,3990.48,959250356.13,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.1
1,2176.0,1.82,0.02,5600.0,10240.0,1.82,143584.0,0.51,5838.15,1042526455.03,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.1
2,8320.0,1.92,0.08,5824.0,40960.0,1.92,210784.0,0.73,5951.28,1021854014.04,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.4
3,32768.0,2.0,0.3,6112.0,98304.0,2.0,334816.0,1.16,6235.06,1020133435.14,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.75
4,32896.0,2.07,0.31,5856.0,98304.0,2.07,327584.0,1.12,6028.39,1029437993.32,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.78
5,60644096.0,22.78,20.39,146720.0,196450976.0,17.97,182247296.0,28.33,168102.02,1145733495.9,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.28
6,60671232.0,22.9,20.51,145568.0,196451328.0,18.09,182272064.0,28.54,167200.69,1148608795.79,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.45
7,60677376.0,23.13,20.73,147104.0,196445376.0,18.28,182356800.0,28.82,165443.67,1124671434.27,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.78
8,60656384.0,22.96,20.57,145216.0,196453824.0,18.14,182415360.0,28.54,166773.57,1148451782.68,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.53
9,69294208.0,19.76,19.56,173984.0,214584256.0,16.5,190571104.0,26.35,200371.02,1151663477.78,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.75
10,69306240.0,19.54,19.35,173728.0,214584960.0,16.32,190451744.0,26.01,202559.7,1165958876.54,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.48
11,69298688.0,19.62,19.46,174368.0,214588992.0,16.43,190510336.0,26.17,201357.02,1154781946.91,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.63
12,69311744.0,19.67,19.46,173664.0,214591520.0,16.4,190530944.0,26.16,201456.89,1160038285.94,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.61
13,619629952.0,24.85,24.85,1216768.0,1532760928.0,16.54,1357580960.0,26.49,1411323.37,1159895206.29,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.0
14,619562880.0,25.06,25.06,1215008.0,1532781344.0,16.68,1357403936.0,26.72,1399441.07,1151795769.31,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.17
15,72013952.0,29.47,20.27,174816.0,245548544.0,20.45,222209792.0,32.8,200872.78,1149052591.17,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.52
16,72019456.0,29.43,20.25,181984.0,245639936.0,20.44,213856736.0,32.8,201178.94,1105476000.33,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.48
