N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
256,512,1536,4.59199963629952e-05,0.0,0.0,0.0,201326592.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,3670272.0,48048160.0,39321600.0,405405696.0,0.0,405405696.0,110.45658087465998,8.437486388656714,10.31,8222.20179587734,0.0
256,512,512,2.512000168774577e-05,0.0,0.0,0.0,67108864.0,524288.0,0.0,0.0,0.0,0.0,0.0,1573120.0,18102432.0,12576128.0,134742016.0,0.0,134742016.0,85.6527257933279,7.443310158546653,10.714109780053128,4995.552261894021,0.0
256,512,2048,6.175999641583653e-05,0.0,0.0,0.0,277872640.0,1572864.0,0.0,0.0,0.0,0.0,0.0,4719232.0,71543968.0,80823808.0,557318144.0,0.0,557318144.0,118.09509343893244,7.789869077432217,6.895470008045154,8404.193634585554,0.0
256,2048,512,7.107199737482474e-05,0.0,0.0,0.0,268566528.0,1048576.0,786432.0,0.0,0.0,0.0,0.0,6292224.0,79312896.0,68701824.0,538968064.0,0.0,538968064.0,85.65621058627283,6.795465695767811,7.8450328189248655,7062.60051132041,0.0
26,512,512,1.2032000707008709e-05,0.0,0.0,0.0,10485760.0,327680.0,245760.0,0.0,0.0,0.0,0.0,1102080.0,4384352.0,2463744.0,21544960.0,0.0,21544960.0,19.549361207897793,4.914057995343439,8.744804655029094,1667.661771786578,0.0
26,512,38,2.5599997277015102e-05,0.0,0.0,0.0,1048576.0,8192.0,6144.0,0.0,0.0,0.0,0.0,131328.0,606400.0,189504.0,2111488.0,0.0,2111488.0,16.077972709551656,3.482005277044855,11.142181695373186,76.81549412488742,0.0
26,38,512,9.439997496791764e-06,0.0,0.0,0.0,2621440.0,65536.0,0.0,0.0,0.0,0.0,0.0,82048.0,581376.0,304128.0,5308416.0,0.0,5308416.0,64.69890795631825,9.130779392338177,17.454545454545453,523.7128143233294,0.0
26,512,512,1.2031998929674552e-05,0.0,0.0,0.0,10485760.0,327680.0,245760.0,0.0,0.0,0.0,0.0,1102080.0,4354624.0,2437632.0,21544960.0,0.0,21544960.0,19.549361207897793,4.947605120442087,8.838479311069102,1667.6620181290389,0.0
26,512,1024,1.5168002859671572e-05,0.0,0.0,0.0,20971520.0,655360.0,491520.0,0.0,0.0,0.0,0.0,2150656.0,8292448.0,4927968.0,43089920.0,0.0,43089920.0,20.0357100345197,5.196284619451337,8.743952882810927,2645.7415393211454,0.0
26,512,2048,1.7631995418205326e-05,0.0,0.0,0.0,37748736.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,4247808.0,14551424.0,7636992.0,78249984.0,0.0,78249984.0,18.421261977942507,5.377479482420415,10.246178600160901,4133.166713919081,0.0
26,2048,512,1.7344001776851695e-05,0.0,0.0,0.0,37748736.0,786432.0,589824.0,0.0,0.0,0.0,0.0,4407552.0,12982112.0,6744576.0,76873728.0,0.0,76873728.0,17.4413660916536,5.92151169239643,11.397859257572307,4127.89615697594,0.0
