N,cin,cout,time,ai,tc_perf,perf
256,2048,512,7.107199737482474e-05,85.65621058627283,0.0,7062.60051132041
1024,1024,81,2.9119998316215407e-05,45.087042588088906,0.0,6526.905479134714
1024,1024,81,2.902399966481974e-05,45.087042588088906,0.0,6548.493617607008
1024,1024,81,2.9152001354440267e-05,45.087042588088906,0.0,6519.740248761706
1024,1024,81,2.918399899736436e-05,45.087042588088906,0.0,6512.591937097614
1960,256,256,3.788800133865934e-05,116.15296108291032,0.0,6479.588485868899
384,1024,512,4.934400297216006e-05,110.54058577405858,0.0,7659.080429960827
588,512,512,3.987199766503888e-05,142.44926712873536,0.0,7496.600031339841
1960,256,256,3.769599566551757e-05,116.15296108291032,0.0,6512.5924622050115
384,1024,512,4.950400396604742e-05,110.54058577405858,0.0,7634.325654935004
588,512,512,3.977600033361604e-05,142.40072694229895,0.0,7514.692690021381
980,384,384,3.561600100464969e-05,140.89187538179596,0.0,7719.684907466948
294,768,768,4.559999748170434e-05,116.21528322611015,0.0,7744.839744635062
6860,96,96,2.111999965626026e-05,63.62434115955917,0.0,7494.8326521487315
1536,384,192,3.228800068033036e-05,86.10280644227987,0.0,6592.54530899301
1960,192,192,2.2463999311378582e-05,90.10500232306025,0.0,6174.939499738135
384,768,384,3.5199997316168526e-05,96.96843475431174,0.0,6054.965394190532
384,1536,384,5.763200436564267e-05,96.48429617575265,0.0,7358.277233158505
96,768,3072,5.488000431835126e-05,46.756345845279746,0.0,7722.259002814288
3072,64,512,2.502399560517502e-05,221.08117154811717,0.0,7551.345785519625
3072,512,64,2.9983995981177775e-05,31.55996651919168,0.0,6296.083363930421
768,128,1024,2.441600167902426e-05,220.22426778242678,0.0,7709.387652799439
768,1024,128,2.9503998993815018e-05,56.73122777661577,0.0,6575.388108618552
768,1024,256,5.06239999999643e-05,96.73228778910112,0.0,7465.425242973028
832,512,256,3.1552004332913266e-05,71.42491481758498,0.0,6494.366448427547
600,256,1024,4.115199934270406e-05,192.02955210096968,0.0,7228.198841743797
32,2048,2048,3.632000100676432e-05,16.40744580159553,0.0,7168.941887253995
1024,1024,81,2.9248002358344285e-05,45.087042588088906,0.0,6498.340441643051
1024,1024,81,2.9055998658126144e-05,45.087042588088906,0.0,6541.2818467812185
200,256,2048,3.273599901699944e-05,102.81558903652638,0.0,6734.451093443585
200,2048,256,3.196799734392927e-05,69.51935859658741,0.0,7566.150992256347
1200,256,256,2.4704001364273863e-05,108.34403433476395,0.0,6090.791395555578
1680,256,256,2.7295995924801214e-05,113.65061329890251,0.0,7688.371435475369
1680,256,256,3.0207998982855545e-05,61.086484618043556,0.0,6973.996235598777
1200,256,256,2.457600310734012e-05,108.34403433476395,0.0,6122.513831403794
1610,256,256,2.723200136091625e-05,113.46389819156062,0.0,7415.629911706999
1610,256,256,3.004799864770897e-05,61.14865156418554,0.0,6746.5605435688585
1024,1024,320,8.198399817703086e-05,99.02916267628115,0.0,7668.107476504236
1024,1024,81,2.9440001358423142e-05,45.087042588088906,0.0,6455.960183171681
1024,1024,81,2.915199999989745e-05,45.087042588088906,0.0,6519.74055170035
