N,cin,cout,time,ai,tc_perf,perf
256,8192,8192,0.0022564799987058,45.361591699003874,0.0,14206.48117571883
7808,768,3072,0.0024444479964685,320.58563059939473,0.0,14046.050035341774
4864,768,768,0.0003910080022587,321.62689439842603,0.0,13755.575353938493
4864,768,3072,0.001493887998391,330.72858146132137,0.0,14317.616875336065
4864,3072,768,0.0015008959980704,152.34244455905105,0.0,14264.672613284074
4800,768,3072,0.0014932480028896,329.2597613429064,0.0,14135.282866148782
4800,3072,768,0.0015001919993545,153.4183776372203,0.0,14083.585490711574
4800,768,2304,0.0011127679971038,126.54488598158929,0.0,14254.10442405918
4800,768,8192,0.0039243200029016,244.87748512323057,0.0,14343.025301742027
1024,12544,1024,0.0017700799980687,168.498876694874,0.0,13875.38806257205
1024,12544,1024,0.0017713280012913,170.6270911319442,0.0,13865.612047624909
1024,12544,1024,0.0017701119961427,168.17908732335502,0.0,13875.137239067679
1024,12544,1024,0.0017703680032142,168.8445110258083,0.0,13873.130801284808
40194,256,1024,0.0013880000000045,113.29375895765472,0.0,14189.222704047117
40194,1024,256,0.0014093760003171,103.47190587686292,0.0,13953.584972282506
25428,256,1024,0.0009089919961428,120.55776877727445,0.0,13709.462839131302
34542,256,256,0.0003066880019391,84.43841175041793,0.0,13782.703331619465
34542,256,1024,0.0011838399974265,115.14622394511984,0.0,14282.300835527183
34542,1024,256,0.0011772799961467,77.99438282686991,0.0,14340.887300687597
23806,256,1024,0.0008501760003222,121.74166225384228,0.0,13700.345662204942
23806,1024,256,0.000831808000965,103.53138725324261,0.0,13982.40490117699
1024,12544,1024,0.0017705920012815,171.76896468640288,0.0,13871.37570779933
1024,12544,1024,0.0017731840009652,167.9198857000343,0.0,13851.098849093449
512,25088,1024,0.0017879359961479,91.23589849932561,0.0,13728.622551581278
1024,12544,1024,0.0017720960035376,172.67693978775438,0.0,13859.602880414079
2050,3072,768,0.000671744001285,288.4635763545343,0.0,13866.121059153724
1024,12544,1024,0.0017703680028945,168.69105849486382,0.0,13873.130803790073
1024,12544,1024,0.0017702400035366,172.02381946369468,0.0,13874.133917396928
1024,12544,1024,0.0017720639990297,171.14542586410127,0.0,13859.853192914146
4096,12544,1024,0.0071372799961699,180.22709906723708,0.0,13734.004768287445
4096,1024,1024,0.0005756800012912,200.72998040341022,0.0,13978.034640688511
1024,12544,1024,0.0017709439980721,171.62802243847662,0.0,13868.618602133838
1024,12544,1024,0.0017705600035375,171.09795483479314,0.0,13871.626392739654
1024,12544,1024,0.0017701439984001,170.74686337933738,0.0,13874.88639184068
983,12544,1024,0.0017693759964685,177.49199243955348,0.0,13880.908819844075
1024,12544,1024,0.0017695999990343,165.54641160012793,0.0,13879.151722650937
999,12544,1024,0.0017696960025749,175.36171810033204,0.0,13878.398798022095
1004,12544,1024,0.0017700480009706,172.0246812561056,0.0,13875.638887494748
973,12544,1024,0.0017692160016109,183.22009661285847,0.0,13882.164106947495
