N,cin,cout,time,ai,tc_perf,perf
26,512,512,1.2032000707008709e-05,19.549361207897793,0.0,1667.661771786578
26,512,38,2.5599997277015102e-05,16.077972709551656,0.0,76.81549412488742
26,38,512,9.439997496791764e-06,64.69890795631825,0.0,523.7128143233294
26,512,512,1.2031998929674552e-05,19.549361207897793,0.0,1667.6620181290389
26,512,1024,1.5168002859671572e-05,20.0357100345197,0.0,2645.7415393211454
26,1024,512,1.283199856295957e-05,17.75258450458822,0.0,2839.6191055094655
128,2048,2,1.3984001055076916e-05,18.041816870944483,0.0,1279.9312228179786
128,2048,4,1.37600024314767e-05,17.76852071005917,0.0,1300.767180779608
64,1600,100,1.1552001092760282e-05,28.441843452816386,0.0,2407.300938002372
64,640,100,1.0783996771687374e-05,33.67702620353443,0.0,1221.8071494662645
2,1600,100,6.268799576394524e-05,20.099432374241534,0.0,195.27444411344857
25,128,4096,1.7343999649239613e-05,13.784415320532357,0.0,1865.1195495104967
25,256,1,5.055998728461848e-06,0.7158343301435407,0.0,3.5274588190634653
256,4096,256,0.000175264000339,72.746669921726,0.0,3242.875741171405
1,8192,4096,8.729599706430041e-05,0.539369887329395,0.0,772.6317886470222
1,4096,4096,4.672000000012108e-05,0.5398262142696462,0.0,722.5226049535133
1,4096,101,2.185600000002641e-05,0.5355600354134763,0.0,38.149667423756
512,1024,4,1.289599859871672e-05,18.50938597553591,0.0,2825.5266935959453
2,2048,34,7.747200325214556e-05,28.445214378518838,0.0,101.06445953401202
2,2048,68,7.897599605950386e-05,21.956763984845107,0.0,148.7097319759559
34,2,64,7.904003898836377e-06,15.792207792207792,0.0,18.33988165353647
34,64,64,1.1264003431093188e-05,16.481203007518797,0.0,46.39678322078641
34,64,2,9.727996238234049e-06,28.467532467532468,0.0,26.86131411814241
2,2048,34,7.76320032801736e-05,28.445214378518838,0.0,100.85616507200102
2,2048,68,7.798400421334556e-05,21.956763984845107,0.0,150.60138710514056
34,2,64,8.09599792218069e-06,15.792207792207792,0.0,17.90495717601479
34,64,64,1.1391999282326968e-05,16.481203007518797,0.0,45.87548791381895
34,64,2,9.50400067094057e-06,28.467532467532468,0.0,27.494396490762462
2,2048,68,7.811199739402873e-05,21.956763984845107,0.0,150.3546138667909
34,2,64,8.287997102387844e-06,15.792207792207792,0.0,17.4901721493105
34,64,64,1.139199822074971e-05,16.481203007518797,0.0,45.87549218878228
34,64,2,9.631999999963756e-06,28.467532467532468,0.0,27.12902436630978
2,2048,34,7.763200130246685e-05,28.445214378518838,0.0,100.85616764135277
2,2048,68,7.878399607103747e-05,21.956763984845107,0.0,149.07214399169675
34,2,64,7.96799792667003e-06,15.792207792207792,0.0,18.192587074922944
34,64,64,1.1199997943018166e-05,16.481203007518797,0.0,46.661930479765026
34,64,2,9.69600065624482e-06,9.448275862068966,0.0,26.94995307441681
2,2048,32,7.788799772502587e-05,3.399585921325052,0.0,50.26234058126003
1,2048,32,5.8560052513479146e-06,0.3353031297876997,0.0,31.18655529719002
2,2048,32,7.772799967505843e-05,15.064220183486238,0.0,50.36580235196582
1,2048,32,5.72800523407527e-06,0.7250354945575012,0.0,31.883461018045047
2,2048,32,7.782400130677053e-05,15.064220183486238,0.0,50.30367242897177
1,2048,32,5.919994953215203e-06,0.7250354945575012,0.0,30.849457311210983
2,2048,64,7.8303999999712e-05,15.527186761229315,0.0,99.99062803591272
32,2,64,8.288003543273254e-06,0.3049147442326981,0.0,8.745079278555682
32,64,64,1.180800426477084e-05,0.720341767992113,0.0,22.129629769437056
32,64,2,1.0463998472033194e-05,0.4724137931034483,0.0,12.485990101857288
1,2048,64,6.624003512223556e-06,0.31157209680699616,0.0,55.14146580833916
