Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,34815872.0,65.67,60.09,31264.0,51380224.0,26.02,104744960.0,77.13,32576.3,1041974676.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.92
1,1389182976.0,69.35,69.35,982112.0,1644165888.0,15.27,3042792704.0,68.73,1133674.26,1154322785.24,0.0,282591232.0,770703360.0,12845056.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69
2,40715520.0,66.79,12.15,164896.0,205632768.0,47.16,327646816.0,66.79,189376.89,1148462600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.17
3,8832.0,1.56,0.07,7584.0,16384.0,1.56,258336.0,0.78,6820.46,899322648.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
4,663808.0,8.58,5.15,7360.0,1412928.0,5.25,3028096.0,11.69,7228.52,982135668.28,0.0,950272.0,2359296.0,131072.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05
5,73472.0,2.11,0.77,6144.0,49152.0,2.11,285280.0,1.11,5437.91,885076075.42,0.0,1024.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
6,1792.0,1.56,0.02,7232.0,3392.0,1.56,230464.0,0.71,6685.69,924458681.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
7,135808.0,2.46,1.19,6880.0,288352.0,2.44,772800.0,2.79,6472.06,940705749.35,0.0,198560.0,494080.0,26752.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76
8,1920.0,2.89,0.03,4576.0,3392.0,2.89,128736.0,0.73,3619.69,791015119.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
9,119168.0,2.02,0.94,7936.0,238208.0,1.98,705120.0,2.16,7199.19,907155391.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
10,238464.0,6.04,2.54,5632.0,952768.0,5.37,1567616.0,8.99,5305.65,942054003.58,0.0,387864.0,895712.0,119096.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55
11,357376.0,4.49,4.08,5504.0,476416.0,3.04,1097952.0,6.0,4987.02,906071678.51,0.0,14887.0,0.0,14887.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
12,1024.0,2.08,0.01,5728.0,1792.0,2.08,225184.0,0.92,5021.61,876677917.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
13,22912.0,2.12,0.24,5728.0,48160.0,2.12,262688.0,1.01,5330.56,930613749.22,0.0,60128.0,105984.0,13952.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22
14,1024.0,1.24,0.01,8640.0,1056.0,1.24,196448.0,0.48,8421.57,974719221.54,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
15,119168.0,2.05,0.94,7584.0,238208.0,1.98,716256.0,2.25,7196.26,948873847.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
16,238464.0,6.24,2.61,5600.0,952768.0,5.53,1562304.0,9.44,5148.41,919358465.61,0.0,387864.0,895712.0,119096.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81
17,357376.0,4.47,4.04,5792.0,476416.0,3.02,1090784.0,5.93,5011.31,865213193.17,0.0,14887.0,0.0,14887.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38
18,8320.0,1.6,0.07,7488.0,16384.0,1.6,252064.0,0.77,6735.04,899444048.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
19,16512.0,2.44,0.2,5408.0,65536.0,2.44,241696.0,1.04,4781.65,884180500.77,0.0,26624.0,61440.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
20,8192.0,2.98,0.13,4448.0,16384.0,2.98,154272.0,0.88,3582.22,805355715.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
21,8388736.0,47.1,31.41,15392.0,16777216.0,18.97,34324384.0,57.79,14959.72,971915425.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1
22,560419584.0,72.07,72.07,382784.0,637585664.0,15.19,1205090176.0,71.5,440114.89,1149773472.48,0.0,108003328.0,295698432.0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27
23,8646784.0,68.55,8.38,51680.0,67379680.0,49.25,104210912.0,68.55,58182.0,1125812693.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11
24,384.0,2.53,0.01,4736.0,512.0,2.53,219136.0,1.09,4111.78,868196321.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
25,19317632.0,14.71,7.63,125696.0,68831616.0,5.41,103157440.0,15.1,143442.17,1141183225.14,0.0,10633888.0,29622720.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59
26,384.0,2.53,0.01,5024.0,320.0,2.53,194112.0,0.97,4107.85,817645671.15,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
27,512.0,2.64,0.01,4768.0,768.0,2.64,222432.0,1.16,3943.19,827010315.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
28,6656.0,2.13,0.07,5888.0,14784.0,2.13,188704.0,0.77,5025.7,853550221.42,0.0,26112.0,46080.0,6144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
29,3456.0,2.43,0.05,4928.0,2304.0,2.43,125120.0,0.6,4286.54,869833002.65,0.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
30,700160.0,8.75,5.17,8224.0,1400000.0,4.34,3265440.0,12.81,7655.57,930882061.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72
31,1400064.0,19.95,9.41,8576.0,5600000.0,14.07,8074464.0,28.64,8295.43,967283806.66,0.0,2275468.0,5251456.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,30.81
