Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,505984.0,3.98,3.52,8256.0,550048.0,1.61,1577152.0,4.35,8099.87,981088949.9,0.0,0.0,0.0,0.0,257536.0,0.0,512.0,0.0,0.0,0.0,3.26
1,327808.0,2.03,1.75,9984.0,737280.0,1.38,1044704.0,2.77,10584.19,1060114702.04,0.0,0.0,0.0,0.0,241920.0,1120000.0,0.0,0.0,0.0,0.0,9.58
2,1376384.0,2.63,0.64,106080.0,11011968.0,2.63,2949856.0,0.83,121008.96,1140733059.61,0.0,0.0,0.0,0.0,346856.0,19544.0,0.0,0.0,0.0,0.0,0.29
3,1806464.0,9.27,9.27,11008.0,1781760.0,2.36,4269824.0,10.73,11064.93,1005171323.21,0.0,0.0,0.0,0.0,599040.0,0.0,576.0,0.0,0.0,0.0,3.0
4,14155904.0,30.12,30.12,24928.0,14188544.0,7.71,29130496.0,31.6,26562.24,1065558437.93,0.0,0.0,0.0,0.0,3801088.0,0.0,1024.0,0.0,0.0,0.0,4.0
5,688256.0,1.01,0.98,35840.0,1548288.0,0.45,1963104.0,1.44,39923.89,1113947792.66,0.0,0.0,0.0,0.0,356128.0,1288672.0,0.0,0.0,0.0,0.0,1.79
6,155154304.0,33.91,29.69,258240.0,1387985248.0,33.91,322089472.0,32.86,295759.7,1145290054.61,0.0,0.0,0.0,0.0,45932544.0,17346560.0,0.0,0.0,0.0,0.0,48.27
7,36702336.0,59.44,59.44,32576.0,36716640.0,15.25,74357504.0,57.21,34825.7,1069060157.9,0.0,0.0,0.0,0.0,11517952.0,0.0,512.0,0.0,0.0,0.0,16.15
8,19267712.0,21.04,21.04,46560.0,26734560.0,20.85,41762784.0,25.61,51620.63,1108690498.92,0.0,0.0,0.0,0.0,29982720.0,0.0,98304.0,0.0,0.0,0.0,76.57
9,786560.0,6.08,6.08,7584.0,819200.0,1.97,2124896.0,6.68,7321.56,965394983.59,0.0,0.0,0.0,0.0,458752.0,0.0,1024.0,0.0,0.0,0.0,6.45
10,134231040.0,83.34,83.34,81760.0,134349056.0,23.2,269522688.0,78.39,91056.11,1113699989.13,0.0,0.0,0.0,0.0,52297728.0,0.0,4096.0,0.0,0.0,0.0,38.84
11,14155904.0,17.77,17.77,41312.0,14172160.0,4.54,29010880.0,19.0,45072.8,1091033992.45,0.0,0.0,0.0,0.0,3670016.0,0.0,512.0,0.0,0.0,0.0,1.89
