input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
"[16, 1, 64, 64]","[1, 1]",2.499199666954336e-05,0.0,0.0,0.0,0.0,64.0,278528.0,8192.0,0.0,0.0,256.0,2.14,0.55,2.38,1048704.0,2629056.0,1050624.0,0.27,516.0,0.02,24.97,0.0,32.0,2048.0,294976.0,131072.0,426048.0,0.40626144269498354,0.16205360403125685,0.4055190058479532,15.876607440225996,4.884376151056458
"[16, 1, 64, 64]","[2, 2]",7.564800064995007e-05,0.0,0.0,0.0,49280.0,0.0,269184.0,0.0,0.0,0.0,0.0,2.91,2.91,0.92,1048704.0,2324864.0,8392704.0,2.19,8320.0,0.09,8.06,0.0,32.0,262144.0,367744.0,0.0,367744.0,0.35066520200170875,0.15817871496999394,0.04381710590531967,4.527393796753578,0.0
"[16, 1, 64, 64]","[3, 3]",6.755200193706075e-05,0.0,0.0,0.0,86464.0,0.0,291136.0,0.0,0.0,0.0,0.0,1.75,1.75,0.95,1048704.0,2331264.0,8928736.0,2.24,12608.0,0.15,11.18,0.0,32.0,262144.0,464064.0,0.0,464064.0,0.4425119004027829,0.19906111019601383,0.05197421001136107,6.397934433816464,0.0
"[16, 1, 64, 64]","[4, 4]",2.4639998711642455e-05,0.0,0.0,0.0,127232.0,0.0,280320.0,0.0,0.0,0.0,0.0,4.57,4.57,2.42,1048704.0,2347520.0,8396800.0,4.63,8448.0,0.28,17.36,0.0,32.0,262144.0,534784.0,0.0,534784.0,0.5099475161723422,0.22780806979280263,0.0636890243902439,20.21332945556654,0.0
"[16, 1, 64, 64]","[5, 5]",2.4448000665487624e-05,0.0,0.0,0.0,171584.0,0.0,320448.0,0.0,0.0,0.0,0.0,2.94,2.94,2.52,1048704.0,2343776.0,9485280.0,5.6,12864.0,0.44,20.02,0.0,32.0,262144.0,663616.0,0.0,663616.0,0.63279628951544,0.28313968570375325,0.06996272118482533,25.279799773095203,0.0
"[16, 1, 64, 64]","[6, 6]",2.112000406613783e-05,0.0,0.0,0.0,219520.0,0.0,327296.0,0.0,0.0,0.0,0.0,5.6,5.6,3.0,1048704.0,2343968.0,9488384.0,6.86,8576.0,0.34,23.15,0.0,32.0,262144.0,766336.0,0.0,766336.0,0.7307457585743927,0.3269396169230979,0.0807657025685301,33.79289200444938,0.0
"[16, 1, 64, 64]","[7, 7]",1.76319959139014e-05,0.0,0.0,0.0,271040.0,0.0,352320.0,0.0,0.0,0.0,0.0,3.21,3.21,3.6,1048704.0,2349952.0,10060384.0,7.34,13120.0,0.63,26.83,0.0,32.0,262144.0,894400.0,0.0,894400.0,0.8528621994385451,0.3806035187101694,0.08890316711568863,47.24223592176259,0.0
"[16, 1, 64, 64]","[8, 8]",1.2864002023763462e-05,0.0,0.0,0.0,326144.0,0.0,308736.0,0.0,0.0,0.0,0.0,4.91,4.91,4.88,1048704.0,2365216.0,8404992.0,8.11,8704.0,0.57,31.14,0.0,32.0,262144.0,961024.0,0.0,961024.0,0.9163920419870621,0.4063155331267842,0.11433966861598441,69.57580885745381,0.0
"[16, 1, 64, 64]","[16, 16]",8.928001048898325e-06,0.0,0.0,0.0,896000.0,0.0,390144.0,0.0,0.0,0.0,0.0,6.26,4.24,7.16,1048704.0,2408608.0,4259840.0,13.82,9216.0,0.9,31.21,0.0,32.0,262144.0,2182144.0,0.0,2182144.0,2.0808006835103137,0.9059772283410169,0.5122596153846154,227.6298980175963,0.0
"[16, 1, 64, 64]","[32, 32]",7.4879961843476095e-06,0.0,0.0,0.0,2723840.0,0.0,651264.0,0.0,0.0,0.0,0.0,7.58,3.84,10.92,1048832.0,2940736.0,2359296.0,21.7,14336.0,1.66,36.64,0.0,32.0,262144.0,6098944.0,0.0,6098944.0,5.81498657554308,2.0739515549848746,2.5850694444444446,758.5586435512455,0.0
"[16, 1, 97, 97]","[1, 1]",1.0623997404039824e-05,0.0,0.0,0.0,0.0,64.0,895040.0,100448.0,0.0,0.0,3184.0,12.78,3.79,14.77,2408832.0,5541184.0,2455552.0,6.52,17728.0,1.55,24.67,0.0,32.0,32768.0,1096000.0,1630208.0,2726208.0,1.1317551410808226,0.49199015950381725,1.1102220600500416,238.98528556980406,142.90755673014647
"[16, 1, 97, 97]","[2, 2]",0.0001941120025815,0.0,0.0,0.0,49280.0,0.0,621696.0,0.0,0.0,0.0,0.0,1.42,1.42,0.8,2408832.0,5091424.0,19333728.0,1.75,8320.0,0.03,6.87,0.0,32.0,262144.0,720256.0,0.0,720256.0,0.2990063233965673,0.14146454901418543,0.037253860197060805,3.4556887950326893,0.0
"[16, 1, 97, 97]","[3, 3]",0.0001029120022514,0.0,0.0,0.0,86464.0,0.0,639616.0,0.0,0.0,0.0,0.0,4.97,4.97,1.54,2408832.0,5123264.0,20066656.0,2.5,8384.0,0.07,10.45,0.0,32.0,262144.0,812544.0,0.0,812544.0,0.3373186673043201,0.15859889320558143,0.0404922474377395,7.3532780775146644,0.0
"[16, 1, 97, 97]","[4, 4]",6.876799707372102e-05,0.0,0.0,0.0,127232.0,0.0,658176.0,0.0,0.0,0.0,0.0,2.33,2.33,2.23,2409344.0,5092064.0,20414368.0,3.24,8448.0,0.1,13.97,0.0,32.0,262144.0,912640.0,0.0,912640.0,0.3787919035222866,0.1792279122964676,0.04470576801593858,12.359851539457946,0.0
"[16, 1, 97, 97]","[5, 5]",7.15520039203361e-05,0.0,0.0,0.0,171584.0,0.0,677376.0,0.0,0.0,0.0,0.0,2.58,2.58,2.12,2408832.0,5140960.0,20834016.0,2.94,8512.0,0.1,16.69,0.0,32.0,262144.0,1020544.0,0.0,1020544.0,0.42366757000903343,0.19851234010768418,0.0489845068756787,13.283424831072354,0.0
"[16, 1, 97, 97]","[6, 6]",3.839999934598497e-05,0.0,0.0,0.0,219520.0,0.0,697216.0,0.0,0.0,0.0,0.0,7.58,7.58,3.75,2408832.0,5128128.0,21292672.0,4.86,8576.0,0.18,22.09,0.0,32.0,262144.0,1136256.0,0.0,1136256.0,0.47170412880599394,0.22157325246171702,0.05336371123361126,27.55783545222718,0.0
"[16, 1, 97, 97]","[7, 7]",4.140799933664572e-05,0.0,0.0,0.0,271040.0,0.0,717696.0,0.0,0.0,0.0,0.0,3.26,3.26,3.57,2408832.0,5156192.0,21666560.0,4.75,8640.0,0.17,23.72,0.0,32.0,262144.0,1259776.0,0.0,1259776.0,0.5229820925660237,0.24432294220230744,0.05814379393867785,28.334086325210745,0.0
"[16, 1, 97, 97]","[8, 8]",2.8928001634200857e-05,0.0,0.0,0.0,326144.0,0.0,738816.0,0.0,0.0,0.0,0.0,4.16,3.49,4.93,2408832.0,5112704.0,22091360.0,6.17,8704.0,0.25,26.96,0.0,32.0,262144.0,1391104.0,0.0,1391104.0,0.5775014612891227,0.2720877250081366,0.06297050068443047,44.785898978454654,0.0
"[16, 1, 97, 97]","[16, 16]",1.3440001694194522e-05,0.0,0.0,0.0,896000.0,0.0,930816.0,0.0,0.0,0.0,0.0,9.25,5.02,11.43,2408832.0,5333440.0,19704768.0,14.3,9216.0,0.58,27.14,0.0,32.0,262144.0,2722816.0,0.0,2722816.0,1.1303469897444072,0.5105177896442071,0.1381805662467074,188.6770600943882,0.0
"[16, 1, 97, 97]","[32, 32]",9.407999666679588e-06,0.0,0.0,0.0,2723840.0,0.0,1437696.0,0.0,0.0,0.0,0.0,13.0,5.57,16.88,2408832.0,5876608.0,13462336.0,23.49,10240.0,0.91,32.43,0.0,32.0,262144.0,6885376.0,0.0,6885376.0,2.8583877995642704,1.1716582082725273,0.5114547727823759,681.6014382129355,0.0
"[16, 2, 64, 64]","[1, 1]",2.5184002978026013e-05,0.0,0.0,0.0,0.0,128.0,557056.0,16384.0,0.0,0.0,512.0,4.21,1.08,4.65,2097280.0,4754368.0,2101248.0,0.54,1032.0,0.03,24.97,0.0,32.0,4096.0,589952.0,262144.0,852096.0,0.4062862374122673,0.17922382112617283,0.4055190058479532,31.511123995338462,9.69427398865152
"[16, 2, 64, 64]","[2, 2]",7.635199967592331e-05,0.0,0.0,0.0,98560.0,0.0,538368.0,0.0,0.0,0.0,0.0,5.66,5.66,1.83,2097280.0,4512064.0,16785408.0,4.17,8448.0,0.09,7.17,0.0,32.0,262144.0,735488.0,0.0,735488.0,0.35068660360085446,0.1630047800740415,0.04381710590531967,8.971298468490383,0.0
"[16, 2, 64, 64]","[3, 3]",7.09760019565154e-05,0.0,0.0,0.0,172928.0,0.0,582272.0,0.0,0.0,0.0,0.0,3.27,3.27,1.82,2097280.0,4505984.0,17857600.0,4.13,17024.0,0.2,10.19,0.0,32.0,262144.0,928128.0,0.0,928128.0,0.44253890753738173,0.20597676334403317,0.051973837469760774,12.178574936670781,0.0
"[16, 2, 64, 64]","[4, 4]",2.592000100344985e-05,0.0,0.0,0.0,254464.0,0.0,560640.0,0.0,0.0,0.0,0.0,8.76,8.76,4.79,2097280.0,4555296.0,16793600.0,8.65,8704.0,0.28,15.09,0.0,32.0,262144.0,1069568.0,0.0,1069568.0,0.5099786389990846,0.23479659719148877,0.0636890243902439,38.430277196121615,0.0
"[16, 2, 64, 64]","[5, 5]",2.678399676053421e-05,0.0,0.0,0.0,343168.0,0.0,640896.0,0.0,0.0,0.0,0.0,5.53,5.53,4.94,2097280.0,4514752.0,18970656.0,10.55,17536.0,0.59,17.83,0.0,32.0,262144.0,1327232.0,0.0,1327232.0,0.632834909978639,0.293976723416923,0.06996236714218,46.14998778574363,0.0
"[16, 2, 64, 64]","[6, 6]",2.1152003665240688e-05,0.0,0.0,0.0,439040.0,0.0,654592.0,0.0,0.0,0.0,0.0,10.67,10.67,5.91,2097280.0,4560160.0,18976736.0,12.87,8960.0,0.35,20.79,0.0,32.0,262144.0,1532672.0,0.0,1532672.0,0.7307903570338724,0.33610048770218587,0.08076583876173436,67.48353752541827,0.0
"[16, 2, 64, 64]","[7, 7]",1.763200201586783e-05,0.0,0.0,0.0,542080.0,0.0,704640.0,0.0,0.0,0.0,0.0,6.11,5.95,7.05,2097408.0,4538496.0,20120384.0,13.76,18048.0,0.86,24.43,0.0,32.0,262144.0,1788800.0,0.0,1788800.0,0.8528621994385451,0.39413938009419863,0.08890486384355288,94.48443914496522,0.0
"[16, 2, 64, 64]","[8, 8]",1.3183997966862334e-05,0.0,0.0,0.0,652288.0,0.0,617472.0,0.0,0.0,0.0,0.0,9.09,9.09,9.56,2097280.0,4559552.0,16809984.0,14.89,9216.0,0.59,28.33,0.0,32.0,262144.0,1922048.0,0.0,1922048.0,0.916447970704913,0.4215431691534607,0.11433966861598441,135.7741935635739,0.0
"[16, 2, 64, 64]","[16, 16]",9.759998957507842e-06,0.0,0.0,0.0,1792000.0,0.0,780288.0,0.0,0.0,0.0,0.0,11.35,6.98,13.95,2097408.0,4778496.0,8519680.0,23.74,10240.0,0.91,33.02,0.0,32.0,262144.0,4364288.0,0.0,4364288.0,2.0808006835103137,0.9133183327975999,0.5122596153846154,416.4508576506343,0.0
"[16, 2, 64, 64]","[32, 32]",9.248004327692584e-06,0.0,0.0,0.0,5447680.0,0.0,1302528.0,0.0,0.0,0.0,0.0,12.39,5.75,17.17,2097280.0,5650720.0,4718592.0,34.86,20480.0,2.0,54.48,0.0,32.0,262144.0,12197888.0,0.0,12197888.0,5.816051266402197,2.15864314636011,2.5850694444444446,1228.3913430937655,0.0
"[16, 2, 97, 97]","[1, 1]",1.155199688477037e-05,0.0,0.0,0.0,0.0,128.0,1790080.0,200896.0,0.0,0.0,6368.0,21.93,6.5,23.59,4817536.0,10408864.0,4904992.0,11.17,35496.0,2.66,29.37,0.0,32.0,65536.0,2192000.0,3260416.0,5452416.0,1.1317852113611606,0.5238243097421582,1.1116054827408486,439.5740543948016,262.8549032454019
"[16, 2, 97, 97]","[2, 2]",0.0001976319961265,0.0,0.0,0.0,98560.0,0.0,1243392.0,0.0,0.0,0.0,0.0,2.76,2.76,1.55,4817536.0,9975616.0,38667360.0,3.37,8448.0,0.03,6.56,0.0,32.0,262144.0,1440512.0,0.0,1440512.0,0.29901426787469776,0.14440331303851311,0.03725395268774491,6.788280090769183,0.0
"[16, 2, 97, 97]","[3, 3]",0.0001046080042248,0.0,0.0,0.0,172928.0,0.0,1279232.0,0.0,0.0,0.0,0.0,9.81,9.81,3.0,4817536.0,10047168.0,40133760.0,4.85,8576.0,0.07,9.82,0.0,32.0,262144.0,1625088.0,0.0,1625088.0,0.33732762972606745,0.16174587704714402,0.04049179543606181,14.46811982842427,0.0
"[16, 2, 97, 97]","[4, 4]",6.751999872432483e-05,0.0,0.0,0.0,254464.0,0.0,1316352.0,0.0,0.0,0.0,0.0,4.56,4.56,4.47,4822016.0,10084960.0,40828960.0,6.29,8704.0,0.1,13.02,0.0,32.0,262144.0,1825280.0,0.0,1825280.0,0.3785304735612657,0.18099030635718932,0.044705522746599474,25.17660694773864,0.0
"[16, 2, 97, 97]","[5, 5]",7.164800032521308e-05,0.0,0.0,0.0,343168.0,0.0,1354752.0,0.0,0.0,0.0,0.0,5.04,5.04,4.11,4817536.0,10092288.0,41668320.0,5.67,8832.0,0.1,15.85,0.0,32.0,262144.0,2041088.0,0.0,2041088.0,0.4236788266865053,0.20224234583872358,0.04898416830820153,26.531254501848576,0.0
"[16, 2, 97, 97]","[6, 6]",3.791999772885743e-05,0.0,0.0,0.0,439040.0,0.0,1394432.0,0.0,0.0,0.0,0.0,15.05,15.05,7.53,4817536.0,10138176.0,42584288.0,9.43,8960.0,0.19,19.54,0.0,32.0,262144.0,2272512.0,0.0,2272512.0,0.4717166617955735,0.22415393064787986,0.05336503454043895,55.81334001699954,0.0
"[16, 2, 97, 97]","[7, 7]",4.089599966925803e-05,0.0,0.0,0.0,542080.0,0.0,1435392.0,0.0,0.0,0.0,0.0,6.42,6.42,7.02,4817536.0,10121728.0,43333728.0,9.29,9088.0,0.18,22.28,0.0,32.0,262144.0,2519552.0,0.0,2519552.0,0.5229959879905413,0.24892508472861552,0.0581429781439529,57.37763288572891,0.0
"[16, 2, 97, 97]","[8, 8]",2.867200392096452e-05,0.0,0.0,0.0,652288.0,0.0,1477632.0,0.0,0.0,0.0,0.0,8.39,6.8,9.94,4821760.0,10094752.0,44182848.0,12.01,9216.0,0.26,25.48,0.0,32.0,262144.0,2782208.0,0.0,2782208.0,0.5770108839925671,0.27560934632173234,0.06297031825562716,90.37153889969947,0.0
"[16, 2, 97, 97]","[16, 16]",1.5007996546009323e-05,0.0,0.0,0.0,1792000.0,0.0,1861632.0,0.0,0.0,0.0,0.0,16.86,8.69,19.85,4817536.0,10468096.0,39408896.0,25.21,10240.0,0.59,29.82,0.0,32.0,262144.0,5445632.0,0.0,5445632.0,1.1303770226107288,0.5202122716490182,0.1381828102974516,337.929183225792,0.0
"[16, 2, 97, 97]","[32, 32]",1.1423998245677064e-05,0.0,0.0,0.0,5447680.0,0.0,2875392.0,0.0,0.0,0.0,0.0,22.39,9.12,27.84,4817536.0,11505024.0,26927968.0,39.41,12288.0,0.94,53.7,0.0,32.0,262144.0,13770752.0,0.0,13770752.0,2.858463745782076,1.1969337917069969,0.5113921704006779,1122.6377955620171,0.0
"[16, 4, 64, 64]","[1, 1]",2.598400266300609e-05,0.0,0.0,0.0,0.0,256.0,1114112.0,32768.0,0.0,0.0,1024.0,8.21,2.1,9.03,4194560.0,9028832.0,4202496.0,1.05,2064.0,0.07,24.97,0.0,32.0,8192.0,1179904.0,524288.0,1704192.0,0.4062862374122673,0.1887499955697481,0.4055190058479532,61.0819088060963,18.79161022005186
"[16, 4, 64, 64]","[2, 2]",8.00640019141398e-05,0.0,0.0,0.0,197120.0,0.0,1076736.0,0.0,0.0,0.0,0.0,10.54,10.54,3.33,4194432.0,8748704.0,33570816.0,7.68,8704.0,0.09,7.95,0.0,32.0,262144.0,1470976.0,0.0,1470976.0,0.3506973053800848,0.1681364462667842,0.04381710590531967,17.110725454202356,0.0
"[16, 4, 64, 64]","[3, 3]",7.350400126648173e-05,0.0,0.0,0.0,345856.0,0.0,1164544.0,0.0,0.0,0.0,0.0,6.04,6.04,3.4,4194560.0,8817408.0,35715040.0,7.58,25856.0,0.28,11.66,0.0,32.0,262144.0,1856256.0,0.0,1856256.0,0.44253890753738173,0.21052173155648463,0.0519740703076351,23.519442306248443,0.0
"[16, 4, 64, 64]","[4, 4]",2.7328003338614663e-05,0.0,0.0,0.0,508928.0,0.0,1121280.0,0.0,0.0,0.0,0.0,16.33,16.33,8.76,4194560.0,8780032.0,33587200.0,15.92,9216.0,0.28,16.38,0.0,32.0,262144.0,2139136.0,0.0,2139136.0,0.5099786389990846,0.24363646966206956,0.0636890243902439,72.90051974480065,0.0
"[16, 4, 64, 64]","[5, 5]",2.806400297015404e-05,0.0,0.0,0.0,686336.0,0.0,1281792.0,0.0,0.0,0.0,0.0,9.47,9.47,8.56,4194560.0,8874912.0,37941184.0,18.03,26880.0,0.79,20.16,0.0,32.0,262144.0,2654464.0,0.0,2654464.0,0.632834909978639,0.2990975009104316,0.06996260317021208,88.09015055098293,0.0
"[16, 4, 64, 64]","[6, 6]",2.3680001306139235e-05,0.0,0.0,0.0,878080.0,0.0,1309184.0,0.0,0.0,0.0,0.0,18.4,18.4,10.0,4194432.0,8881568.0,37953568.0,22.0,9728.0,0.34,23.14,0.0,32.0,262144.0,3065344.0,0.0,3065344.0,0.7308126583051054,0.34513545355955166,0.08076563447210022,120.55844209020262,0.0
"[16, 4, 64, 64]","[7, 7]",2.00960026324042e-05,0.0,0.0,0.0,1084160.0,0.0,1409280.0,0.0,0.0,0.0,0.0,10.48,9.89,12.0,4194432.0,8945536.0,40241248.0,23.02,27904.0,1.14,27.05,0.0,32.0,262144.0,3577600.0,0.0,3577600.0,0.8529402789221521,0.39993131769857054,0.08890380338104822,165.79912452697172,0.0
"[16, 4, 64, 64]","[8, 8]",1.401599658458337e-05,0.0,0.0,0.0,1304576.0,0.0,1234944.0,0.0,0.0,0.0,0.0,16.75,16.75,17.43,4194432.0,8864064.0,33619968.0,27.28,10240.0,0.62,31.11,0.0,32.0,262144.0,3844096.0,0.0,3844096.0,0.9164759376239738,0.4336719590472271,0.11433966861598441,255.4290993283288,0.0
"[16, 4, 64, 64]","[16, 16]",1.1776000687618869e-05,0.0,0.0,0.0,3584000.0,0.0,1560576.0,0.0,0.0,0.0,0.0,18.55,10.91,21.54,4194432.0,9375040.0,17039360.0,37.68,12288.0,0.9,54.84,0.0,32.0,262144.0,8728576.0,0.0,8728576.0,2.080991180689066,0.9310441342116941,0.5122596153846154,690.3124489109214,0.0
"[16, 4, 64, 64]","[32, 32]",1.2287998632839571e-05,0.0,0.0,0.0,10895360.0,0.0,2605056.0,0.0,0.0,0.0,0.0,17.61,7.69,24.4,4194560.0,11113856.0,9437184.0,48.37,32768.0,2.28,71.24,0.0,32.0,262144.0,24395776.0,0.0,24395776.0,5.816051266402197,2.195077568037592,2.5850694444444446,1848.9859571877387,0.0
"[16, 4, 97, 97]","[1, 1]",1.3760001405312909e-05,0.0,0.0,0.0,0.0,256.0,3580160.0,401792.0,0.0,0.0,12736.0,37.41,11.12,37.98,9634944.0,20331488.0,9814592.0,18.84,71580.0,4.57,56.41,428.0,32.0,131072.0,4384000.0,6520832.0,10904832.0,1.131800247100554,0.5363518892468667,1.1110835784105952,738.0752308693756,441.35155716845634
"[16, 4, 97, 97]","[2, 2]",0.0002147520006528,0.0,0.0,0.0,197120.0,0.0,2486784.0,0.0,0.0,0.0,0.0,5.11,5.11,2.89,9634944.0,19810336.0,77334816.0,6.21,8704.0,0.03,7.58,0.0,32.0,262144.0,2881024.0,0.0,2881024.0,0.2990182402720763,0.14543034504816071,0.03725390644234545,12.49423838219316,0.0
