input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
"[64, 1, 64, 64]","[1, 1]",2.6176003256299976e-05,0.0,0.0,0.0,0.0,64.0,278528.0,8192.0,0.0,0.0,256.0,2.61,0.51,2.41,1374592.0,2579232.0,1050624.0,0.25,516.0,0.02,24.97,0.0,26.0,2048.0,294976.0,131072.0,426048.0,0.3099450600614582,0.16518405478840212,0.4055190058479532,15.15846847911273,4.663443509872747,48.90695298097991,3.145141670802566
"[64, 1, 64, 64]","[2, 2]",8.143999709964447e-05,0.0,0.0,0.0,2560.0,0.0,262144.0,0.0,0.0,0.0,0.0,2.68,2.68,0.81,1673344.0,2144000.0,8392704.0,2.01,8320.0,0.08,7.97,0.0,38.0,262144.0,267264.0,0.0,267264.0,0.15971850378643004,0.12465671641791044,0.03184480234260615,3.056348298704911,0.0,19.1358435387784,1.2306008706609903
"[64, 1, 64, 64]","[3, 3]",6.963199777958051e-05,0.0,0.0,0.0,5760.0,0.0,278784.0,0.0,0.0,0.0,0.0,1.53,1.53,0.92,1496704.0,2270624.0,8928832.0,2.25,12608.0,0.14,11.16,0.0,38.0,262144.0,290304.0,0.0,290304.0,0.19396219960660224,0.1278520794283862,0.03251309913771477,3.8827935047478492,0.0,20.018300022494092,1.2873504837616778
"[64, 1, 64, 64]","[4, 4]",2.7008002254385063e-05,0.0,0.0,0.0,10240.0,0.0,262144.0,0.0,0.0,0.0,0.0,4.17,4.17,2.1,1412864.0,2065920.0,8396800.0,4.21,8448.0,0.25,16.88,0.0,38.0,262144.0,282624.0,0.0,282624.0,0.20003623844899437,0.13680297397769517,0.033658536585365856,9.745782336988258,0.0,48.72008398354909,3.1331243719324173
"[64, 1, 64, 64]","[5, 5]",2.5471997460468585e-05,0.0,0.0,0.0,16000.0,0.0,295936.0,0.0,0.0,0.0,0.0,2.9,2.82,2.37,1522816.0,1832864.0,9485312.0,5.45,12864.0,0.4,19.72,0.0,38.0,262144.0,327936.0,0.0,327936.0,0.21534840716146927,0.17891998533442743,0.03457303249487207,11.990194341966738,0.0,55.67811947165429,3.580586461199633
"[64, 1, 64, 64]","[6, 6]",2.0639995926347573e-05,0.0,0.0,0.0,23040.0,0.0,295936.0,0.0,0.0,0.0,0.0,5.3,5.3,2.6,1480704.0,1844192.0,9488288.0,6.88,8576.0,0.33,22.77,0.0,38.0,262144.0,342016.0,0.0,342016.0,0.23098201936376211,0.1854557443042807,0.036046123389172,15.432523476086445,0.0,66.81266151623053,4.296634181108073
"[64, 1, 64, 64]","[7, 7]",1.7152002712689876e-05,0.0,0.0,0.0,31360.0,0.0,313600.0,0.0,0.0,0.0,0.0,4.26,3.11,3.54,1582592.0,1850400.0,10060224.0,7.09,13120.0,0.58,26.18,0.0,38.0,262144.0,376320.0,0.0,376320.0,0.23778712390812035,0.2033722438391699,0.037406721758879324,20.433492062125108,0.0,85.93186933881456,5.526165230791934
"[64, 1, 64, 64]","[8, 8]",1.264000278687888e-05,0.0,0.0,0.0,40960.0,0.0,262144.0,0.0,0.0,0.0,0.0,5.79,4.58,4.27,1543808.0,1839616.0,8404992.0,7.51,8704.0,0.53,31.3,0.0,38.0,262144.0,344064.0,0.0,344064.0,0.2228670922809054,0.18703033676593375,0.04093567251461988,25.350830669525745,0.0,113.7486490718564,7.315025663784978
"[64, 1, 64, 64]","[16, 16]",8.448000607981053e-06,0.0,0.0,0.0,163840.0,0.0,262144.0,0.0,0.0,0.0,0.0,8.38,3.88,7.96,1521152.0,1958048.0,4259840.0,12.74,9216.0,0.83,30.24,0.0,38.0,262144.0,589824.0,0.0,589824.0,0.38774823291820937,0.30123061334553597,0.13846153846153847,65.02324416632334,0.0,167.69449515464117,10.78421190705088
"[64, 1, 64, 64]","[32, 32]",7.392003923937326e-06,0.0,0.0,0.0,655360.0,0.0,262144.0,0.0,0.0,0.0,0.0,9.77,3.67,9.33,1452416.0,2234304.0,2359296.0,21.53,14336.0,1.59,36.26,0.0,38.0,262144.0,1572864.0,0.0,1572864.0,1.0829294086542698,0.7039615021053536,0.6666666666666666,198.16598652720356,0.0,182.9906778258609,11.767889249251505
