input_size,output_size,Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Bandwidth,bw_ratio
"[64, 32, 64, 64]","[2, 2]",0.0002600320042324,26.34,26.34,7.25,0.06,0.0,120.18439126982388,7.728899760117292
"[64, 32, 64, 64]","[3, 3]",0.0002203200022174,14.64,14.64,7.72,0.57,0.0,141.84401129757194,9.121801369618774
"[64, 32, 64, 64]","[4, 4]",8.751999607916109e-05,39.47,39.47,18.17,0.23,0.0,357.34593398779657,22.980445915613927
"[64, 32, 64, 64]","[5, 5]",9.244799647189604e-05,23.03,23.03,17.05,1.44,0.0,338.22387726398324,21.7507316568478
"[64, 32, 64, 64]","[6, 6]",7.692799835885935e-05,45.11,45.11,20.99,0.31,0.0,406.7493320597257,26.157513315737983
"[64, 32, 64, 64]","[7, 7]",7.500800233494055e-05,22.71,22.5,22.01,1.94,0.0,416.6555890333636,26.79457164201695
"[64, 32, 64, 64]","[8, 8]",4.640000033459831e-05,38.95,38.95,34.78,0.59,0.0,675.0174588821867,43.40948288631426
"[64, 32, 64, 64]","[16, 16]",4.912000132998398e-05,34.59,19.16,34.71,0.55,0.0,640.5339199618769,41.19189195896315
"[64, 32, 64, 64]","[32, 32]",6.243200163052772e-05,28.63,10.11,32.64,2.14,0.0,539.5388780028344,34.6970339551662
"[64, 32, 97, 97]","[2, 2]",0.0004745280028998,17.63,17.63,9.75,0.03,0.0,152.7308721062861,9.821921035774029
"[64, 32, 97, 97]","[3, 3]",0.000269375997863,44.32,44.32,12.62,0.05,0.0,271.31513383489926,17.447918574591593
"[64, 32, 97, 97]","[4, 4]",0.000226911996422,21.18,21.18,19.91,0.09,0.0,322.99701615351324,20.771512292830437
"[64, 32, 97, 97]","[5, 5]",0.0002707200016185,19.84,19.84,16.31,0.08,0.0,271.0219130590848,17.429061933060115
"[64, 32, 97, 97]","[6, 6]",0.000140704,64.02,64.02,29.63,0.17,0.0,514.6941394189935,33.09930157035328
