Metric Name,Achieved Occupancy,Registers Per Thread,Threads,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
0,24.97,26.0,2048.0,1374592.0,2.61,0.0,516.0,0.02,1050624.0,0.51,2579232.0,2.41,29772.3,1137389070.0,256.0,0.0,0.0,0.0,278528.0,0.0,64.0,0.0,8192.0,0.0,0.25
1,7.97,38.0,262144.0,1673344.0,2.68,0.0,8320.0,0.08,8392704.0,2.68,2144000.0,0.81,93586.83,1149150703.99,0.0,0.0,0.0,0.0,262144.0,2560.0,0.0,0.0,0.0,0.0,2.01
2,11.16,38.0,262144.0,1496704.0,1.53,0.0,12608.0,0.14,8928832.0,1.53,2270624.0,0.92,81309.59,1167704397.3,0.0,0.0,0.0,0.0,278784.0,5760.0,0.0,0.0,0.0,0.0,2.25
3,16.88,38.0,262144.0,1412864.0,4.17,0.0,8448.0,0.25,8396800.0,4.17,2065920.0,2.1,31058.91,1149989166.45,0.0,0.0,0.0,0.0,262144.0,10240.0,0.0,0.0,0.0,0.0,4.21
4,19.72,38.0,262144.0,1522816.0,2.9,0.0,12864.0,0.4,9485312.0,2.82,1832864.0,2.37,29718.96,1166730643.96,0.0,0.0,0.0,0.0,295936.0,16000.0,0.0,0.0,0.0,0.0,5.45
5,22.77,38.0,262144.0,1480704.0,5.3,0.0,8576.0,0.33,9488288.0,5.3,1844192.0,2.6,24395.31,1181943547.23,0.0,0.0,0.0,0.0,295936.0,23040.0,0.0,0.0,0.0,0.0,6.88
6,26.18,38.0,262144.0,1582592.0,4.26,0.0,13120.0,0.58,10060224.0,3.11,1850400.0,3.54,21076.67,1228816853.23,0.0,0.0,0.0,0.0,313600.0,31360.0,0.0,0.0,0.0,0.0,7.09
7,31.3,38.0,262144.0,1543808.0,5.79,0.0,8704.0,0.53,8404992.0,4.58,1839616.0,4.27,15118.67,1196097046.41,0.0,0.0,0.0,0.0,262144.0,40960.0,0.0,0.0,0.0,0.0,7.51
8,30.24,38.0,262144.0,1521152.0,8.38,0.0,9216.0,0.83,4259840.0,3.88,1958048.0,7.96,10292.76,1218366389.59,0.0,0.0,0.0,0.0,262144.0,163840.0,0.0,0.0,0.0,0.0,12.74
9,36.26,38.0,262144.0,1452416.0,9.77,0.0,14336.0,1.59,2359296.0,3.67,2234304.0,9.33,8372.56,1132650913.9,0.0,0.0,0.0,0.0,262144.0,655360.0,0.0,0.0,0.0,0.0,21.53
10,24.71,26.0,32768.0,3514752.0,16.1,0.0,17728.0,1.33,2452160.0,3.25,4289024.0,12.44,12363.26,1174321738.15,3184.0,0.0,0.0,0.0,895040.0,0.0,64.0,0.0,100448.0,0.0,5.34
11,6.86,38.0,262144.0,3433728.0,1.28,0.0,8320.0,0.03,19333696.0,1.28,3946112.0,0.73,239549.63,1160248903.58,0.0,0.0,0.0,0.0,614656.0,2560.0,0.0,0.0,0.0,0.0,1.63
12,10.34,38.0,262144.0,3366656.0,4.52,0.0,8384.0,0.06,20066688.0,4.52,3937760.0,1.4,130322.7,1169946708.06,0.0,0.0,0.0,0.0,627264.0,5760.0,0.0,0.0,0.0,0.0,2.29
13,13.77,38.0,262144.0,3342848.0,2.25,0.0,8448.0,0.09,20414368.0,2.1,3919456.0,1.94,84275.28,1169969982.48,0.0,0.0,0.0,0.0,640000.0,10240.0,0.0,0.0,0.0,0.0,3.04
14,16.55,38.0,262144.0,3352704.0,2.05,0.0,8512.0,0.08,20831200.0,2.05,3947520.0,1.55,95976.59,1169761512.68,0.0,0.0,0.0,0.0,652864.0,16000.0,0.0,0.0,0.0,0.0,2.54
15,20.54,38.0,262144.0,3344896.0,6.9,0.0,8576.0,0.17,21292640.0,6.9,3935904.0,3.2,47108.87,1166523137.14,0.0,0.0,0.0,0.0,665856.0,23040.0,0.0,0.0,0.0,0.0,4.57
