,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
0,2.428800200789813e-05,0.0,0.0,0.0,0.0,16.0,69632.0,2048.0,0.0,0.0,64.0,0.8,0.14,0.8,262272.0,1039968.0,262656.0,0.07,129.0,0.0,24.97,0.0,32.0,512.0,73744.0,32768.0,106512.0,0.40611273792093705,0.10241853595495246,0.4055190058479532,4.084198858151705,1.256487796529171
1,7.104000228101958e-05,0.0,0.0,0.0,12320.0,0.0,67296.0,0.0,0.0,0.0,0.0,0.78,0.78,0.25,262272.0,709920.0,2098176.0,0.59,2080.0,0.02,8.6,0.0,32.0,65536.0,91936.0,0.0,91936.0,0.35053684724255735,0.12950191570881225,0.04381710590531967,1.2052656175480596,0.0
2,6.201599586910559e-05,0.0,0.0,0.0,21616.0,0.0,72784.0,0.0,0.0,0.0,0.0,0.47,0.47,0.26,262272.0,718144.0,2232224.0,0.61,3152.0,0.04,11.46,0.0,32.0,65536.0,116016.0,0.0,116016.0,0.44234992679355783,0.16154977274752697,0.05197327866737388,1.742265334973289,0.0
3,2.371199632597525e-05,0.0,0.0,0.0,31808.0,0.0,70080.0,0.0,0.0,0.0,0.0,1.23,1.23,0.66,262272.0,713632.0,2099200.0,1.27,2112.0,0.07,16.45,0.0,32.0,65536.0,133696.0,0.0,133696.0,0.5097608589555881,0.1873458589300928,0.0636890243902439,5.251101645937434,0.0
4,2.3648000996832223e-05,0.0,0.0,0.0,42896.0,0.0,80112.0,0.0,0.0,0.0,0.0,0.76,0.76,0.66,262272.0,713440.0,2371328.0,1.47,3216.0,0.11,18.37,0.0,32.0,65536.0,165904.0,0.0,165904.0,0.6325646656905808,0.2325409284592958,0.06996248515599698,6.533750588039294,0.0
5,2.0512000670863484e-05,0.0,0.0,0.0,54880.0,0.0,81824.0,0.0,0.0,0.0,0.0,1.43,1.43,0.78,262272.0,718592.0,2372096.0,1.77,2144.0,0.09,20.48,0.0,32.0,65536.0,191584.0,0.0,191584.0,0.7304782820888238,0.2666102600641254,0.0807657025685301,8.698639737691696,0.0
6,1.6736001642469462e-05,0.0,0.0,0.0,67760.0,0.0,88080.0,0.0,0.0,0.0,0.0,0.82,0.82,0.94,262272.0,723360.0,2515072.0,1.89,3280.0,0.16,22.66,0.0,32.0,65536.0,223600.0,0.0,223600.0,0.8525500244021474,0.3091130280911303,0.08890401547152527,12.44286013665172,0.0
7,1.2991997559215889e-05,0.0,0.0,0.0,81536.0,0.0,77184.0,0.0,0.0,0.0,0.0,1.26,1.26,1.27,262272.0,708640.0,2101248.0,2.11,2176.0,0.15,24.62,0.0,32.0,65536.0,240256.0,0.0,240256.0,0.9160566129819424,0.3390381575976518,0.11433966861598441,17.222589172062687,0.0
8,8.959995237185248e-06,0.0,0.0,0.0,224000.0,0.0,97536.0,0.0,0.0,0.0,0.0,1.75,1.11,2.27,262272.0,768384.0,1064960.0,3.67,2304.0,0.24,24.56,0.0,32.0,65536.0,545536.0,0.0,545536.0,2.0800390434358222,0.7099783441612527,0.5122596153846154,56.704270327830905,0.0
9,6.880004394896447e-06,0.0,0.0,0.0,680960.0,0.0,162816.0,0.0,0.0,0.0,0.0,2.64,1.1,3.54,262272.0,892992.0,589824.0,6.33,3584.0,0.48,20.29,0.0,32.0,65536.0,1524736.0,0.0,1524736.0,5.813567593948267,1.7074464272916219,2.5850694444444446,206.39827762061762,0.0
10,9.664001756617229e-06,0.0,0.0,0.0,0.0,16.0,223760.0,25112.0,0.0,0.0,796.0,3.55,0.97,3.84,602368.0,1754976.0,613344.0,1.7,4432.0,0.4,24.67,0.0,32.0,8192.0,274000.0,407552.0,681552.0,1.1314545261368465,0.38835402877304304,1.111206761621537,65.68135844343158,39.27590117311288
11,0.0001816960003216,0.0,0.0,0.0,12320.0,0.0,155424.0,0.0,0.0,0.0,0.0,0.38,0.38,0.21,602240.0,1392416.0,4833728.0,0.47,2080.0,0.01,7.12,0.0,32.0,65536.0,180064.0,0.0,180064.0,0.298990435706695,0.12931767517753315,0.037251578905556956,0.9229574001559662,0.0
12,9.57119990410944e-05,0.0,0.0,0.0,21616.0,0.0,159904.0,0.0,0.0,0.0,0.0,1.33,1.33,0.41,602240.0,1398848.0,5016704.0,0.67,2096.0,0.02,10.72,0.0,32.0,65536.0,203136.0,0.0,203136.0,0.3373007438894793,0.14521663540284577,0.04049192457836859,1.9766084128685089,0.0
13,6.515199935085618e-05,0.0,0.0,0.0,31808.0,0.0,164544.0,0.0,0.0,0.0,0.0,0.61,0.61,0.63,602240.0,1426048.0,5103584.0,0.86,2112.0,0.03,13.85,0.0,32.0,65536.0,228160.0,0.0,228160.0,0.37885228480340066,0.1599946144870299,0.04470583809338692,3.261458754012515,0.0
